uncertaintyType	applyToSources	uncertaintyModel	uncertaintyWeight
sourceModel	all	['nt2012_areal_source_model_v2.xml', 'nt2012_smoothed_source_model_v2_mmin4.5.xml', 'nt2012_smoothed_source_model_v2_mmin5.5.xml']	[0.4,  0.27,  0.33]
maxMagGRAbsolute	nt2012_areal_source_model_v2.csv	['mmax - stdmmax',  'mmax',  'mmax + stdmmax']	[0.32,  0.36,  0.32]
bGRRelative	nt2012_areal_source_model_v2.csv	['-stdb', '0',  '+stdb']	[0.32,  0.36,  0.32]
