uncertaintyType	applyToSources	uncertaintyModel	uncertaintyWeight
sourceModel	all	['areal_source_model.xml']	[1]
maxMagGRAbsolute	areal_source_model.csv	['mmax - stdmmax',  'mmax',  'mmax + stdmmax']	[0.32,  0.36,  0.32]
bGRRelative	areal_source_model.csv	['-stdb', '0',  '+stdb']	[0.32,  0.36,  0.32]
