uncertaintyType	applyToSources	uncertaintyModel	uncertaintyWeight
sourceModel	all	['areal_source_model.xml', 'recomputed_smoothed_sources_mmin4.5.xml', 'recomputed_smoothed_sources_mmin5.5.xml']	[0.4,  0.27,  0.33]
maxMagGRAbsolute	areal_source_model.tsv	['mmax - stdmmax',  'mmax',  'mmax + stdmmax']	[0.32,  0.36,  0.32]
bGRRelative	areal_source_model.tsv	['-stdb', '0',  '+stdb']	[0.32,  0.36,  0.32]
