,zoneid,zmin,zmax,strike,dip,rake
92,154,70.0,180.0,100,80,191
93,153,70.0,180.0,247,44,94
94,935,70.0,180.0,317,57,111
95,936,70.0,180.0,140,47,196
96,162,70.0,180.0,176,58,147
97,163,70.0,180.0,283,46,55
98,164,70.0,180.0,194,65,22
99,166,70.0,180.0,270,61,46
100,167,70.0,180.0,206,49,46
