ordinal,branch_path,gsim,weight
502,b1m1~b1m4_b2m3_b3m1_b4m1_b5m2_b6m1_b7m4_b8m2_b9m2,Kanno2006Shallow() CampbellBozorgnia2008() AtkinsonBoore2006() AtkinsonBoore2006() ToroEtAl2002() At,3.3400234e-04
503,b1m1~b1m4_b2m5_b3m2_b4m1_b5m1_b6m3_b7m3_b8m4_b9m4,Kanno2006Shallow() SharmaEtAl2009() ToroEtAl2002() AtkinsonBoore2006() AtkinsonBoore2006() Kanno2006,3.3300233e-04
504,b1m1~b1m2_b2m4_b3m3_b4m2_b5m2_b6m2_b7m3_b8m2_b9m3,BooreAtkinson2008() Kanno2006Shallow() SharmaEtAl2009() ToroEtAl2002() ToroEtAl2002() ZhaoEtAl2006SI,3.3300233e-04
505,b1m1~b1m1_b2m5_b3m2_b4m4_b5m2_b6m1_b7m2_b8m4_b9m1,AkkarBommer2010() SharmaEtAl2009() ToroEtAl2002() NathEtAl2012Upper() ToroEtAl2002() AtkinsonBoore20,3.3400234e-04
506,b1m1~b1m1_b2m1_b3m2_b4m4_b5m3_b6m1_b7m3_b8m3_b9m2,AkkarBommer2010() AkkarBommer2010() ToroEtAl2002() NathEtAl2012Upper() Campbell2003() AtkinsonBoore2,3.3400234e-04
507,b1m1~b1m3_b2m3_b3m1_b4m4_b5m3_b6m2_b7m4_b8m2_b9m3,CampbellBozorgnia2008() CampbellBozorgnia2008() AtkinsonBoore2006() NathEtAl2012Upper() Campbell2003,3.3300233e-04
508,b1m1~b1m3_b2m5_b3m3_b4m4_b5m2_b6m2_b7m2_b8m3_b9m2,CampbellBozorgnia2008() SharmaEtAl2009() SharmaEtAl2009() NathEtAl2012Upper() ToroEtAl2002() ZhaoEtA,3.3300233e-04
509,b1m1~b1m4_b2m5_b3m1_b4m3_b5m2_b6m3_b7m3_b8m1_b9m3,Kanno2006Shallow() SharmaEtAl2009() AtkinsonBoore2006() SharmaEtAl2009() ToroEtAl2002() Kanno2006Dee,3.3300233e-04
510,b1m1~b1m3_b2m5_b3m4_b4m2_b5m1_b6m1_b7m4_b8m1_b9m2,CampbellBozorgnia2008() SharmaEtAl2009() NathEtAl2012Lower() ToroEtAl2002() AtkinsonBoore2006() Atki,3.3400234e-04
511,b1m1~b1m1_b2m3_b3m2_b4m3_b5m3_b6m1_b7m2_b8m3_b9m1,AkkarBommer2010() CampbellBozorgnia2008() ToroEtAl2002() SharmaEtAl2009() Campbell2003() AtkinsonBoo,3.3400234e-04
512,b1m1~b1m1_b2m1_b3m4_b4m2_b5m4_b6m2_b7m2_b8m2_b9m4,AkkarBommer2010() AkkarBommer2010() NathEtAl2012Lower() ToroEtAl2002() RaghukanthIyengar2007() ZhaoE,3.3300233e-04
513,b1m1~b1m3_b2m2_b3m2_b4m3_b5m1_b6m1_b7m1_b8m4_b9m1,CampbellBozorgnia2008() BooreAtkinson2008() ToroEtAl2002() SharmaEtAl2009() AtkinsonBoore2006() Atki,3.3400234e-04
514,b1m1~b1m4_b2m3_b3m4_b4m3_b5m2_b6m2_b7m4_b8m3_b9m4,Kanno2006Shallow() CampbellBozorgnia2008() NathEtAl2012Lower() SharmaEtAl2009() ToroEtAl2002() ZhaoE,3.3300233e-04
515,b1m1~b1m4_b2m3_b3m4_b4m1_b5m3_b6m2_b7m4_b8m3_b9m2,Kanno2006Shallow() CampbellBozorgnia2008() NathEtAl2012Lower() AtkinsonBoore2006() Campbell2003() Zh,3.3300233e-04
516,b1m1~b1m4_b2m3_b3m4_b4m4_b5m3_b6m3_b7m4_b8m3_b9m1,Kanno2006Shallow() CampbellBozorgnia2008() NathEtAl2012Lower() NathEtAl2012Upper() Campbell2003() Ka,3.3300233e-04
517,b1m1~b1m2_b2m5_b3m1_b4m1_b5m1_b6m1_b7m3_b8m1_b9m4,BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() AtkinsonBoore2006() AtkinsonBoore2006() Atk,3.3400234e-04
518,b1m1~b1m2_b2m1_b3m3_b4m4_b5m3_b6m1_b7m3_b8m4_b9m1,BooreAtkinson2008() AkkarBommer2010() SharmaEtAl2009() NathEtAl2012Upper() Campbell2003() AtkinsonBo,3.3400234e-04
519,b1m1~b1m1_b2m1_b3m1_b4m4_b5m1_b6m2_b7m1_b8m1_b9m1,AkkarBommer2010() AkkarBommer2010() AtkinsonBoore2006() NathEtAl2012Upper() AtkinsonBoore2006() Zhao,3.3300233e-04
520,b1m1~b1m2_b2m2_b3m2_b4m2_b5m1_b6m1_b7m1_b8m2_b9m4,BooreAtkinson2008() BooreAtkinson2008() ToroEtAl2002() ToroEtAl2002() AtkinsonBoore2006() AtkinsonBo,3.3400234e-04
521,b1m1~b1m1_b2m1_b3m3_b4m1_b5m3_b6m2_b7m4_b8m4_b9m4,AkkarBommer2010() AkkarBommer2010() SharmaEtAl2009() AtkinsonBoore2006() Campbell2003() ZhaoEtAl2006,3.3300233e-04
522,b1m1~b1m4_b2m5_b3m2_b4m2_b5m2_b6m1_b7m3_b8m4_b9m2,Kanno2006Shallow() SharmaEtAl2009() ToroEtAl2002() ToroEtAl2002() ToroEtAl2002() AtkinsonBoore2003SI,3.3400234e-04
523,b1m1~b1m2_b2m1_b3m3_b4m4_b5m1_b6m3_b7m1_b8m4_b9m4,BooreAtkinson2008() AkkarBommer2010() SharmaEtAl2009() NathEtAl2012Upper() AtkinsonBoore2006() Kanno,3.3300233e-04
524,b1m1~b1m4_b2m2_b3m4_b4m3_b5m1_b6m3_b7m1_b8m4_b9m2,Kanno2006Shallow() BooreAtkinson2008() NathEtAl2012Lower() SharmaEtAl2009() AtkinsonBoore2006() Kann,3.3300233e-04
525,b1m1~b1m4_b2m4_b3m1_b4m2_b5m2_b6m1_b7m1_b8m3_b9m4,Kanno2006Shallow() Kanno2006Shallow() AtkinsonBoore2006() ToroEtAl2002() ToroEtAl2002() AtkinsonBoor,3.3400234e-04
526,b1m1~b1m2_b2m3_b3m1_b4m3_b5m2_b6m3_b7m4_b8m1_b9m3,BooreAtkinson2008() CampbellBozorgnia2008() AtkinsonBoore2006() SharmaEtAl2009() ToroEtAl2002() Kann,3.3300233e-04
527,b1m1~b1m4_b2m1_b3m1_b4m4_b5m2_b6m1_b7m2_b8m2_b9m3,Kanno2006Shallow() AkkarBommer2010() AtkinsonBoore2006() NathEtAl2012Upper() ToroEtAl2002() Atkinson,3.3400234e-04
528,b1m1~b1m3_b2m1_b3m1_b4m2_b5m3_b6m1_b7m1_b8m4_b9m3,CampbellBozorgnia2008() AkkarBommer2010() AtkinsonBoore2006() ToroEtAl2002() Campbell2003() Atkinson,3.3400234e-04
529,b1m1~b1m3_b2m2_b3m4_b4m1_b5m1_b6m2_b7m2_b8m3_b9m4,CampbellBozorgnia2008() BooreAtkinson2008() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoore200,3.3300233e-04
530,b1m1~b1m1_b2m3_b3m3_b4m2_b5m4_b6m1_b7m3_b8m1_b9m2,AkkarBommer2010() CampbellBozorgnia2008() SharmaEtAl2009() ToroEtAl2002() RaghukanthIyengar2007() At,3.3400234e-04
531,b1m1~b1m4_b2m3_b3m1_b4m2_b5m1_b6m2_b7m1_b8m1_b9m2,Kanno2006Shallow() CampbellBozorgnia2008() AtkinsonBoore2006() ToroEtAl2002() AtkinsonBoore2006() Zh,3.3300233e-04
532,b1m1~b1m3_b2m2_b3m3_b4m1_b5m4_b6m3_b7m2_b8m2_b9m3,CampbellBozorgnia2008() BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() RaghukanthIyengar20,3.3300233e-04
533,b1m1~b1m3_b2m1_b3m1_b4m3_b5m3_b6m1_b7m4_b8m4_b9m3,CampbellBozorgnia2008() AkkarBommer2010() AtkinsonBoore2006() SharmaEtAl2009() Campbell2003() Atkins,3.3400234e-04
534,b1m1~b1m4_b2m4_b3m3_b4m4_b5m4_b6m1_b7m2_b8m2_b9m2,Kanno2006Shallow() Kanno2006Shallow() SharmaEtAl2009() NathEtAl2012Upper() RaghukanthIyengar2007() A,3.3400234e-04
535,b1m1~b1m2_b2m5_b3m3_b4m3_b5m3_b6m3_b7m4_b8m1_b9m3,BooreAtkinson2008() SharmaEtAl2009() SharmaEtAl2009() SharmaEtAl2009() Campbell2003() Kanno2006Deep(,3.3300233e-04
536,b1m1~b1m2_b2m3_b3m3_b4m3_b5m1_b6m3_b7m2_b8m3_b9m1,BooreAtkinson2008() CampbellBozorgnia2008() SharmaEtAl2009() SharmaEtAl2009() AtkinsonBoore2006() Ka,3.3300233e-04
537,b1m1~b1m1_b2m5_b3m2_b4m1_b5m4_b6m2_b7m4_b8m3_b9m2,AkkarBommer2010() SharmaEtAl2009() ToroEtAl2002() AtkinsonBoore2006() RaghukanthIyengar2007() ZhaoEt,3.3300233e-04
538,b1m1~b1m3_b2m5_b3m3_b4m4_b5m2_b6m2_b7m4_b8m4_b9m3,CampbellBozorgnia2008() SharmaEtAl2009() SharmaEtAl2009() NathEtAl2012Upper() ToroEtAl2002() ZhaoEtA,3.3300233e-04
539,b1m1~b1m3_b2m1_b3m2_b4m1_b5m1_b6m3_b7m4_b8m4_b9m2,CampbellBozorgnia2008() AkkarBommer2010() ToroEtAl2002() AtkinsonBoore2006() AtkinsonBoore2006() Kan,3.3300233e-04
540,b1m1~b1m3_b2m5_b3m4_b4m1_b5m1_b6m2_b7m4_b8m4_b9m1,CampbellBozorgnia2008() SharmaEtAl2009() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoore2006(),3.3300233e-04
541,b1m1~b1m1_b2m2_b3m4_b4m2_b5m3_b6m1_b7m2_b8m2_b9m2,AkkarBommer2010() BooreAtkinson2008() NathEtAl2012Lower() ToroEtAl2002() Campbell2003() AtkinsonBoor,3.3400234e-04
542,b1m1~b1m1_b2m5_b3m3_b4m1_b5m2_b6m2_b7m4_b8m3_b9m2,AkkarBommer2010() SharmaEtAl2009() SharmaEtAl2009() AtkinsonBoore2006() ToroEtAl2002() ZhaoEtAl2006S,3.3300233e-04
543,b1m1~b1m4_b2m4_b3m3_b4m1_b5m3_b6m3_b7m4_b8m3_b9m2,Kanno2006Shallow() Kanno2006Shallow() SharmaEtAl2009() AtkinsonBoore2006() Campbell2003() Kanno2006D,3.3300233e-04
544,b1m1~b1m4_b2m1_b3m2_b4m1_b5m2_b6m3_b7m2_b8m2_b9m2,Kanno2006Shallow() AkkarBommer2010() ToroEtAl2002() AtkinsonBoore2006() ToroEtAl2002() Kanno2006Deep,3.3300233e-04
545,b1m1~b1m1_b2m3_b3m3_b4m1_b5m2_b6m2_b7m4_b8m1_b9m1,AkkarBommer2010() CampbellBozorgnia2008() SharmaEtAl2009() AtkinsonBoore2006() ToroEtAl2002() ZhaoEt,3.3300233e-04
546,b1m1~b1m4_b2m5_b3m2_b4m4_b5m3_b6m1_b7m4_b8m1_b9m4,Kanno2006Shallow() SharmaEtAl2009() ToroEtAl2002() NathEtAl2012Upper() Campbell2003() AtkinsonBoore2,3.3400234e-04
547,b1m1~b1m2_b2m1_b3m3_b4m4_b5m3_b6m1_b7m3_b8m3_b9m2,BooreAtkinson2008() AkkarBommer2010() SharmaEtAl2009() NathEtAl2012Upper() Campbell2003() AtkinsonBo,3.3400234e-04
548,b1m1~b1m3_b2m1_b3m2_b4m3_b5m2_b6m3_b7m1_b8m2_b9m2,CampbellBozorgnia2008() AkkarBommer2010() ToroEtAl2002() SharmaEtAl2009() ToroEtAl2002() Kanno2006De,3.3300233e-04
549,b1m1~b1m3_b2m5_b3m4_b4m4_b5m3_b6m3_b7m1_b8m4_b9m3,CampbellBozorgnia2008() SharmaEtAl2009() NathEtAl2012Lower() NathEtAl2012Upper() Campbell2003() Kann,3.3300233e-04
550,b1m1~b1m2_b2m3_b3m4_b4m1_b5m1_b6m1_b7m4_b8m2_b9m2,BooreAtkinson2008() CampbellBozorgnia2008() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoore200,3.3400234e-04
551,b1m1~b1m3_b2m2_b3m4_b4m3_b5m3_b6m2_b7m3_b8m3_b9m3,CampbellBozorgnia2008() BooreAtkinson2008() NathEtAl2012Lower() SharmaEtAl2009() Campbell2003() Zhao,3.3300233e-04
552,b1m1~b1m4_b2m2_b3m1_b4m4_b5m1_b6m3_b7m4_b8m3_b9m4,Kanno2006Shallow() BooreAtkinson2008() AtkinsonBoore2006() NathEtAl2012Upper() AtkinsonBoore2006() K,3.3300233e-04
553,b1m1~b1m4_b2m4_b3m1_b4m4_b5m2_b6m3_b7m3_b8m2_b9m1,Kanno2006Shallow() Kanno2006Shallow() AtkinsonBoore2006() NathEtAl2012Upper() ToroEtAl2002() Kanno20,3.3300233e-04
554,b1m1~b1m2_b2m5_b3m1_b4m4_b5m4_b6m3_b7m3_b8m1_b9m1,BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() NathEtAl2012Upper() RaghukanthIyengar2007(),3.3300233e-04
555,b1m1~b1m4_b2m3_b3m1_b4m4_b5m1_b6m1_b7m1_b8m2_b9m4,Kanno2006Shallow() CampbellBozorgnia2008() AtkinsonBoore2006() NathEtAl2012Upper() AtkinsonBoore2006,3.3400234e-04
556,b1m1~b1m3_b2m3_b3m2_b4m1_b5m1_b6m1_b7m4_b8m2_b9m1,CampbellBozorgnia2008() CampbellBozorgnia2008() ToroEtAl2002() AtkinsonBoore2006() AtkinsonBoore2006,3.3400234e-04
557,b1m1~b1m1_b2m1_b3m1_b4m4_b5m4_b6m3_b7m3_b8m3_b9m4,AkkarBommer2010() AkkarBommer2010() AtkinsonBoore2006() NathEtAl2012Upper() RaghukanthIyengar2007() ,3.3300233e-04
558,b1m1~b1m3_b2m5_b3m3_b4m3_b5m1_b6m2_b7m3_b8m3_b9m4,CampbellBozorgnia2008() SharmaEtAl2009() SharmaEtAl2009() SharmaEtAl2009() AtkinsonBoore2006() ZhaoE,3.3300233e-04
559,b1m1~b1m2_b2m5_b3m2_b4m2_b5m2_b6m2_b7m1_b8m2_b9m1,BooreAtkinson2008() SharmaEtAl2009() ToroEtAl2002() ToroEtAl2002() ToroEtAl2002() ZhaoEtAl2006SInter,3.3300233e-04
560,b1m1~b1m4_b2m3_b3m4_b4m1_b5m1_b6m2_b7m3_b8m2_b9m3,Kanno2006Shallow() CampbellBozorgnia2008() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoore2006,3.3300233e-04
561,b1m1~b1m2_b2m3_b3m1_b4m2_b5m3_b6m2_b7m1_b8m1_b9m4,BooreAtkinson2008() CampbellBozorgnia2008() AtkinsonBoore2006() ToroEtAl2002() Campbell2003() ZhaoEt,3.3300233e-04
562,b1m1~b1m4_b2m1_b3m1_b4m2_b5m1_b6m1_b7m1_b8m2_b9m2,Kanno2006Shallow() AkkarBommer2010() AtkinsonBoore2006() ToroEtAl2002() AtkinsonBoore2006() Atkinson,3.3400234e-04
563,b1m1~b1m4_b2m2_b3m1_b4m2_b5m1_b6m2_b7m3_b8m4_b9m1,Kanno2006Shallow() BooreAtkinson2008() AtkinsonBoore2006() ToroEtAl2002() AtkinsonBoore2006() ZhaoEt,3.3300233e-04
564,b1m1~b1m4_b2m1_b3m2_b4m3_b5m3_b6m2_b7m2_b8m4_b9m4,Kanno2006Shallow() AkkarBommer2010() ToroEtAl2002() SharmaEtAl2009() Campbell2003() ZhaoEtAl2006SInt,3.3300233e-04
565,b1m1~b1m4_b2m1_b3m1_b4m4_b5m4_b6m1_b7m4_b8m1_b9m4,Kanno2006Shallow() AkkarBommer2010() AtkinsonBoore2006() NathEtAl2012Upper() RaghukanthIyengar2007(),3.3400234e-04
566,b1m1~b1m3_b2m4_b3m2_b4m1_b5m2_b6m3_b7m2_b8m4_b9m2,CampbellBozorgnia2008() Kanno2006Shallow() ToroEtAl2002() AtkinsonBoore2006() ToroEtAl2002() Kanno20,3.3300233e-04
567,b1m1~b1m4_b2m2_b3m2_b4m2_b5m2_b6m2_b7m3_b8m4_b9m3,Kanno2006Shallow() BooreAtkinson2008() ToroEtAl2002() ToroEtAl2002() ToroEtAl2002() ZhaoEtAl2006SInt,3.3300233e-04
568,b1m1~b1m4_b2m3_b3m1_b4m4_b5m4_b6m1_b7m3_b8m1_b9m3,Kanno2006Shallow() CampbellBozorgnia2008() AtkinsonBoore2006() NathEtAl2012Upper() RaghukanthIyengar,3.3400234e-04
569,b1m1~b1m3_b2m4_b3m4_b4m3_b5m2_b6m2_b7m4_b8m2_b9m3,CampbellBozorgnia2008() Kanno2006Shallow() NathEtAl2012Lower() SharmaEtAl2009() ToroEtAl2002() ZhaoE,3.3300233e-04
570,b1m1~b1m4_b2m2_b3m3_b4m2_b5m1_b6m3_b7m3_b8m2_b9m4,Kanno2006Shallow() BooreAtkinson2008() SharmaEtAl2009() ToroEtAl2002() AtkinsonBoore2006() Kanno2006,3.3300233e-04
571,b1m1~b1m2_b2m1_b3m4_b4m4_b5m3_b6m3_b7m4_b8m1_b9m4,BooreAtkinson2008() AkkarBommer2010() NathEtAl2012Lower() NathEtAl2012Upper() Campbell2003() Kanno20,3.3300233e-04
572,b1m1~b1m4_b2m5_b3m1_b4m4_b5m3_b6m1_b7m1_b8m4_b9m4,Kanno2006Shallow() SharmaEtAl2009() AtkinsonBoore2006() NathEtAl2012Upper() Campbell2003() AtkinsonB,3.3400234e-04
573,b1m1~b1m2_b2m3_b3m3_b4m4_b5m1_b6m1_b7m1_b8m4_b9m1,BooreAtkinson2008() CampbellBozorgnia2008() SharmaEtAl2009() NathEtAl2012Upper() AtkinsonBoore2006(),3.3400234e-04
574,b1m1~b1m4_b2m5_b3m1_b4m1_b5m2_b6m3_b7m4_b8m1_b9m2,Kanno2006Shallow() SharmaEtAl2009() AtkinsonBoore2006() AtkinsonBoore2006() ToroEtAl2002() Kanno2006,3.3300233e-04
575,b1m1~b1m1_b2m2_b3m2_b4m3_b5m1_b6m2_b7m4_b8m3_b9m4,AkkarBommer2010() BooreAtkinson2008() ToroEtAl2002() SharmaEtAl2009() AtkinsonBoore2006() ZhaoEtAl20,3.3300233e-04
576,b1m1~b1m4_b2m5_b3m4_b4m1_b5m1_b6m2_b7m3_b8m3_b9m2,Kanno2006Shallow() SharmaEtAl2009() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoore2006() Zhao,3.3300233e-04
577,b1m1~b1m2_b2m2_b3m4_b4m1_b5m4_b6m2_b7m2_b8m4_b9m2,BooreAtkinson2008() BooreAtkinson2008() NathEtAl2012Lower() AtkinsonBoore2006() RaghukanthIyengar200,3.3300233e-04
578,b1m1~b1m4_b2m4_b3m1_b4m3_b5m1_b6m3_b7m2_b8m1_b9m3,Kanno2006Shallow() Kanno2006Shallow() AtkinsonBoore2006() SharmaEtAl2009() AtkinsonBoore2006() Kanno,3.3300233e-04
579,b1m1~b1m2_b2m3_b3m1_b4m1_b5m4_b6m2_b7m2_b8m1_b9m1,BooreAtkinson2008() CampbellBozorgnia2008() AtkinsonBoore2006() AtkinsonBoore2006() RaghukanthIyenga,3.3300233e-04
580,b1m1~b1m2_b2m2_b3m1_b4m1_b5m1_b6m2_b7m4_b8m2_b9m4,BooreAtkinson2008() BooreAtkinson2008() AtkinsonBoore2006() AtkinsonBoore2006() AtkinsonBoore2006() ,3.3300233e-04
581,b1m1~b1m2_b2m2_b3m3_b4m4_b5m3_b6m3_b7m4_b8m4_b9m3,BooreAtkinson2008() BooreAtkinson2008() SharmaEtAl2009() NathEtAl2012Upper() Campbell2003() Kanno200,3.3300233e-04
582,b1m1~b1m4_b2m3_b3m1_b4m3_b5m2_b6m2_b7m2_b8m1_b9m3,Kanno2006Shallow() CampbellBozorgnia2008() AtkinsonBoore2006() SharmaEtAl2009() ToroEtAl2002() ZhaoE,3.3300233e-04
583,b1m1~b1m1_b2m3_b3m2_b4m1_b5m4_b6m1_b7m2_b8m3_b9m4,AkkarBommer2010() CampbellBozorgnia2008() ToroEtAl2002() AtkinsonBoore2006() RaghukanthIyengar2007(),3.3400234e-04
584,b1m1~b1m2_b2m4_b3m2_b4m3_b5m3_b6m3_b7m4_b8m3_b9m2,BooreAtkinson2008() Kanno2006Shallow() ToroEtAl2002() SharmaEtAl2009() Campbell2003() Kanno2006Deep(,3.3300233e-04
585,b1m1~b1m2_b2m5_b3m1_b4m3_b5m3_b6m1_b7m4_b8m2_b9m3,BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() SharmaEtAl2009() Campbell2003() AtkinsonBoo,3.3400234e-04
586,b1m1~b1m1_b2m3_b3m1_b4m2_b5m4_b6m1_b7m2_b8m3_b9m2,AkkarBommer2010() CampbellBozorgnia2008() AtkinsonBoore2006() ToroEtAl2002() RaghukanthIyengar2007(),3.3400234e-04
587,b1m1~b1m2_b2m3_b3m2_b4m3_b5m2_b6m1_b7m3_b8m2_b9m1,BooreAtkinson2008() CampbellBozorgnia2008() ToroEtAl2002() SharmaEtAl2009() ToroEtAl2002() AtkinsonB,3.3400234e-04
588,b1m1~b1m1_b2m3_b3m3_b4m2_b5m4_b6m3_b7m2_b8m3_b9m2,AkkarBommer2010() CampbellBozorgnia2008() SharmaEtAl2009() ToroEtAl2002() RaghukanthIyengar2007() Ka,3.3300233e-04
589,b1m1~b1m1_b2m1_b3m3_b4m3_b5m4_b6m1_b7m4_b8m2_b9m1,AkkarBommer2010() AkkarBommer2010() SharmaEtAl2009() SharmaEtAl2009() RaghukanthIyengar2007() Atkins,3.3400234e-04
590,b1m1~b1m1_b2m1_b3m2_b4m4_b5m3_b6m3_b7m4_b8m4_b9m2,AkkarBommer2010() AkkarBommer2010() ToroEtAl2002() NathEtAl2012Upper() Campbell2003() Kanno2006Deep(,3.3300233e-04
591,b1m1~b1m3_b2m5_b3m4_b4m3_b5m2_b6m2_b7m2_b8m2_b9m3,CampbellBozorgnia2008() SharmaEtAl2009() NathEtAl2012Lower() SharmaEtAl2009() ToroEtAl2002() ZhaoEtA,3.3300233e-04
592,b1m1~b1m3_b2m1_b3m4_b4m1_b5m1_b6m2_b7m4_b8m4_b9m3,CampbellBozorgnia2008() AkkarBommer2010() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoore2006(,3.3300233e-04
593,b1m1~b1m4_b2m3_b3m4_b4m4_b5m1_b6m3_b7m1_b8m3_b9m1,Kanno2006Shallow() CampbellBozorgnia2008() NathEtAl2012Lower() NathEtAl2012Upper() AtkinsonBoore2006,3.3300233e-04
594,b1m1~b1m2_b2m4_b3m1_b4m3_b5m3_b6m1_b7m1_b8m3_b9m4,BooreAtkinson2008() Kanno2006Shallow() AtkinsonBoore2006() SharmaEtAl2009() Campbell2003() AtkinsonB,3.3400234e-04
595,b1m1~b1m2_b2m2_b3m1_b4m2_b5m2_b6m1_b7m4_b8m2_b9m1,BooreAtkinson2008() BooreAtkinson2008() AtkinsonBoore2006() ToroEtAl2002() ToroEtAl2002() AtkinsonBo,3.3400234e-04
596,b1m1~b1m2_b2m5_b3m2_b4m4_b5m3_b6m1_b7m1_b8m1_b9m1,BooreAtkinson2008() SharmaEtAl2009() ToroEtAl2002() NathEtAl2012Upper() Campbell2003() AtkinsonBoore,3.3400234e-04
597,b1m1~b1m2_b2m1_b3m2_b4m3_b5m3_b6m3_b7m4_b8m3_b9m2,BooreAtkinson2008() AkkarBommer2010() ToroEtAl2002() SharmaEtAl2009() Campbell2003() Kanno2006Deep(),3.3300233e-04
598,b1m1~b1m4_b2m4_b3m2_b4m3_b5m1_b6m2_b7m4_b8m3_b9m2,Kanno2006Shallow() Kanno2006Shallow() ToroEtAl2002() SharmaEtAl2009() AtkinsonBoore2006() ZhaoEtAl20,3.3300233e-04
599,b1m1~b1m1_b2m2_b3m2_b4m3_b5m1_b6m1_b7m1_b8m1_b9m1,AkkarBommer2010() BooreAtkinson2008() ToroEtAl2002() SharmaEtAl2009() AtkinsonBoore2006() AtkinsonBo,3.3400234e-04
600,b1m1~b1m3_b2m1_b3m3_b4m3_b5m2_b6m1_b7m3_b8m4_b9m3,CampbellBozorgnia2008() AkkarBommer2010() SharmaEtAl2009() SharmaEtAl2009() ToroEtAl2002() AtkinsonB,3.3400234e-04
601,b1m1~b1m3_b2m5_b3m2_b4m3_b5m4_b6m1_b7m2_b8m4_b9m4,CampbellBozorgnia2008() SharmaEtAl2009() ToroEtAl2002() SharmaEtAl2009() RaghukanthIyengar2007() Atk,3.3400234e-04
602,b1m1~b1m3_b2m2_b3m2_b4m1_b5m4_b6m1_b7m4_b8m4_b9m2,CampbellBozorgnia2008() BooreAtkinson2008() ToroEtAl2002() AtkinsonBoore2006() RaghukanthIyengar2007,3.3400234e-04
603,b1m1~b1m1_b2m1_b3m2_b4m3_b5m4_b6m1_b7m4_b8m2_b9m2,AkkarBommer2010() AkkarBommer2010() ToroEtAl2002() SharmaEtAl2009() RaghukanthIyengar2007() Atkinson,3.3400234e-04
604,b1m1~b1m1_b2m2_b3m3_b4m3_b5m1_b6m2_b7m2_b8m3_b9m1,AkkarBommer2010() BooreAtkinson2008() SharmaEtAl2009() SharmaEtAl2009() AtkinsonBoore2006() ZhaoEtAl,3.3300233e-04
605,b1m1~b1m3_b2m5_b3m2_b4m2_b5m4_b6m3_b7m3_b8m2_b9m4,CampbellBozorgnia2008() SharmaEtAl2009() ToroEtAl2002() ToroEtAl2002() RaghukanthIyengar2007() Kanno,3.3300233e-04
606,b1m1~b1m4_b2m1_b3m2_b4m1_b5m2_b6m1_b7m3_b8m4_b9m1,Kanno2006Shallow() AkkarBommer2010() ToroEtAl2002() AtkinsonBoore2006() ToroEtAl2002() AtkinsonBoore,3.3400234e-04
607,b1m1~b1m2_b2m5_b3m2_b4m2_b5m1_b6m2_b7m4_b8m2_b9m1,BooreAtkinson2008() SharmaEtAl2009() ToroEtAl2002() ToroEtAl2002() AtkinsonBoore2006() ZhaoEtAl2006S,3.3300233e-04
608,b1m1~b1m2_b2m5_b3m1_b4m2_b5m1_b6m3_b7m1_b8m1_b9m1,BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() ToroEtAl2002() AtkinsonBoore2006() Kanno200,3.3300233e-04
609,b1m1~b1m3_b2m1_b3m4_b4m4_b5m1_b6m1_b7m1_b8m4_b9m4,CampbellBozorgnia2008() AkkarBommer2010() NathEtAl2012Lower() NathEtAl2012Upper() AtkinsonBoore2006(,3.3400234e-04
610,b1m1~b1m3_b2m2_b3m4_b4m1_b5m1_b6m3_b7m4_b8m4_b9m1,CampbellBozorgnia2008() BooreAtkinson2008() NathEtAl2012Lower() AtkinsonBoore2006() AtkinsonBoore200,3.3300233e-04
611,b1m1~b1m3_b2m5_b3m4_b4m4_b5m4_b6m3_b7m3_b8m2_b9m3,CampbellBozorgnia2008() SharmaEtAl2009() NathEtAl2012Lower() NathEtAl2012Upper() RaghukanthIyengar20,3.3300233e-04
612,b1m1~b1m1_b2m3_b3m2_b4m3_b5m1_b6m3_b7m4_b8m4_b9m4,AkkarBommer2010() CampbellBozorgnia2008() ToroEtAl2002() SharmaEtAl2009() AtkinsonBoore2006() Kanno2,3.3300233e-04
613,b1m1~b1m3_b2m2_b3m2_b4m4_b5m1_b6m3_b7m4_b8m4_b9m3,CampbellBozorgnia2008() BooreAtkinson2008() ToroEtAl2002() NathEtAl2012Upper() AtkinsonBoore2006() K,3.3300233e-04
614,b1m1~b1m1_b2m2_b3m2_b4m3_b5m1_b6m2_b7m1_b8m2_b9m1,AkkarBommer2010() BooreAtkinson2008() ToroEtAl2002() SharmaEtAl2009() AtkinsonBoore2006() ZhaoEtAl20,3.3300233e-04
615,b1m1~b1m2_b2m5_b3m1_b4m4_b5m3_b6m3_b7m2_b8m2_b9m2,BooreAtkinson2008() SharmaEtAl2009() AtkinsonBoore2006() NathEtAl2012Upper() Campbell2003() Kanno200,3.3300233e-04
