# mean, investigation_time=1.0, imt="SA(1.0)"
lon,lat,depth,poe-0.0047,poe-0.0068,poe-0.01,poe-0.015,poe-0.022,poe-0.033,poe-0.047,poe-0.068,poe-0.1,poe-0.15,poe-0.22,poe-0.33,poe-0.47,poe-0.68,poe-1.0,poe-1.5,poe-2.2,poe-3.3,poe-4.7
68.20000,23.60000,0.00000,5.163988E-02,3.525084E-02,2.284739E-02,1.398678E-02,8.544761E-03,4.937749E-03,3.004848E-03,1.765303E-03,1.006707E-03,5.590972E-04,3.229155E-04,1.813416E-04,1.092750E-04,6.369788E-05,3.571837E-05,1.914682E-05,1.043414E-05,5.301828E-06,2.812888E-06
68.40000,23.80000,0.00000,5.455425E-02,3.731848E-02,2.424065E-02,1.487390E-02,9.106444E-03,5.274638E-03,3.216638E-03,1.893481E-03,1.080823E-03,5.997830E-04,3.456240E-04,1.934144E-04,1.161813E-04,6.754626E-05,3.778342E-05,2.017471E-05,1.092983E-05,5.506932E-06,2.894398E-06
68.60000,23.40000,0.00000,4.911661E-02,3.341646E-02,2.157995E-02,1.314758E-02,7.982163E-03,4.570978E-03,2.753729E-03,1.598713E-03,9.003325E-04,4.934660E-04,2.810674E-04,1.554580E-04,9.264098E-05,5.356401E-05,2.986656E-05,1.593875E-05,8.651136E-06,4.372353E-06,2.303306E-06
68.60000,23.60000,0.00000,5.207945E-02,3.547623E-02,2.293553E-02,1.399279E-02,8.511272E-03,4.888352E-03,2.955160E-03,1.722485E-03,9.733021E-04,5.346688E-04,3.051187E-04,1.691397E-04,1.009511E-04,5.840300E-05,3.253455E-05,1.731607E-05,9.367143E-06,4.718897E-06,2.481277E-06
68.80000,23.20000,0.00000,4.705897E-02,3.197169E-02,2.061953E-02,1.253977E-02,7.589629E-03,4.320342E-03,2.582308E-03,1.483889E-03,8.264201E-04,4.483320E-04,2.533835E-04,1.391971E-04,8.254032E-05,4.749502E-05,2.633968E-05,1.396974E-05,7.536361E-06,3.781265E-06,1.974900E-06
68.80000,23.40000,0.00000,4.993449E-02,3.393111E-02,2.187771E-02,1.330159E-02,8.054171E-03,4.593333E-03,2.753835E-03,1.588803E-03,8.880397E-04,4.826537E-04,2.729088E-04,1.500472E-04,8.907493E-05,5.130829E-05,2.846673E-05,1.508801E-05,8.126305E-06,4.071097E-06,2.127980E-06
68.80000,23.60000,0.00000,5.277757E-02,3.591410E-02,2.318507E-02,1.411585E-02,8.561837E-03,4.895612E-03,2.943898E-03,1.704019E-03,9.547349E-04,5.194518E-04,2.939078E-04,1.617375E-04,9.605497E-05,5.530285E-05,3.062708E-05,1.617721E-05,8.677565E-06,4.328494E-06,2.254016E-06
68.80000,23.80000,0.00000,5.538591E-02,3.779286E-02,2.446146E-02,1.493304E-02,9.082612E-03,5.211793E-03,3.145286E-03,1.827132E-03,1.026303E-03,5.590812E-04,3.165677E-04,1.742731E-04,1.034642E-04,5.950152E-05,3.288197E-05,1.730302E-05,9.232527E-06,4.571799E-06,2.361762E-06
68.80000,24.00000,0.00000,5.742867E-02,3.934973E-02,2.558210E-02,1.569461E-02,9.594052E-03,5.536359E-03,3.357081E-03,1.958267E-03,1.103051E-03,6.017031E-04,3.408391E-04,1.875402E-04,1.111851E-04,6.378241E-05,3.511013E-05,1.836930E-05,9.735412E-06,4.780548E-06,2.447439E-06
68.80000,24.20000,0.00000,5.968871E-02,4.106607E-02,2.680526E-02,1.651406E-02,1.013675E-02,5.876309E-03,3.576799E-03,2.093439E-03,1.182172E-03,6.458260E-04,3.659551E-04,2.011833E-04,1.190697E-04,6.812585E-05,3.736163E-05,1.944095E-05,1.023266E-05,4.979265E-06,2.525098E-06
69.00000,22.20000,0.00000,3.426090E-02,2.337840E-02,1.516199E-02,9.259128E-03,5.590664E-03,3.133458E-03,1.818928E-03,9.952243E-04,5.168231E-04,2.575398E-04,1.347810E-04,6.956335E-05,4.014216E-05,2.324389E-05,1.340619E-05,7.517419E-06,4.243742E-06,2.196350E-06,1.161240E-06
69.00000,22.40000,0.00000,3.691241E-02,2.516793E-02,1.630428E-02,9.947615E-03,6.009003E-03,3.378897E-03,1.973934E-03,1.092248E-03,5.771875E-04,2.945689E-04,1.579863E-04,8.329474E-05,4.844203E-05,2.787653E-05,1.580233E-05,8.689522E-06,4.835791E-06,2.475105E-06,1.298749E-06
69.00000,23.00000,0.00000,4.564048E-02,3.102996E-02,2.002306E-02,1.217342E-02,7.352097E-03,4.162218E-03,2.467712E-03,1.401856E-03,7.703392E-04,4.129258E-04,2.316938E-04,1.266424E-04,7.473240E-05,4.272818E-05,2.351085E-05,1.235759E-05,6.606032E-06,3.278199E-06,1.692937E-06
69.00000,23.20000,0.00000,4.837586E-02,3.286082E-02,2.118107E-02,1.286580E-02,7.769706E-03,4.405073E-03,2.619544E-03,1.494956E-03,8.255225E-04,4.437485E-04,2.488962E-04,1.358400E-04,8.011800E-05,4.580393E-05,2.518541E-05,1.321199E-05,7.046975E-06,3.493138E-06,1.806573E-06
69.00000,23.40000,0.00000,5.114855E-02,3.475005E-02,2.239378E-02,1.359986E-02,8.217106E-03,4.667590E-03,2.783830E-03,1.594590E-03,8.831349E-04,4.750770E-04,2.662592E-04,1.452457E-04,8.568043E-05,4.899846E-05,2.693825E-05,1.411384E-05,7.508934E-06,3.710037E-06,1.915001E-06
69.00000,23.60000,0.00000,5.385343E-02,3.664213E-02,2.364475E-02,1.438077E-02,8.704235E-03,4.956856E-03,2.964506E-03,1.702788E-03,9.445513E-04,5.080317E-04,2.845432E-04,1.551610E-04,9.148882E-05,5.226552E-05,2.867442E-05,1.496988E-05,7.930406E-06,3.899663E-06,2.003644E-06
69.00000,23.80000,0.00000,5.630121E-02,3.841593E-02,2.485607E-02,1.515856E-02,9.199875E-03,5.256712E-03,3.154123E-03,1.817238E-03,1.009835E-03,5.432754E-04,3.041972E-04,1.657678E-04,9.763950E-05,5.569177E-05,3.048571E-05,1.585812E-05,8.358921E-06,4.081716E-06,2.081033E-06
69.00000,24.00000,0.00000,5.810233E-02,3.979919E-02,2.585708E-02,1.584118E-02,9.659530E-03,5.548962E-03,3.344773E-03,1.934799E-03,1.077996E-03,5.805522E-04,3.250436E-04,1.769245E-04,1.040159E-04,5.916645E-05,3.226466E-05,1.669373E-05,8.744484E-06,4.237528E-06,2.143638E-06
69.00000,24.20000,0.00000,5.954313E-02,4.096624E-02,2.673684E-02,1.646114E-02,1.008749E-02,5.826777E-03,3.528406E-03,2.049369E-03,1.145379E-03,6.179787E-04,3.461145E-04,1.881822E-04,1.104201E-04,6.264163E-05,3.404274E-05,1.752946E-05,9.127240E-06,4.388357E-06,2.202264E-06
69.20000,22.00000,0.00000,3.372249E-02,2.305882E-02,1.497677E-02,9.145589E-03,5.506739E-03,3.063336E-03,1.757639E-03,9.447865E-04,4.791435E-04,2.324481E-04,1.190890E-04,6.063246E-05,3.480495E-05,2.010173E-05,1.157544E-05,6.484895E-06,3.657232E-06,1.889198E-06,9.970137E-07
69.20000,22.20000,0.00000,3.589852E-02,2.449018E-02,1.587080E-02,9.675987E-03,5.826129E-03,3.249770E-03,1.875034E-03,1.017705E-03,5.235416E-04,2.584553E-04,1.343009E-04,6.890751E-05,3.957539E-05,2.279384E-05,1.306402E-05,7.273585E-06,4.078156E-06,2.095857E-06,1.101973E-06
