Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
74.6,35.8,500,0,5.00975E-006,1
92.6,24.2,500,0,5.02265E-006,1
91.2,24.6,500,0,5.03688E-006,1
94,24.6,500,0,5.03688E-006,1
94.4,10,500,0,5.07248E-006,1
94.8,10,500,0,5.07248E-006,1
99.6,8.2,500,0,5.10952E-006,1
74.8,39.2,500,0,5.12566E-006,1
95.2,4.2,500,0,5.13142E-006,1
95.6,4.2,500,0,5.13142E-006,1
100,8.2,500,0,5.20624E-006,1
91.6,24.4,500,0,5.22616E-006,1
93.6,24.4,500,0,5.22616E-006,1
74.8,39,500,0,5.2321E-006,1
65.2,35.6,500,0,5.2743E-006,1
91.6,28.4,500,0,5.29405E-006,1
93.6,28.4,500,0,5.29405E-006,1
91.2,28.2,500,0,5.30962E-006,1
94,28.2,500,0,5.30962E-006,1
90.2,26,500,0,5.32678E-006,1
95,26,500,0,5.32678E-006,1
96.8,4.2,500,0,5.35027E-006,1
65,32.6,500,0,5.3756E-006,1
69,32.6,500,0,5.3756E-006,1
74.6,40,500,0,5.37679E-006,1
94.6,10,500,0,0.000005423,1
67.6,37.6,500,0,5.46594E-006,1
95.4,4.2,500,0,5.49175E-006,1
99.8,8.2,500,0,5.4959E-006,1
64.8,35.2,500,0,5.53554E-006,1
74.6,37,500,0,5.53825E-006,1
90.2,26.8,500,0,5.58805E-006,1
95,26.8,500,0,5.58805E-006,1
74.4,37.4,500,0,5.72237E-006,1
73.8,34.8,500,0,5.72971E-006,1
64.4,33.8,500,0,5.84632E-006,1
69.6,33.8,500,0,5.84632E-006,1
66,32,500,0,5.90169E-006,1
68,32,500,0,5.90169E-006,1
92.4,7.6,500,0,5.91442E-006,1
66,36,500,0,5.9507E-006,1
92.4,8,500,0,5.9549E-006,1
97,2.2,500,0,5.97021E-006,1
100.8,8,500,0,5.9937E-006,1
64.4,34.2,500,0,6.04085E-006,1
65,35.4,500,0,6.07386E-006,1
73,34.4,500,0,6.13792E-006,1
96.8,4.6,500,0,6.16348E-006,1
67.8,37.8,500,0,6.19688E-006,1
93.6,5,500,0,0.0000062,1
92.4,7.8,500,0,0.000006355,1
64.4,34,500,0,6.36369E-006,1
69.2,39.8,500,0,0.000006487,1
74.2,35.2,500,0,6.51841E-006,1
90.6,25.2,500,0,6.52922E-006,1
94.6,25.2,500,0,6.52922E-006,1
64.6,33.2,500,0,6.5362E-006,1
69.4,33.2,500,0,6.5362E-006,1
90.2,26.2,500,0,6.61947E-006,1
95,26.2,500,0,6.61947E-006,1
90.2,26.6,500,0,6.77989E-006,1
95,26.6,500,0,6.77989E-006,1
74,35,500,0,6.83116E-006,1
65.6,32.2,500,0,0.000006846,1
68.4,32.2,500,0,0.000006846,1
67.4,37.2,500,0,0.000006976,1
91,24.8,500,0,7.01745E-006,1
94.2,24.8,500,0,7.01745E-006,1
90.6,27.6,500,0,7.16852E-006,1
94.6,27.6,500,0,7.16852E-006,1
74.6,36,500,0,7.17275E-006,1
90.2,26.4,500,0,7.17372E-006,1
95,26.4,500,0,7.17372E-006,1
65.6,35.8,500,0,7.23527E-006,1
64.6,34.8,500,0,7.28741E-006,1
94.2,4.6,500,0,7.38454E-006,1
96.6,4.6,500,0,7.38454E-006,1
74.4,38,500,0,0.000007409,1
68.2,38.6,500,0,7.42381E-006,1
98.6,7.8,500,0,7.43544E-006,1
68.4,39,500,0,7.45954E-006,1
91,28,500,0,7.52417E-006,1
94.2,28,500,0,7.52417E-006,1
93.4,9.6,500,0,7.55551E-006,1
95.8,9.6,500,0,7.55551E-006,1
73.4,34.6,500,0,7.59025E-006,1
90.8,25,500,0,0.00000765,1
94.4,25,500,0,0.00000765,1
74.6,36.8,500,0,7.66873E-006,1
96.8,2.8,500,0,7.68254E-006,1
93.2,5.6,500,0,7.68965E-006,1
98,7.2,500,0,7.73166E-006,1
97.2,7.6,500,0,7.79531E-006,1
99,8,500,0,7.80583E-006,1
94.6,4.4,500,0,7.80753E-006,1
96.2,4.4,500,0,7.80753E-006,1
93.8,9.8,500,0,7.8404E-006,1
95.4,9.8,500,0,7.8404E-006,1
67.2,36.6,500,0,7.84472E-006,1
92.8,6.4,500,0,7.86027E-006,1
74.6,39.8,500,0,7.88517E-006,1
74.6,38.4,500,0,0.000008039,1
92.8,9,500,0,8.05218E-006,1
96.4,9,500,0,8.05218E-006,1
90.4,25.6,500,0,8.16168E-006,1
94.8,25.6,500,0,8.16168E-006,1
90.8,27.8,500,0,8.31757E-006,1
94.4,27.8,500,0,8.31757E-006,1
97.8,6.8,500,0,8.38424E-006,1
93,6,500,0,8.39737E-006,1
97.4,7.2,500,0,0.000008469,1
67.2,36.4,500,0,8.57977E-006,1
91.8,28.4,500,0,8.60312E-006,1
93.4,28.4,500,0,8.60312E-006,1
92.6,7,500,0,0.000008623,1
91.8,24.4,500,0,8.63955E-006,1
93.4,24.4,500,0,8.63955E-006,1
96.8,4,500,0,8.7902E-006,1
69,39.6,500,0,8.80274E-006,1
92.6,8.6,500,0,8.81381E-006,1
96.6,8.6,500,0,8.81381E-006,1
90.4,27.2,500,0,8.8261E-006,1
94.8,27.2,500,0,8.8261E-006,1
97.6,6.6,500,0,8.94448E-006,1
74.6,36.2,500,0,8.95587E-006,1
66.2,36,500,0,8.99637E-006,1
70,33.8,500,0,9.07126E-006,1
71.2,33.8,500,0,9.07126E-006,1
66.2,32,500,0,0.000009102,1
67.8,32,500,0,0.000009102,1
74.6,36.6,500,0,9.26036E-006,1
74.4,35.6,500,0,9.35209E-006,1
69.4,40,500,0,9.47242E-006,1
100.6,8,500,0,9.50088E-006,1
68.6,39.2,500,0,9.58184E-006,1
96.8,3,500,0,9.75024E-006,1
74.6,36.4,500,0,9.75193E-006,1
96.8,4.8,500,0,9.79873E-006,1
98.4,7.6,500,0,9.89506E-006,1
98.2,7.4,500,0,1.00252E-005,1
68.8,39.4,500,0,1.00774E-005,1
93.2,9.4,500,0,1.01283E-005,1
96,9.4,500,0,1.01283E-005,1
68.2,38.4,500,0,1.02589E-005,1
93,9.2,500,0,1.03462E-005,1
96.2,9.2,500,0,1.03462E-005,1
91.4,24.6,500,0,1.03987E-005,1
93.8,24.6,500,0,1.03987E-005,1
101,2.2,500,0,1.04056E-005,1
64.8,33,500,0,1.04075E-005,1
69.2,33,500,0,1.04075E-005,1
74.4,37.2,500,0,1.04488E-005,1
97.6,6,500,0,1.05825E-005,1
97.6,6.4,500,0,1.06493E-005,1
64.6,33.4,500,0,1.06977E-005,1
69.4,33.4,500,0,1.06977E-005,1
65.4,32.4,500,0,1.07151E-005,1
68.6,32.4,500,0,1.07151E-005,1
91.4,28.2,500,0,1.07204E-005,1
93.8,28.2,500,0,1.07204E-005,1
74.6,39.6,500,0,1.08048E-005,1
96.8,3.2,500,0,1.10041E-005,1
71.8,34,500,0,1.10389E-005,1
96.8,8.2,500,0,1.12103E-005,1
97.6,6.2,500,0,1.12619E-005,1
70.2,33.8,500,0,0.000011419,1
71,33.8,500,0,0.000011419,1
74.6,38.6,500,0,1.15339E-005,1
65.4,35.6,500,0,1.15583E-005,1
97,4.8,500,0,1.15895E-005,1
64.6,34.6,500,0,1.16072E-005,1
64.8,35,500,0,1.16235E-005,1
97.4,5.6,500,0,1.18181E-005,1
97.6,5.8,500,0,1.18655E-005,1
66.4,36,500,0,1.24074E-005,1
67.2,36.2,500,0,0.000012461,1
99.2,8,500,0,1.25169E-005,1
94,9.8,500,0,1.25188E-005,1
95.2,9.8,500,0,1.25188E-005,1
92,28.4,500,0,1.25506E-005,1
93.2,28.4,500,0,1.25506E-005,1
94.8,4.4,500,0,1.25535E-005,1
96,4.4,500,0,1.25535E-005,1
96.8,3.8,500,0,1.27113E-005,1
66.4,32,500,0,1.27492E-005,1
67.6,32,500,0,1.27492E-005,1
92,24.4,500,0,1.27728E-005,1
93.2,24.4,500,0,1.27728E-005,1
65.8,32.2,500,0,1.27825E-005,1
68.2,32.2,500,0,1.27825E-005,1
97,4.6,500,0,1.29715E-005,1
101,7.8,500,0,1.29734E-005,1
70.4,33.8,500,0,1.31101E-005,1
70.8,33.8,500,0,1.31101E-005,1
65.8,35.8,500,0,1.31636E-005,1
65,32.8,500,0,1.32026E-005,1
69,32.8,500,0,1.32026E-005,1
90.4,25.8,500,0,1.33072E-005,1
94.8,25.8,500,0,1.33072E-005,1
