lon,lat,nu
65.2,33.4,0.000212
65.2,33.6,0.0003
65.2,33.8,0.000371
65.2,34,0.0004
65.2,34.2,0.000376
65.4,33.2,0.000292
65.4,33.4,0.000474
65.4,33.6,0.00067
65.4,33.8,0.000827
65.4,34,0.000889
65.4,34.2,0.000835
65.4,34.4,0.000683
65.4,34.6,0.000487
65.6,33,0.00032
65.6,33.2,0.000595
65.6,33.4,0.000964
65.6,33.6,0.001362
65.6,33.8,0.001677
65.6,34,0.001801
65.6,34.2,0.001687
65.6,34.4,0.001378
65.6,34.6,0.000982
65.6,34.8,0.00061
65.8,32.8,0.00028
65.8,33,0.000595
65.8,33.2,0.001103
65.8,33.4,0.001785
65.8,33.6,0.002517
65.8,33.8,0.003096
65.8,34,0.003321
65.8,34.2,0.003106
65.8,34.4,0.002534
65.8,34.6,0.001802
65.8,34.8,0.001118
65.8,35,0.000605
66,32.6,0.000194
66,32.8,0.000473
66,33,0.001004
66,33.2,0.00186
66,33.4,0.003005
66,33.6,0.004234
66,33.8,0.005202
66,34,0.005572
66,34.2,0.005206
66,34.4,0.004241
66,34.6,0.003013
66,34.8,0.001867
66,35,0.001008
66,35.2,0.000475
66,35.4,0.000195
66.2,32.6,0.000298
66.2,32.8,0.000726
66.2,33,0.001541
66.2,33.2,0.002852
66.2,33.4,0.004604
66.2,33.6,0.006479
66.2,33.8,0.007952
66.2,34,0.00851
66.2,34.2,0.007943
66.2,34.4,0.006464
66.2,34.6,0.004588
66.2,34.8,0.002839
66.2,35,0.001532
66.2,35.2,0.000721
66.2,35.4,0.000296
66.4,32.6,0.000417
66.4,32.8,0.001014
66.4,33,0.002151
66.4,33.2,0.003977
66.4,33.4,0.006414
66.4,33.6,0.00902
66.4,33.8,0.011062
66.4,34,0.01183
66.4,34.2,0.011032
66.4,34.4,0.008972
66.4,34.6,0.006362
66.4,34.8,0.003934
66.4,35,0.002122
66.4,35.2,0.000998
66.4,35.4,0.000409
66.6,32.6,0.00053
66.6,32.8,0.001287
66.6,33,0.002729
66.6,33.2,0.005043
66.6,33.4,0.008129
66.6,33.6,0.011426
66.6,33.8,0.014004
66.6,34,0.014968
66.6,34.2,0.01395
66.6,34.4,0.011339
66.6,34.6,0.008036
66.6,34.8,0.004967
66.6,35,0.002677
66.6,35.2,0.001258
66.6,35.4,0.000516
66.8,32.4,0.000219
66.8,32.6,0.000611
66.8,32.8,0.001485
66.8,33,0.003147
66.8,33.2,0.005816
66.8,33.4,0.009371
66.8,33.6,0.013166
66.8,33.8,0.016132
66.8,34,0.017237
66.8,34.2,0.01606
66.8,34.4,0.013049
66.8,34.6,0.009245
66.8,34.8,0.005712
66.8,35,0.003078
66.8,35.2,0.001446
66.8,35.4,0.000592
66.8,35.6,0.000212
67,32.4,0.00023
67,32.6,0.000641
67,32.8,0.001558
67,33,0.003301
67,33.2,0.006099
67,33.4,0.009825
67,33.6,0.013804
67,33.8,0.016911
67,34,0.018067
67,34.2,0.016832
67,34.4,0.013674
67,34.6,0.009688
67,34.8,0.005985
67,35,0.003224
67,35.2,0.001515
67,35.4,0.00062
67,35.6,0.000222
67.2,32.4,0.000219
67.2,32.6,0.000611
67.2,32.8,0.001485
67.2,33,0.003147
67.2,33.2,0.005816
67.2,33.4,0.009371
67.2,33.6,0.013166
67.2,33.8,0.016132
67.2,34,0.017237
67.2,34.2,0.01606
67.2,34.4,0.013049
67.2,34.6,0.009245
67.2,34.8,0.005712
67.2,35,0.003078
67.2,35.2,0.001446
67.2,35.4,0.000592
67.2,35.6,0.000212
67.4,32.6,0.00053
67.4,32.8,0.001287
67.4,33,0.002729
67.4,33.2,0.005043
67.4,33.4,0.008129
67.4,33.6,0.011426
67.4,33.8,0.014004
67.4,34,0.014968
67.4,34.2,0.01395
67.4,34.4,0.011339
67.4,34.6,0.008036
67.4,34.8,0.004967
67.4,35,0.002677
67.4,35.2,0.001258
67.4,35.4,0.000519
67.6,32.6,0.000417
67.6,32.8,0.001014
67.6,33,0.002151
67.6,33.2,0.003977
67.6,33.4,0.006414
67.6,33.6,0.00902
67.6,33.8,0.011062
67.6,34,0.01183
67.6,34.2,0.011032
67.6,34.4,0.008972
67.6,34.6,0.006362
67.6,34.8,0.003934
67.6,35,0.002124
67.6,35.2,0.001007
67.6,35.4,0.000428
67.8,32.6,0.000298
67.8,32.8,0.000726
67.8,33,0.001541
67.8,33.2,0.002852
67.8,33.4,0.004604
67.8,33.6,0.006479
67.8,33.8,0.007952
67.8,34,0.00851
67.8,34.2,0.007943
67.8,34.4,0.006464
67.8,34.6,0.004588
67.8,34.8,0.002842
67.8,35,0.001544
67.8,35.2,0.000759
67.8,35.4,0.000374
68,32.6,0.000194
68,32.8,0.000473
68,33,0.001004
