Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
55,40,500,0,0.0153518,1
55.2,40,500,0,0.0159921,1
55.4,40,500,0,0.0158168,1
55.6,40,500,0,0.0147482,1
55.8,40,500,0,0.0129361,1
56,40,500,0,0.0106712,1
56.2,40,500,0,0.00836124,1
56.4,40,500,0,0.00627355,1
56.6,40,500,0,0.0045349,1
56.8,40,500,0,0.00317528,1
57,40,500,0,0.00216911,1
57.2,40,500,0,0.0014834,1
57.4,40,500,0,0.00107665,1
57.6,40,500,0,0.000883609,1
57.8,40,500,0,0.00083547,1
58,40,500,0,0.00082865,1
58.2,40,500,0,0.000794883,1
58.4,40,500,0,0.000696444,1
58.6,40,500,0,0.000548323,1
58.8,40,500,0,0.000377852,1
59,40,500,0,0.000231653,1
59.2,40,500,0,0.000123495,1
59.4,40,500,0,5.72469e-05,1
59.6,40,500,0,2.30755e-05,1
59.8,40,500,0,8.08811e-06,1
61.8,40,500,0,7.02262e-06,1
62,40,500,0,2.99666e-05,1
62.2,40,500,0,0.000134796,1
62.4,40,500,0,0.000508969,1
62.6,40,500,0,0.00152865,1
62.8,40,500,0,0.00405084,1
63,40,500,0,0.00945541,1
63.2,40,500,0,0.0194961,1
63.4,40,500,0,0.0355368,1
63.6,40,500,0,0.0573841,1
63.8,40,500,0,0.0822721,1
64,40,500,0,0.10508,1
64.2,40,500,0,0.120219,1
64.4,40,500,0,0.124296,1
64.6,40,500,0,0.117667,1
64.8,40,500,0,0.103719,1
65,40,500,0,0.0865794,1
65.2,40,500,0,0.069322,1
65.4,40,500,0,0.0536791,1
65.6,40,500,0,0.0412303,1
65.8,40,500,0,0.0340611,1
66,40,500,0,0.0344551,1
66.2,40,500,0,0.0440076,1
66.4,40,500,0,0.0628147,1
66.6,40,500,0,0.0890536,1
66.8,40,500,1,0.118926,1
67,40,500,0,0.146688,1
67.2,40,500,0,0.165603,1
67.4,40,500,2,0.170034,1
67.6,40,500,1,0.158404,1
67.8,40,500,0,0.135173,1
68,40,500,0,0.109957,1
68.2,40,500,0,0.0938519,1
68.4,40,500,0,0.0950328,1
68.6,40,500,0,0.115934,1
68.8,40,500,0,0.153016,1
69,40,500,0,0.198996,1
69.2,40,500,1,0.246177,1
69.4,40,500,0,0.288893,1
69.6,40,500,1,0.32425,1
69.8,40,500,1,0.350807,1
70,40,500,0,0.366932,1
70.2,40,500,0,0.37088,1
