lon,lat,nu
60,23.6,0.00267
60,23.8,0.003857
60,24,0.004949
60,24.2,0.005705
60,24.4,0.006033
60,24.6,0.006041
60,24.8,0.005996
60,25,0.006216
60,25.2,0.006972
60,25.4,0.008381
60,25.6,0.010347
60,25.8,0.012514
60,26,0.014334
60,26.2,0.015244
60,26.4,0.014863
60,26.6,0.013176
60,26.8,0.01056
60,27,0.007642
60,27.2,0.005085
60.2,23.6,0.001543
60.2,23.8,0.002349
60.2,24,0.003264
60.2,24.2,0.004199
60.2,24.4,0.005089
60.2,24.6,0.005874
60.2,24.8,0.006501
60.2,25,0.007001
60.2,25.2,0.007553
60.2,25.4,0.008485
60.2,25.6,0.010128
60.2,25.8,0.012545
60.2,26,0.015328
60.2,26.2,0.017655
60.2,26.4,0.018604
60.2,26.6,0.017636
60.2,26.8,0.014908
60.2,27,0.011204
60.2,27.2,0.007571
60.4,23.6,0.000934
60.4,23.8,0.001606
60.4,24,0.002588
60.4,24.2,0.003927
60.4,24.4,0.00554
60.4,24.6,0.007206
60.4,24.8,0.008589
60.4,25,0.009451
60.4,25.2,0.009913
60.4,25.4,0.010533
60.4,25.6,0.012061
60.4,25.8,0.014932
60.4,26,0.018811
60.4,26.2,0.022539
60.4,26.4,0.024621
60.4,26.6,0.024018
60.4,26.8,0.020734
60.4,27,0.015797
60.4,27.2,0.010698
60.4,27.4,0.006766
60.6,23.6,0.000695
60.6,23.8,0.001409
60.6,24,0.002648
60.6,24.2,0.004533
60.6,24.4,0.006991
60.6,24.6,0.009622
60.6,24.8,0.011812
60.6,25,0.013073
60.6,25.2,0.013477
60.6,25.4,0.013812
60.6,25.6,0.015236
60.6,25.8,0.018524
60.6,26,0.023378
60.6,26.2,0.028313
60.6,26.4,0.031286
60.6,26.6,0.030805
60.6,26.8,0.026768
60.6,27,0.020477
60.6,27.2,0.013849
60.6,27.4,0.008556
60.6,27.6,0.005607
60.8,23.4,0.000264
60.8,23.6,0.000663
60.8,23.8,0.001507
60.8,24,0.003067
60.8,24.2,0.00554
60.8,24.4,0.008834
60.8,24.6,0.012395
60.8,24.8,0.015353
60.8,25,0.016986
60.8,25.2,0.017309
60.8,25.4,0.017302
60.8,25.6,0.01847
60.8,25.8,0.021885
60.8,26,0.027305
60.8,26.2,0.032996
60.8,26.4,0.036511
60.8,26.6,0.036026
60.8,26.8,0.031363
60.8,27,0.024007
60.8,27.2,0.016207
60.8,27.4,0.009868
60.8,27.6,0.006063
60.8,27.8,0.005172
61,23.4,0.000258
61,23.6,0.000701
61,23.8,0.001671
61,24,0.003505
61,24.2,0.00645
61,24.4,0.010397
61,24.6,0.014686
61,24.8,0.018246
61,25,0.02016
61,25.2,0.020371
61,25.4,0.019961
61,25.6,0.02066
61,25.8,0.023757
61,26,0.029105
61,26.2,0.034895
61,26.4,0.038515
61,26.6,0.037985
61,26.8,0.033072
61,27,0.025312
61,27.2,0.017064
61,27.4,0.0103
61,27.6,0.00607
61,27.8,0.004635
61.2,23.4,0.000262
61.2,23.6,0.000724
61.2,23.8,0.001754
61.2,24,0.00372
61.2,24.2,0.006898
61.2,24.4,0.01118
61.2,24.6,0.015855
61.2,24.8,0.019749
61.2,25,0.021827
61.2,25.2,0.021933
61.2,25.4,0.021122
61.2,25.6,0.021184
61.2,25.8,0.023517
61.2,26,0.028105
61.2,26.2,0.033281
61.2,26.4,0.036547
61.2,26.6,0.035977
61.2,26.8,0.031308
61.2,27,0.023958
61.2,27.2,0.016131
61.2,27.4,0.009686
61.2,27.6,0.005559
61.2,27.8,0.003913
61.4,23.4,0.000246
61.4,23.6,0.000694
61.4,23.8,0.001697
61.4,24,0.003623
