lon,lat,nu
62.4,29.2,6.9e-05
62.4,29.4,9.9e-05
62.4,29.6,0.000112
62.4,29.8,0.000101
62.4,30,7.2e-05
62.4,30.2,4e-05
62.6,29,0.000145
62.6,29.2,0.000262
62.6,29.4,0.000375
62.6,29.6,0.000424
62.6,29.8,0.00038
62.6,30,0.000269
62.6,30.2,0.000151
62.6,30.4,6.7e-05
62.8,28.8,0.000202
62.8,29,0.000461
62.8,29.2,0.000831
62.8,29.4,0.001186
62.8,29.6,0.001339
62.8,29.8,0.001196
62.8,30,0.000846
62.8,30.2,0.000473
62.8,30.4,0.000209
62.8,30.6,7.3e-05
63,28.6,0.000188
63,28.8,0.00054
63,29,0.001227
63,29.2,0.002209
63,29.4,0.003146
63,29.6,0.003545
63,29.8,0.003161
63,30,0.00223
63,30.2,0.001245
63,30.4,0.00055
63,30.6,0.000192
63,30.8,5.3e-05
63.2,28.4,0.000116
63.2,28.6,0.00042
63.2,28.8,0.001204
63.2,29,0.002735
63.2,29.2,0.004915
63.2,29.4,0.006989
63.2,29.6,0.007863
63.2,29.8,0.007
63.2,30,0.004931
63.2,30.2,0.002748
63.2,30.4,0.001212
63.2,30.6,0.000423
63.2,30.8,0.000117
63.2,31,2.6e-05
63.4,28.4,0.000216
63.4,28.6,0.000784
63.4,28.8,0.002248
63.4,29,0.0051
63.4,29.2,0.009155
63.4,29.4,0.013002
63.4,29.6,0.01461
63.4,29.8,0.012991
63.4,30,0.00914
63.4,30.2,0.005088
63.4,30.4,0.002241
63.4,30.6,0.000781
63.4,30.8,0.000215
63.4,31,4.7e-05
63.6,28.4,0.000339
63.6,28.6,0.001226
63.6,28.8,0.003512
63.6,29,0.00796
63.6,29.2,0.014275
63.6,29.4,0.020256
63.6,29.6,0.022743
63.6,29.8,0.020204
63.6,30,0.014202
63.6,30.2,0.007899
63.6,30.4,0.003476
63.6,30.6,0.00121
63.6,30.8,0.000334
63.6,31,7.3e-05
63.8,28.4,0.000443
63.8,28.6,0.001603
63.8,28.8,0.00459
63.8,29,0.010397
63.8,29.2,0.018636
63.8,29.4,0.02643
63.8,29.6,0.029659
63.8,29.8,0.026334
63.8,30,0.018501
63.8,30.2,0.010285
63.8,30.4,0.004524
63.8,30.6,0.001574
63.8,30.8,0.000434
63.8,31,9.4e-05
64,28.4,0.000485
64,28.6,0.001753
64,28.8,0.005018
64,29,0.011365
64,29.2,0.020368
64,29.4,0.028881
64,29.6,0.032403
64,29.8,0.028766
64,30,0.020206
64,30.2,0.011231
64,30.4,0.004939
64,30.6,0.001719
64,30.8,0.000473
64,31,0.000103
64.2,28.4,0.000443
64.2,28.6,0.001603
64.2,28.8,0.00459
64.2,29,0.010397
64.2,29.2,0.018636
64.2,29.4,0.02643
64.2,29.6,0.029659
64.2,29.8,0.026334
64.2,30,0.018501
64.2,30.2,0.010285
64.2,30.4,0.004524
64.2,30.6,0.001574
64.2,30.8,0.000434
64.2,31,9.4e-05
64.4,28.4,0.000339
64.4,28.6,0.001226
64.4,28.8,0.003512
64.4,29,0.00796
64.4,29.2,0.014275
64.4,29.4,0.020256
64.4,29.6,0.022743
64.4,29.8,0.020204
64.4,30,0.014202
64.4,30.2,0.007899
64.4,30.4,0.003476
64.4,30.6,0.00121
64.4,30.8,0.000334
64.4,31,7.3e-05
64.6,28.4,0.000216
64.6,28.6,0.000784
64.6,28.8,0.002248
64.6,29,0.0051
64.6,29.2,0.009155
64.6,29.4,0.013002
64.6,29.6,0.01461
64.6,29.8,0.012991
64.6,30,0.00914
64.6,30.2,0.005088
64.6,30.4,0.002241
64.6,30.6,0.000781
64.6,30.8,0.000215
64.6,31,4.7e-05
64.8,28.4,0.000116
64.8,28.6,0.00042
64.8,28.8,0.001204
64.8,29,0.002735
64.8,29.2,0.004915
64.8,29.4,0.006989
64.8,29.6,0.007863
64.8,29.8,0.007
64.8,30,0.004931
64.8,30.2,0.002748
64.8,30.4,0.001212
64.8,30.6,0.000423
64.8,30.8,0.000117
64.8,31,2.6e-05
65,28.6,0.000188
65,28.8,0.00054
65,29,0.001227
65,29.2,0.002209
65,29.4,0.003146
65,29.6,0.003545
65,29.8,0.003161
65,30,0.00223
65,30.2,0.001245
65,30.4,0.00055
65,30.6,0.000192
65,30.8,5.3e-05
65.2,28.8,0.000202
65.2,29,0.000461
65.2,29.2,0.000831
65.2,29.4,0.001186
65.2,29.6,0.001339
65.2,29.8,0.001196
65.2,30,0.000846
65.2,30.2,0.000473
65.2,30.4,0.000209
65.2,30.6,7.3e-05
65.4,29,0.000145
65.4,29.2,0.000262
65.4,29.4,0.000375
65.4,29.6,0.000424
65.4,29.8,0.00038
65.4,30,0.000269
65.4,30.2,0.000151
65.4,30.4,6.7e-05
65.6,29.2,6.9e-05
65.6,29.4,9.9e-05
65.6,29.6,0.000112
65.6,29.8,0.000101
65.6,30,7.2e-05
65.6,30.2,4e-05
68,35.6,0.017517
68,35.8,0.014296
68,36,0.01004
68,36.2,0.006505
68,36.4,0.004397
68,36.6,0.003444
68,36.8,0.002934
68,37,0.002343
68,37.2,0.00157
68.2,35.4,0.028082
68.2,35.6,0.028324
68.2,35.8,0.024394
68.2,36,0.01862
68.2,36.2,0.01365
68.2,36.4,0.010619
68.2,36.6,0.009066
68.2,36.8,0.007843
68.2,37,0.006168
68.2,37.2,0.004019
68.2,37.4,0.002225
68.4,35.2,0.030973
68.4,35.4,0.0386
68.4,35.6,0.040886
68.4,35.8,0.037849
68.4,36,0.032347
68.4,36.2,0.027422
68.4,36.4,0.024255
68.4,36.6,0.021976
68.4,36.8,0.019004
68.4,37,0.014636
68.4,37.2,0.00954
68.4,37.4,0.005199
68.4,37.6,0.002304
68.6,35,0.0243
68.6,35.2,0.036648
68.6,35.4,0.047507
68.6,35.6,0.053814
68.6,35.8,0.055945
68.6,36,0.055962
68.6,36.2,0.055891
68.6,36.4,0.055212
68.6,36.6,0.051725
68.6,36.8,0.043912
68.6,37,0.032668
68.6,37.2,0.02063
68.6,37.4,0.01108
68.6,37.6,0.004972
68.6,37.8,0.001864
68.8,35,0.026186
68.8,35.2,0.039507
68.8,35.4,0.053706
68.8,35.6,0.068171
68.8,35.8,0.083741
68.8,36,0.100993
68.8,36.2,0.117055
68.8,36.4,0.124882
68.8,36.6,0.11839
68.8,36.8,0.09778
68.8,37,0.069669
68.8,37.2,0.04238
68.8,37.4,0.022152
68.8,37.6,0.009864
68.8,37.8,0.003836
69,34.8,0.018237
69,35,0.027464
69,35.2,0.040406
69,35.4,0.059729
69,35.6,0.089688
69,35.8,0.13447
69,36,0.192182
69,36.2,0.247247
69,36.4,0.275463
69,36.6,0.260944
69,36.8,0.209421
69,37,0.143015
69,37.2,0.083541
69,37.4,0.042087
69,37.6,0.018505
69,37.8,0.007476
69,38,0.003485
69.2,34.8,0.022227
69.2,35,0.029544
69.2,35.2,0.042614
69.2,35.4,0.071398
69.2,35.6,0.130494
69.2,35.8,0.233399
69.2,36,0.37343
69.2,36.2,0.509158
69.2,36.4,0.57873
69.2,36.6,0.545029
69.2,36.8,0.426836
69.2,37,0.280785
69.2,37.2,0.157295
