,zoneid,layerid,areal 4.5,areal 5.5,smoothed 4.5,smoothed 5.5,N 4.5,N 5.5,ratio 4.5,ratio 5.5
71,907,1.0,4.5186,0.3846,87.8459,12.1682,466.0,466.0,19.44,31.64
72,908,1.0,1.8621,0.2239,64.1973,3.8296,309.0,309.0,34.48,17.1
73,909,1.0,8.2224,0.3508,146.4385,16.6367,806.0,806.0,17.81,47.43
74,910,1.0,2.0417,0.2692,54.9328,5.3978,320.0,317.0,26.91,20.05
75,911,1.0,0.955,0.1318,28.7419,1.9033,263.0,262.0,30.1,14.44
76,912,1.0,0.631,0.0479,22.5312,0.44,138.0,138.0,35.71,9.19
77,913,1.0,1.4622,0.1718,14.237,1.3036,336.0,248.0,9.74,7.59
78,914,1.0,4.9545,0.4842,101.0852,16.5906,659.0,659.0,20.4,34.26
79,915,1.0,0.4074,0.0178,7.9513,0.006,140.0,11.0,19.52,0.34
80,916,1.0,1.7579,0.1972,65.1725,6.9318,496.0,488.0,37.07,35.15
81,917,1.0,1.7989,0.2427,35.1629,5.7059,2367.0,821.0,19.55,23.51
82,918,1.0,1.5849,0.2399,67.6984,16.9386,533.0,521.0,42.71,70.61
83,919,1.0,0.309,0.0589,31.1481,6.1814,1908.0,1206.0,100.8,104.95
84,921,1.0,0.1288,0.0224,7.6477,0.0032,864.0,28.0,59.38,0.14
85,922,1.0,0.3758,0.0305,24.3708,1.8457,199.0,169.0,64.85,60.51
86,923,1.0,0.1679,0.0313,3.1025,0.1861,558.0,102.0,18.48,5.95
87,924,1.0,0.0556,0.013,2.5446,0.1057,365.0,59.0,45.77,8.13
88,925,2.0,0.4169,0.0661,27.603,3.3898,155.0,155.0,66.21,51.28
89,926,2.0,1.5136,0.0794,67.4541,10.6215,499.0,499.0,44.57,133.77
90,927,2.0,1.2023,0.0724,52.0288,5.7203,366.0,366.0,43.27,79.01
91,928,2.0,2.7542,0.302,116.7413,17.3528,454.0,454.0,42.39,57.46
92,929,2.0,1.9498,0.2138,96.6833,10.4579,182.0,182.0,49.59,48.91
93,930,2.0,1.3032,0.0966,83.6495,6.1554,128.0,128.0,64.19,63.72
94,931,2.0,2.0184,0.1567,98.8545,12.3565,554.0,554.0,48.98,78.85
95,932,2.0,0.9226,0.1084,46.2094,11.4043,2170.0,1464.0,50.09,105.21
96,933,2.0,0.507,0.0653,31.1473,5.3729,2659.0,1068.0,61.43,82.28
97,935,3.0,0.9016,0.0767,105.4876,13.9405,871.0,755.0,117.0,181.75
98,936,3.0,0.4677,0.0269,31.2786,3.0947,1704.0,653.0,66.88,115.04
99,9031,2.0,1.0,1.0,15.2788,4.7053,455.0,415.0,15.28,4.71
100,9081,2.0,1.0,1.0,76.6546,5.8689,311.0,311.0,76.65,5.87
101,9131,2.0,1.0,1.0,43.1881,6.5877,304.0,290.0,43.19,6.59
102,9151,2.0,1.0,1.0,6.8088,2.2327,229.0,186.0,6.81,2.23
103,9171,2.0,1.0,1.0,40.5169,11.4939,2170.0,1533.0,40.52,11.49
104,All,1.0,79.4757,8.4216,2397.5216,327.1713,20659.0,14937.0,30.17,38.85
105,All,2.0,67.5499,10.4452,3491.6395,403.2733,19025.0,15814.0,51.69,38.61
106,All,3.0,35.7063,2.9145,1741.1989,142.4717,4841.0,3538.0,48.76,48.88
107,All,4.0,11.4753,1.5774,257.0109,112.5404,1191.0,738.0,22.4,71.35
108,All,All,194.2072,23.3587,7887.3709,985.4567,45716.0,35027.0,40.61,42.19
