Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
69.4,40,500,0,9.76538e-08,1
69.6,40,500,0,2.25795e-07,1
69.8,40,500,0,5.05845e-07,1
70,40,500,0,1.08763e-06,1
70.2,40,500,0,2.22153e-06,1
70.4,40,500,0,4.27184e-06,1
70.6,40,500,0,7.67966e-06,1
70.8,40,500,0,1.28434e-05,1
71,40,500,0,1.99145e-05,1
71.2,40,500,0,2.85672e-05,1
71.4,40,500,0,3.78586e-05,1
71.6,40,500,0,4.63106e-05,1
71.8,40,500,0,5.2261e-05,1
72,40,500,0,5.43886e-05,1
72.2,40,500,0,5.21893e-05,1
72.4,40,500,0,4.61454e-05,1
72.6,40,500,0,3.7638e-05,1
72.8,40,500,0,2.8296e-05,1
73,40,500,0,1.96075e-05,1
73.2,40,500,0,1.25234e-05,1
73.4,40,500,0,7.37264e-06,1
73.6,40,500,0,4.00062e-06,1
73.8,40,500,0,2.00095e-06,1
74,40,500,0,9.22469e-07,1
74.2,40,500,0,3.9199e-07,1
74.4,40,500,0,1.53535e-07,1
74.6,40,500,0,5.54308e-08,1
69,39.8,500,0,3.30559e-08,1
69.2,39.8,500,0,6.68764e-08,1
69.4,39.8,500,0,2.05827e-07,1
69.6,39.8,500,0,4.39292e-07,1
69.8,39.8,500,0,9.14916e-07,1
70,39.8,500,0,1.85298e-06,1
70.2,39.8,500,0,3.61887e-06,1
70.4,39.8,500,0,6.74463e-06,1
70.6,39.8,500,0,1.18776e-05,1
70.8,39.8,500,0,1.96066e-05,1
71,39.8,500,0,3.016e-05,1
71.2,39.8,500,0,4.30593e-05,1
71.4,39.8,500,0,5.69061e-05,1
71.6,39.8,500,0,6.94972e-05,1
71.8,39.8,500,0,7.83478e-05,1
72,39.8,500,0,8.14793e-05,1
72.2,39.8,500,0,7.81355e-05,1
72.4,39.8,500,0,6.9075e-05,1
72.6,39.8,500,0,5.62855e-05,1
72.8,39.8,500,0,4.22551e-05,1
73,39.8,500,0,2.92492e-05,1
73.2,39.8,500,0,1.86573e-05,1
73.4,39.8,500,0,1.09668e-05,1
73.6,39.8,500,0,5.94038e-06,1
73.8,39.8,500,0,2.96517e-06,1
74,39.8,500,0,1.36392e-06,1
74.2,39.8,500,0,5.78137e-07,1
74.4,39.8,500,0,2.25829e-07,1
74.6,39.8,500,0,8.12904e-08,1
68.8,39.6,500,0,4.11949e-08,1
69,39.6,500,0,9.07499e-08,1
69.2,39.6,500,0,2.20803e-07,1
69.4,39.6,500,0,4.5459e-07,1
69.6,39.6,500,0,8.99536e-07,1
69.8,39.6,500,0,1.72746e-06,1
70,39.6,500,0,3.23728e-06,1
70.2,39.6,500,0,5.91558e-06,1
70.4,39.6,500,0,1.04697e-05,1
70.6,39.6,500,0,1.77933e-05,1
70.8,39.6,500,0,2.86379e-05,1
71,39.6,500,0,4.33357e-05,1
71.2,39.6,500,0,6.12354e-05,1
71.4,39.6,500,0,8.0414e-05,1
71.6,39.6,500,0,9.78238e-05,1
71.8,39.6,500,0,0.000110013,1
72,39.6,500,0,0.000114226,1
72.2,39.6,500,0,0.000109408,1
72.4,39.6,500,0,9.66037e-05,1
72.6,39.6,500,0,7.86415e-05,1
72.8,39.6,500,0,5.89974e-05,1
73,39.6,500,0,4.07665e-05,1
73.2,39.6,500,0,2.59701e-05,1
73.4,39.6,500,0,1.52419e-05,1
73.6,39.6,500,0,8.24145e-06,1
73.8,39.6,500,0,4.10551e-06,1
74,39.6,500,0,1.88422e-06,1
74.2,39.6,500,0,7.96706e-07,1
74.4,39.6,500,0,3.10362e-07,1
74.6,39.6,500,0,1.1139e-07,1
74.8,39.6,500,0,3.68325e-08,1
68.6,39.4,500,0,4.32907e-08,1
68.8,39.4,500,0,1.03891e-07,1
69,39.4,500,0,2.29382e-07,1
69.2,39.4,500,0,5.1227e-07,1
69.4,39.4,500,0,1.01131e-06,1
69.6,39.4,500,0,1.8899e-06,1
69.8,39.4,500,0,3.37911e-06,1
70,39.4,500,0,5.86917e-06,1
70.2,39.4,500,0,9.89306e-06,1
70.4,39.4,500,0,1.62824e-05,1
70.6,39.4,500,0,2.60489e-05,1
70.8,39.4,500,0,4.01373e-05,1
71,39.4,500,0,5.89258e-05,1
71.2,39.4,500,0,8.16132e-05,1
71.4,39.4,500,0,0.000105806,1
71.6,39.4,500,0,0.000127675,1
