Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
58,40,500,0,9.47478e-08,1
58.2,40,500,0,2.8115e-07,1
58.4,40,500,0,7.69708e-07,1
58.6,40,500,0,1.94416e-06,1
58.8,40,500,0,4.53055e-06,1
59,40,500,0,9.74057e-06,1
59.2,40,500,0,1.9321e-05,1
59.4,40,500,0,3.53577e-05,1
59.6,40,500,0,5.96963e-05,1
59.8,40,500,0,9.29862e-05,1
60,40,500,0,0.000133628,1
60.2,40,500,0,0.000177166,1
60.4,40,500,0,0.000216705,1
60.6,40,500,0,0.000244546,1
60.8,40,500,0,0.0002546,1
61,40,500,0,0.000244584,1
61.2,40,500,0,0.000216885,1
61.4,40,500,0,0.000177614,1
61.6,40,500,0,0.000134707,1
61.8,40,500,0,9.5478e-05,1
62,40,500,0,6.5156e-05,1
62.2,40,500,0,4.66232e-05,1
62.4,40,500,0,4.10704e-05,1
62.6,40,500,0,4.88443e-05,1
62.8,40,500,0,6.97928e-05,1
63,40,500,0,0.000102834,1
63.2,40,500,0,0.000145038,1
63.4,40,500,0,0.000190936,1
63.6,40,500,0,0.000232814,1
63.8,40,500,0,0.000262285,1
64,40,500,0,0.000272882,1
64.2,40,500,0,0.000262046,1
64.4,40,500,0,0.000232245,1
64.6,40,500,0,0.000189957,1
64.8,40,500,0,0.000143365,1
65,40,500,0,9.99237e-05,1
65.2,40,500,0,6.43716e-05,1
65.4,40,500,0,3.84836e-05,1
65.6,40,500,0,2.17317e-05,1
65.8,40,500,0,1.24e-05,1
66,40,500,0,8.68884e-06,1
66.2,40,500,0,9.44405e-06,1
66.4,40,500,0,1.43338e-05,1
66.6,40,500,0,2.3676e-05,1
66.8,40,500,0,3.81037e-05,1
67,40,500,0,5.77618e-05,1
67.2,40,500,0,8.17851e-05,1
67.4,40,500,0,0.000107589,1
67.6,40,500,0,0.000131267,1
67.8,40,500,0,0.000148376,1
68,40,500,0,0.000155488,1
68.2,40,500,0,0.000151004,1
68.4,40,500,0,0.00013642,1
68.6,40,500,0,0.00011566,1
68.8,40,500,0,9.40925e-05,1
69,40,500,0,7.74259e-05,1
69.2,40,500,0,7.03871e-05,1
69.4,40,500,0,7.63877e-05,1
69.6,40,500,0,9.65506e-05,1
69.8,40,500,0,0.00012969,1
70,40,500,0,0.000172177,1
70.2,40,500,0,0.000218408,1
70.4,40,500,0,0.000262022,1
70.6,40,500,0,0.000297913,1
70.8,40,500,0,0.000323781,1
71,40,500,0,0.000340697,1
71.2,40,500,0,0.000351801,1
71.4,40,500,0,0.000360411,1
