longitude,latitude,nu5_5,Observed Count,Smoothed Rate,ratio
65.1,33.6,0.0001,0,4.84e-05,0.48399999999999993
65.1,33.7,0.0001,0,5.48e-05,0.5479999999999999
65.1,33.8,0.0001,0,5.99e-05,0.599
65.1,33.9,0.0001,0,6.33e-05,0.6329999999999999
65.1,34.0,0.0001,0,6.47e-05,0.647
65.1,34.1,0.0001,0,6.38e-05,0.638
65.1,34.2,0.0001,0,6.09e-05,0.609
65.2,33.4,0.0001,0,5.29e-05,0.5289999999999999
65.2,33.5,0.0001,0,6.41e-05,0.641
65.2,33.6,0.0001,0,7.5e-05,0.7499999999999999
65.2,33.7,0.0001,0,8.48e-05,0.848
65.2,33.8,0.0001,0,9.27e-05,0.927
65.2,33.9,0.0001,0,9.79e-05,0.9789999999999999
65.2,34.0,0.0001,0,9.99e-05,0.999
65.2,34.1,0.0001,0,9.86e-05,0.9859999999999999
65.2,34.2,0.0001,0,9.39e-05,0.9390000000000001
65.2,34.3,0.0001,0,8.65e-05,0.865
65.3,33.2,0.0001,0,4.93e-05,0.49299999999999994
65.3,33.3,0.0001,0,6.39e-05,0.6389999999999999
65.3,33.4,0.0001,0,8.01e-05,0.8009999999999999
65.3,33.5,0.0001,0,9.7e-05,0.97
65.3,33.6,0.0001,0,0.0001134,1.134
65.3,33.7,0.0001,0,0.0001282,1.282
65.3,33.8,0.0001,0,0.0001401,1.4009999999999998
65.3,33.9,0.0002,0,0.0001479,0.7394999999999999
65.3,34.0,0.0002,0,0.0001508,0.754
65.3,34.1,0.0002,0,0.0001487,0.7435
65.3,34.2,0.0001,0,0.0001417,1.417
65.3,34.3,0.0001,0,0.0001304,1.3039999999999998
65.3,34.4,0.0001,0,0.000116,1.16
65.3,34.5,0.0001,0,9.97e-05,0.9969999999999999
65.4,33.1,0.0001,0,5.44e-05,0.5439999999999999
65.4,33.2,0.0001,0,7.3e-05,0.73
65.4,33.3,0.0001,0,9.46e-05,0.946
65.4,33.4,0.0001,0,0.0001184,1.184
65.4,33.5,0.0001,0,0.0001433,1.4329999999999998
65.4,33.6,0.0002,0,0.0001675,0.8375
65.4,33.7,0.0002,0,0.0001893,0.9464999999999999
65.4,33.8,0.0002,0,0.0002067,1.0335
65.4,33.9,0.0002,0,0.0002181,1.0904999999999998
65.4,34.0,0.0002,0,0.0002224,1.112
65.4,34.1,0.0002,0,0.0002191,1.0955
65.4,34.2,0.0002,0,0.0002086,1.043
65.4,34.3,0.0002,0,0.000192,0.96
65.4,34.4,0.0002,0,0.0001707,0.8534999999999999
65.4,34.5,0.0002,0,0.0001467,0.7334999999999999
65.4,34.6,0.0001,0,0.0001218,1.218
65.5,33.0,0.0001,0,5.67e-05,0.567
65.5,33.1,0.0001,0,7.87e-05,0.787
65.5,33.2,0.0001,0,0.0001054,1.054
65.5,33.3,0.0001,0,0.0001366,1.366
65.5,33.4,0.0002,0,0.0001709,0.8545
65.5,33.5,0.0002,0,0.0002067,1.0335
65.5,33.6,0.0003,0,0.0002416,0.8053333333333333
65.5,33.7,0.0003,0,0.0002729,0.9096666666666668
65.5,33.8,0.0003,0,0.0002979,0.993
65.5,33.9,0.0003,0,0.0003142,1.0473333333333334
65.5,34.0,0.0003,0,0.0003202,1.0673333333333332
65.5,34.1,0.0003,0,0.0003154,1.0513333333333335
65.5,34.2,0.0003,0,0.0003002,1.0006666666666666
65.5,34.3,0.0003,0,0.0002761,0.9203333333333333
65.5,34.4,0.0003,0,0.0002454,0.8180000000000001
65.5,34.5,0.0002,0,0.0002108,1.054
65.5,34.6,0.0002,0,0.0001749,0.8744999999999999
65.5,34.7,0.0001,0,0.0001403,1.4029999999999998
65.6,32.9,0.0001,0,5.58e-05,0.5579999999999999
65.6,33.0,0.0001,0,8.01e-05,0.8009999999999999
65.6,33.1,0.0001,0,0.000111,1.1099999999999999
65.6,33.2,0.0002,0,0.0001488,0.744
65.6,33.3,0.0002,0,0.0001926,0.963
65.6,33.4,0.0003,0,0.000241,0.8033333333333335
65.6,33.5,0.0003,0,0.0002914,0.9713333333333334
65.6,33.6,0.0004,0,0.0003404,0.8509999999999999
