Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
73,39.6,500,0,4.62038e-07,1
73.2,39.6,500,0,9.90978e-07,1
73.4,39.6,500,0,1.4643e-06,1
73.6,39.6,500,0,1.88424e-06,1
73.8,39.6,500,0,2.112e-06,1
74,39.6,500,0,2.06256e-06,1
74.2,39.6,500,0,1.75536e-06,1
74.4,39.6,500,0,1.30212e-06,1
74.6,39.6,500,0,8.42017e-07,1
74.8,39.6,500,0,2.31019e-07,1
72.6,39.4,500,0,5.97138e-07,1
72.8,39.4,500,0,1.60668e-06,1
73,39.4,500,0,3.13887e-06,1
73.2,39.4,500,0,5.33524e-06,1
73.4,39.4,500,0,7.89204e-06,1
73.6,39.4,500,0,1.01624e-05,1
73.8,39.4,500,0,1.13944e-05,1
74,39.4,500,0,1.11269e-05,1
74.2,39.4,500,0,9.46543e-06,1
74.4,39.4,500,0,7.01564e-06,1
74.6,39.4,500,0,4.53123e-06,1
74.8,39.4,500,0,2.55052e-06,1
75,39.4,500,0,1.25119e-06,1
75.2,39.4,500,0,2.98569e-07,1
71,39.2,500,0,2.06733e-07,1
71.2,39.2,500,0,3.41938e-07,1
71.4,39.2,500,0,4.89829e-07,1
71.6,39.2,500,0,6.07721e-07,1
71.8,39.2,500,0,6.53016e-07,1
72,39.2,500,0,6.07721e-07,1
72.2,39.2,500,0,8.46614e-07,1
72.4,39.2,500,0,1.56295e-06,1
72.6,39.2,500,0,3.36896e-06,1
72.8,39.2,500,0,7.1186e-06,1
73,39.2,500,0,1.3933e-05,1
73.2,39.2,500,0,2.3717e-05,1
73.4,39.2,500,0,3.51207e-05,1
73.6,39.2,500,0,4.52557e-05,1
73.8,39.2,500,0,5.07577e-05,1
74,39.2,500,0,4.95629e-05,1
74.2,39.2,500,0,4.21434e-05,1
74.4,39.2,500,0,3.12104e-05,1
74.6,39.2,500,0,2.01339e-05,1
74.8,39.2,500,0,1.13151e-05,1
75,39.2,500,0,5.53999e-06,1
75.2,39.2,500,0,2.36308e-06,1
75.4,39.2,500,0,8.78094e-07,1
75.6,39.2,500,0,1.78392e-07,1
70.6,39,500,0,4.83858e-07,1
70.8,39,500,0,9.56897e-07,1
71,39,500,0,1.66918e-06,1
71.2,39,500,0,3.17528e-06,1
71.4,39,500,0,6.30888e-06,1
71.6,39,500,0,8.79636e-06,1
71.8,39,500,0,1.09553e-05,1
72,39,500,0,1.23964e-05,1
72.2,39,500,0,1.31987e-05,1
