Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
63.9,39.8,500,0,1.42242e-06,1
64,39.8,500,0,1.49849e-06,1
64.1,39.8,500,0,1.54608e-06,1
64.2,39.8,500,0,1.56227e-06,1
64.3,39.8,500,0,1.54608e-06,1
64.4,39.8,500,0,1.49849e-06,1
64.5,39.8,500,0,1.42242e-06,1
64.6,39.8,500,0,1.32236e-06,1
64.7,39.8,500,0,1.20399e-06,1
64.8,39.8,500,0,1.0736e-06,1
64.9,39.8,500,0,9.37587e-07,1
65,39.8,500,0,8.0192e-07,1
69.8,39.8,500,0,1.20351e-06,1
69.9,39.8,500,0,2.06837e-06,1
70,39.8,500,0,3.48285e-06,1
70.1,39.8,500,0,5.74604e-06,1
70.2,39.8,500,0,9.28817e-06,1
70.3,39.8,500,0,1.47102e-05,1
70.4,39.8,500,0,2.28262e-05,1
70.5,39.8,500,0,3.47037e-05,1
70.6,39.8,500,0,5.16944e-05,1
70.7,39.8,500,0,7.72142e-05,1
70.8,39.8,500,0,0.00011356,1
70.9,39.8,500,0,0.000162609,1
71,39.8,500,0,0.000227362,1
71.1,39.8,500,0,0.000311067,1
71.2,39.8,500,0,0.000415648,1
71.3,39.8,500,0,0.000543024,1
71.4,39.8,500,0,0.000696322,1
71.5,39.8,500,0,0.000876581,1
71.6,39.8,500,0,0.00108452,1
71.7,39.8,500,0,0.00131714,1
71.8,39.8,500,0,0.00157175,1
71.9,39.8,500,0,0.00184346,1
72,39.8,500,0,0.00212584,1
72.1,39.8,500,0,0.00241211,1
72.2,39.8,500,0,0.00269237,1
72.3,39.8,500,0,0.00295827,1
72.4,39.8,500,0,0.003201,1
72.5,39.8,500,0,0.00341238,1
72.6,39.8,500,0,0.00358536,1
72.7,39.8,500,0,0.00371437,1
72.8,39.8,500,0,0.00379557,1
72.9,39.8,500,0,0.00382704,1
73,39.8,500,0,0.00380876,1
73.1,39.8,500,0,0.00374253,1
73.2,39.8,500,0,0.00363107,1
73.3,39.8,500,0,0.00348013,1
73.4,39.8,500,0,0.0032949,1
73.5,39.8,500,0,0.00308442,1
73.6,39.8,500,0,0.00285397,1
73.7,39.8,500,0,0.00261076,1
73.8,39.8,500,0,0.00236174,1
73.9,39.8,500,0,0.00211421,1
74,39.8,500,0,0.00187214,1
74.1,39.8,500,0,0.00164089,1
74.2,39.8,500,0,0.00142403,1
74.3,39.8,500,0,0.00122404,1
74.4,39.8,500,0,0.00104244,1
74.5,39.8,500,0,0.000879231,1
74.6,39.8,500,0,0.000735047,1
74.7,39.8,500,0,0.00060899,1
74.8,39.8,500,0,0.000500784,1
74.9,39.8,500,0,0.000407498,1
75,39.8,500,0,0.000329023,1
75.1,39.8,500,0,0.000263047,1
75.2,39.8,500,0,0.000208118,1
75.3,39.8,500,0,0.000161605,1
75.4,39.8,500,0,0.000125218,1
75.5,39.8,500,0,9.46659e-05,1
75.6,39.8,500,0,7.10519e-05,1
75.7,39.8,500,0,5.30604e-05,1
75.8,39.8,500,0,3.79693e-05,1
75.9,39.8,500,0,2.70692e-05,1
76,39.8,500,0,1.88861e-05,1
76.1,39.8,500,0,1.33877e-05,1
76.2,39.8,500,0,8.58795e-06,1
76.3,39.8,500,0,5.23262e-06,1
76.4,39.8,500,0,3.50091e-06,1
76.5,39.8,500,0,2.29453e-06,1
76.6,39.8,500,0,1.47319e-06,1
76.7,39.8,500,0,9.2656e-07,1
63.1,39.7,500,0,8.44793e-07,1
63.2,39.7,500,0,1.05176e-06,1
63.3,39.7,500,0,1.2824e-06,1
63.4,39.7,500,0,1.53131e-06,1
63.5,39.7,500,0,1.79078e-06,1
63.6,39.7,500,0,2.05095e-06,1
63.7,39.7,500,0,2.30042e-06,1
63.8,39.7,500,0,2.52693e-06,1
63.9,39.7,500,0,2.71842e-06,1
64,39.7,500,0,2.86402e-06,1
64.1,39.7,500,0,2.9551e-06,1
64.2,39.7,500,0,2.9861e-06,1
64.3,39.7,500,0,2.9551e-06,1
64.4,39.7,500,0,2.86402e-06,1
64.5,39.7,500,0,2.71842e-06,1
64.6,39.7,500,0,2.52693e-06,1
64.7,39.7,500,0,2.30042e-06,1
64.8,39.7,500,0,2.05095e-06,1
64.9,39.7,500,0,1.79078e-06,1
65,39.7,500,0,1.53131e-06,1
65.1,39.7,500,0,1.2824e-06,1
65.2,39.7,500,0,1.05176e-06,1
65.3,39.7,500,0,8.44793e-07,1
69.7,39.7,500,0,8.02787e-07,1
69.8,39.7,500,0,1.4093e-06,1
69.9,39.7,500,0,2.42395e-06,1
70,39.7,500,0,4.08468e-06,1
70.1,39.7,500,0,6.74382e-06,1
70.2,39.7,500,0,1.09086e-05,1
70.3,39.7,500,0,1.72881e-05,1
70.4,39.7,500,0,2.68434e-05,1
70.5,39.7,500,0,4.08359e-05,1
70.6,39.7,500,0,6.31467e-05,1
70.7,39.7,500,0,9.60227e-05,1
70.8,39.7,500,0,0.000141188,1
70.9,39.7,500,0,0.000200609,1
71,39.7,500,0,0.000278345,1
71.1,39.7,500,0,0.000380567,1
71.2,39.7,500,0,0.000507478,1
71.3,39.7,500,0,0.000664254,1
71.4,39.7,500,0,0.000853634,1
71.5,39.7,500,0,0.0010781,1
71.6,39.7,500,0,0.00133674,1
71.7,39.7,500,0,0.00162858,1
71.8,39.7,500,0,0.0019502,1
71.9,39.7,500,0,0.00229617,1
72,39.7,500,0,0.00265991,1
72.1,39.7,500,0,0.0030312,1
72.2,39.7,500,0,0.00340023,1
72.3,39.7,500,0,0.00375593,1
72.4,39.7,500,0,0.00408706,1
72.5,39.7,500,0,0.00438284,1
72.6,39.7,500,0,0.00463352,1
72.7,39.7,500,0,0.00483089,1
72.8,39.7,500,0,0.00496808,1
72.9,39.7,500,0,0.00504239,1
73,39.7,500,0,0.00505145,1
73.1,39.7,500,0,0.00499603,1
73.2,39.7,500,0,0.00487919,1
73.3,39.7,500,0,0.00470611,1
73.4,39.7,500,0,0.00448376,1
73.5,39.7,500,0,0.00421988,1
73.6,39.7,500,0,0.00392528,1
73.7,39.7,500,0,0.00360772,1
73.8,39.7,500,0,0.00327929,1
73.9,39.7,500,0,0.00294753,1
74,39.7,500,0,0.00262064,1
74.1,39.7,500,0,0.00230557,1
74.2,39.7,500,0,0.00200782,1
74.3,39.7,500,0,0.00173143,1
74.4,39.7,500,0,0.00147897,1
74.5,39.7,500,0,0.00125174,1
74.6,39.7,500,0,0.00104926,1
74.7,39.7,500,0,0.00087172,1
74.8,39.7,500,0,0.000718358,1
74.9,39.7,500,0,0.000586088,1
75,39.7,500,0,0.000473482,1
75.1,39.7,500,0,0.000379321,1
75.2,39.7,500,0,0.000300705,1
75.3,39.7,500,0,0.000235747,1
75.4,39.7,500,0,0.000181697,1
75.5,39.7,500,0,0.000139223,1
75.6,39.7,500,0,0.000104229,1
75.7,39.7,500,0,7.73994e-05,1
75.8,39.7,500,0,5.63532e-05,1
75.9,39.7,500,0,4.05294e-05,1
76,39.7,500,0,2.85629e-05,1
76.1,39.7,500,0,1.97371e-05,1
76.2,39.7,500,0,1.37622e-05,1
76.3,39.7,500,0,9.42306e-06,1
76.4,39.7,500,0,5.8399e-06,1
76.5,39.7,500,0,3.31343e-06,1
76.6,39.7,500,0,2.12601e-06,1
76.7,39.7,500,0,1.33626e-06,1
76.8,39.7,500,0,8.22725e-07,1
62.8,39.6,500,0,7.23007e-07,1
62.9,39.6,500,0,9.5868e-07,1
63,39.6,500,0,1.24489e-06,1
63.1,39.6,500,0,1.5831e-06,1
63.2,39.6,500,0,1.97157e-06,1
63.3,39.6,500,0,2.40459e-06,1
63.4,39.6,500,0,2.87205e-06,1
63.5,39.6,500,0,3.35943e-06,1
63.6,39.6,500,0,3.84826e-06,1
63.7,39.6,500,0,4.31704e-06,1
63.8,39.6,500,0,4.74276e-06,1
63.9,39.6,500,0,5.1027e-06,1
64,39.6,500,0,5.3764e-06,1
64.1,39.6,500,0,5.54762e-06,1
64.2,39.6,500,0,5.6059e-06,1
64.3,39.6,500,0,5.54762e-06,1
64.4,39.6,500,0,5.3764e-06,1
64.5,39.6,500,0,5.1027e-06,1
64.6,39.6,500,0,4.74276e-06,1
64.7,39.6,500,0,4.31704e-06,1
64.8,39.6,500,0,3.84826e-06,1
64.9,39.6,500,0,3.35943e-06,1
65,39.6,500,0,2.87205e-06,1
65.1,39.6,500,0,2.40459e-06,1
65.2,39.6,500,0,1.97157e-06,1
65.3,39.6,500,0,1.5831e-06,1
65.4,39.6,500,0,1.24489e-06,1
65.5,39.6,500,0,9.5868e-07,1
65.6,39.6,500,0,7.23007e-07,1
69.7,39.6,500,0,9.22581e-07,1
69.8,39.6,500,0,1.62092e-06,1
69.9,39.6,500,0,2.7901e-06,1
70,39.6,500,0,4.70522e-06,1
70.1,39.6,500,0,7.77396e-06,1
70.2,39.6,500,0,1.25836e-05,1
70.3,39.6,500,0,1.99559e-05,1
70.4,39.6,500,0,3.17611e-05,1
70.5,39.6,500,0,5.04076e-05,1
70.6,39.6,500,0,7.99111e-05,1
70.7,39.6,500,0,0.000117036,1
70.8,39.6,500,0,0.000171429,1
70.9,39.6,500,0,0.000242591,1
71,39.6,500,0,0.000337746,1
71.1,39.6,500,0,0.000459574,1
71.2,39.6,500,0,0.000613895,1
71.3,39.6,500,0,0.000805178,1
71.4,39.6,500,0,0.00103786,1
71.5,39.6,500,0,0.00131353,1
71.6,39.6,500,0,0.00163359,1
71.7,39.6,500,0,0.00199698,1
71.8,39.6,500,0,0.00240032,1
71.9,39.6,500,0,0.00283845,1
72,39.6,500,0,0.00330211,1
72.1,39.6,500,0,0.00378123,1
72.2,39.6,500,0,0.0042635,1
72.3,39.6,500,0,0.0047353,1
72.4,39.6,500,0,0.00518241,1
72.5,39.6,500,0,0.00559069,1
72.6,39.6,500,0,0.00594683,1
72.7,39.6,500,0,0.00623899,1
72.8,39.6,500,0,0.00645748,1
72.9,39.6,500,0,0.00659518,1
73,39.6,500,0,0.00664793,1
73.1,39.6,500,0,0.00661412,1
73.2,39.6,500,0,0.00649733,1
73.3,39.6,500,0,0.00630204,1
73.4,39.6,500,0,0.006037,1
73.5,39.6,500,0,0.0057113,1
73.6,39.6,500,0,0.00533745,1
73.7,39.6,500,0,0.00492791,1
73.8,39.6,500,0,0.00449659,1
73.9,39.6,500,0,0.00405566,1
74,39.6,500,0,0.00361855,1
74.1,39.6,500,0,0.00319386,1
74.2,39.6,500,0,0.00278982,1
74.3,39.6,500,0,0.00241259,1
74.4,39.6,500,0,0.0020663,1
74.5,39.6,500,0,0.00175322,1
74.6,39.6,500,0,0.00147404,1
74.7,39.6,500,0,0.00122815,1
74.8,39.6,500,0,0.00101362,1
74.9,39.6,500,0,0.000828885,1
75,39.6,500,0,0.00067135,1
75.1,39.6,500,0,0.000538816,1
75.2,39.6,500,0,0.000427489,1
75.3,39.6,500,0,0.000335825,1
75.4,39.6,500,0,0.000260214,1
75.5,39.6,500,0,0.000199192,1
75.6,39.6,500,0,0.000150898,1
75.7,39.6,500,0,0.000111209,1
75.8,39.6,500,0,8.21264e-05,1
75.9,39.6,500,0,5.85818e-05,1
76,39.6,500,0,4.20966e-05,1
76.1,39.6,500,0,2.87131e-05,1
76.2,39.6,500,0,2.00707e-05,1
76.3,39.6,500,0,1.37805e-05,1
76.4,39.6,500,0,9.29433e-06,1
76.5,39.6,500,0,5.74384e-06,1
76.6,39.6,500,0,3.76913e-06,1
76.7,39.6,500,0,1.89281e-06,1
76.8,39.6,500,0,1.16458e-06,1
76.9,39.6,500,0,7.01869e-07,1
62.6,39.5,500,0,7.08175e-07,1
62.7,39.5,500,0,9.79543e-07,1
62.8,39.5,500,0,1.32684e-06,1
62.9,39.5,500,0,1.76004e-06,1
63,39.5,500,0,2.28634e-06,1
63.1,39.5,500,0,2.9085e-06,1
63.2,39.5,500,0,3.62333e-06,1
63.3,39.5,500,0,4.42037e-06,1
63.4,39.5,500,0,5.28104e-06,1
63.5,39.5,500,0,6.17861e-06,1
63.6,39.5,500,0,7.07902e-06,1
63.7,39.5,500,0,7.94265e-06,1
63.8,39.5,500,0,8.72708e-06,1
63.9,39.5,500,0,9.39037e-06,1
64,39.5,500,0,9.89479e-06,1
64.1,39.5,500,0,1.02104e-05,1
64.2,39.5,500,0,1.03178e-05,1
64.3,39.5,500,0,1.02104e-05,1
64.4,39.5,500,0,9.89479e-06,1
64.5,39.5,500,0,9.39037e-06,1
64.6,39.5,500,0,8.72708e-06,1
