Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
55,40,500,0,0.00256373,1
55.1,40,500,0,0.0026195,1
55.2,40,500,0,0.0026454,1
55.3,40,500,0,0.0026378,1
55.4,40,500,0,0.00259437,1
55.5,40,500,0,0.00251458,1
55.6,40,500,0,0.00240003,1
55.7,40,500,0,0.00225647,1
55.8,40,500,0,0.00208653,1
55.9,40,500,0,0.00190124,1
56,40,500,0,0.00170513,1
56.1,40,500,0,0.00150942,1
56.2,40,500,0,0.00131979,1
56.3,40,500,0,0.00113973,1
56.4,40,500,0,0.000977642,1
56.5,40,500,0,0.00083091,1
56.6,40,500,0,0.000699456,1
56.7,40,500,0,0.000584681,1
56.8,40,500,0,0.000485281,1
56.9,40,500,0,0.000402524,1
57,40,500,0,0.000335167,1
57.1,40,500,0,0.000279039,1
57.2,40,500,0,0.000233092,1
57.3,40,500,0,0.000198024,1
57.4,40,500,0,0.000171714,1
57.5,40,500,0,0.000154369,1
57.6,40,500,0,0.000139928,1
57.7,40,500,0,0.000134653,1
57.8,40,500,0,0.000131351,1
57.9,40,500,0,0.000128818,1
58,40,500,0,0.000125981,1
58.1,40,500,0,0.000120525,1
58.2,40,500,0,0.000112365,1
58.3,40,500,0,0.000104881,1
58.4,40,500,0,9.66853e-05,1
58.5,40,500,0,8.65552e-05,1
58.6,40,500,0,7.51712e-05,1
58.7,40,500,0,6.32784e-05,1
58.8,40,500,0,5.15925e-05,1
58.9,40,500,0,3.93603e-05,1
59,40,500,0,3.02738e-05,1
59.1,40,500,0,2.24842e-05,1
59.2,40,500,0,1.61247e-05,1
59.3,40,500,0,1.11662e-05,1
59.4,40,500,0,7.46658e-06,1
59.5,40,500,0,4.82104e-06,1
59.6,40,500,0,3.00582e-06,1
59.7,40,500,0,1.80962e-06,1
61.9,40,500,0,1.91062e-06,1
62,40,500,0,4.01554e-06,1
62.1,40,500,0,1.00755e-05,1
62.2,40,500,0,1.97768e-05,1
62.3,40,500,0,5.17356e-05,1
62.4,40,500,0,0.000101775,1
62.5,40,500,0,0.000185031,1
62.6,40,500,0,0.000325461,1
62.7,40,500,0,0.000556354,1
62.8,40,500,0,0.000916603,1
62.9,40,500,0,0.00146128,1
63,40,500,0,0.00225437,1
63.1,40,500,0,0.00336869,1
63.2,40,500,0,0.00486888,1
63.3,40,500,0,0.00681571,1
63.4,40,500,0,0.00923186,1
63.5,40,500,0,0.0121064,1
63.6,40,500,0,0.0153727,1
63.7,40,500,0,0.0189051,1
63.8,40,500,0,0.0225224,1
63.9,40,500,0,0.0260017,1
64,40,500,0,0.0291035,1
64.1,40,500,0,0.0316017,1
64.2,40,500,0,0.0333161,1
64.3,40,500,0,0.0341401,1
64.4,40,500,0,0.0340489,1
64.5,40,500,0,0.0331088,1
64.6,40,500,0,0.031456,1
64.7,40,500,0,0.0292754,1
64.8,40,500,0,0.0267604,1
64.9,40,500,0,0.0240978,1
65,40,500,0,0.0214341,1
65.1,40,500,0,0.0188788,1
65.2,40,500,0,0.0164986,1
65.3,40,500,0,0.0143283,1
65.4,40,500,0,0.0123873,1
65.5,40,500,0,0.0106939,1
65.6,40,500,0,0.00927901,1
65.7,40,500,0,0.00818788,1
65.8,40,500,0,0.00747497,1
65.9,40,500,0,0.00720753,1
66,40,500,0,0.00745267,1
66.1,40,500,0,0.00827001,1
66.2,40,500,0,0.00970111,1
66.3,40,500,0,0.0117714,1
66.4,40,500,0,0.0144592,1
66.5,40,500,0,0.0177358,1
66.6,40,500,0,0.0215038,1
66.7,40,500,0,0.0256316,1
66.8,40,500,0,0.0299395,1
66.9,40,500,0,0.0342108,1
67,40,500,0,0.0382024,1
67.1,40,500,0,0.0416467,1
67.2,40,500,0,0.0442999,1
67.3,40,500,0,0.0459596,1
67.4,40,500,0,0.0464798,1
67.5,40,500,0,0.0458347,1
67.6,40,500,1,0.044109,1
67.7,40,500,0,0.0414906,1
67.8,40,500,0,0.0382876,1
67.9,40,500,0,0.0348791,1
68,40,500,0,0.031683,1
68.1,40,500,0,0.0291078,1
68.2,40,500,0,0.0275053,1
68.3,40,500,0,0.0271367,1
68.4,40,500,0,0.0281505,1
68.5,40,500,0,0.0305792,1
68.6,40,500,0,0.0343322,1
68.7,40,500,0,0.0392169,1
68.8,40,500,0,0.0449785,1
68.9,40,500,0,0.0513218,1
69,40,500,0,0.0579644,1
69.1,40,500,0,0.0646375,1
69.2,40,500,1,0.071119,1
69.3,40,500,0,0.0772414,1
69.4,40,500,0,0.0828921,1
69.5,40,500,0,0.0879769,1
69.6,40,500,0,0.092423,1
