Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
61.2,40,500,0,2.27165e-07,1
61.4,40,500,0,9.65276e-07,1
61.6,40,500,0,3.80098e-06,1
61.8,40,500,0,1.2494e-05,1
62,40,500,0,3.59774e-05,1
62.2,40,500,0,9.08828e-05,1
62.4,40,500,0,0.000201723,1
62.6,40,500,0,0.00039413,1
62.8,40,500,0,0.000679185,1
63,40,500,0,0.00103434,1
63.2,40,500,0,0.00139464,1
63.4,40,500,0,0.00166744,1
63.6,40,500,0,0.00176955,1
63.8,40,500,0,0.00166744,1
64,40,500,0,0.00139464,1
64.2,40,500,0,0.00103434,1
64.4,40,500,0,0.000679185,1
64.6,40,500,0,0.00039413,1
64.8,40,500,0,0.000201723,1
65,40,500,0,9.08828e-05,1
65.2,40,500,0,3.59774e-05,1
65.4,40,500,0,1.2494e-05,1
65.6,40,500,0,3.80098e-06,1
65.8,40,500,0,9.65276e-07,1
66,40,500,0,2.27165e-07,1
69.4,40,500,0,1.92895e-07,1
69.6,40,500,0,4.72537e-07,1
69.8,40,500,0,1.03643e-06,1
70,40,500,0,2.47006e-06,1
70.2,40,500,0,6.02911e-06,1
70.4,40,500,0,1.39681e-05,1
70.6,40,500,0,2.92605e-05,1
70.8,40,500,0,5.4326e-05,1
71,40,500,0,8.86398e-05,1
71.2,40,500,0,0.000127018,1
71.4,40,500,0,0.000162485,1
71.6,40,500,0,0.000191515,1
71.8,40,500,0,0.000222904,1
72,40,500,0,0.000282074,1
72.2,40,500,0,0.000406873,1
72.4,40,500,0,0.000629506,1
72.6,40,500,0,0.000959481,1
72.8,40,500,0,0.00136172,1
73,40,500,0,0.00176355,1
73.2,40,500,0,0.00207449,1
73.4,40,500,0,0.00222636,1
73.6,40,500,0,0.00221064,1
73.8,40,500,0,0.00208005,1
74,40,500,0,0.00191326,1
74.2,40,500,0,0.00176739,1
74.4,40,500,0,0.00165199,1
74.6,40,500,0,0.00154312,1
74.8,40,500,0,0.00142067,1
75,40,500,0,0.00130214,1
75.2,40,500,0,0.00123413,1
75.4,40,500,0,0.00125372,1
75.6,40,500,0,0.00135143,1
75.8,40,500,0,0.00147225,1
