YEAR	MONTH	DAY	HH	MM	SS	LAT	LON	DEPTH	DEPTH_ERR	NMAG_TYPE	MAG	MAG_ERR	MAG_MW	MAG_MW_ERR	SOURCE	SHOCK_TYPE
1908	4	16	17	38	48	36.5	70.5	220	-1	MS	6.8	-1	6.6	0.22	ISC	Mainshock
1908	6	3	15	56	-1	28	67	-1	-1	MW	6.2	-1	6.2	-1	AM2000a	Mainshock
1908	7	26	3	32	-1	34.59	61.49	-1	-1	MS	5.3	-1	5.6	-1	AB2003a	Mainshock
1908	8	20	9	53	-1	32	89	-1	-1	MW	7	-1	7	-1	AM2000a	Mainshock
1908	10	23	20	14	6	36.5	70.5	220	-1	MS	7	-1	6.9	0.22	ISC	Foreshock
1908	10	24	21	16	36	36.5	70.5	220	-1	MS	7	-1	6.9	0.22	ISC	Foreshock
1908	12	12	12	54	54	26.5	97	35	-1	MS	7.5	-1	7.3	0.23	ISC; MD1984a	Mainshock
1909	7	1	-1	-1	-1	22.6	88.4	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1909	7	7	21	37	50	36.5	70.5	230	-1	MS	7.8	-1	7.7	0.23	ISC	Mainshock
1909	9	1	-1	-1	-1	16.2	80.1	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1909	9	7	15	28	-1	33	70	-1	-1	MW	6.1	-1	6.1	-1	AM2000a	Mainshock
1909	10	20	23	41	-1	28.9	68.3	-1	-1	MW	7.1	-1	7.1	-1	AM2000a	Mainshock
1909	11	13	2	40	-1	34.35	62.16	-1	-1	MS	4	-1	4.7	-1	AB2003a	Mainshock
1910	7	12	7	36	12	37	76	120	-1	MS	6.8	-1	6.6	0.22	ISC	Mainshock
1910	8	13	21	19	-1	28	90	-1	-1	MW	5.7	-1	5.7	-1	AM2000a	Mainshock
1910	8	17	11	58	-1	27	67	-1	-1	MW	6.4	-1	6.4	-1	AM2000a	Mainshock
1910	9	1	-1	-1	-1	19.3	73	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1910	9	7	-1	-1	-1	21.5	86.9	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1911	1	1	10	18	-1	36.5	66.5	40	-1	MS	6.94	-1	6.9	-1	AB2003a	Mainshock
1911	1	1	14	59	0	36.5	66	20	-1	MS	6.47	-1	6.4	-1	AB2003a	Mainshock
1911	2	18	18	41	-1	38	72.8	26	-1	MS	7.69	-1	7.6	-1	AB2003a	Mainshock
1911	4	18	18	14	36	32	56	50	-1	MS	6.7	-1	6.6	0.22	ISC	Mainshock
1911	7	4	13	33	26	36	70.5	190	-1	MS	7.6	-1	7.5	0.23	ISC	Mainshock
1911	10	14	23	24	-1	31	80.5	-1	-1	MW	6.4	-1	6.4	-1	AM2000a	Mainshock
1911	12	8	-1	-1	-1	22.5	85.9	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1912	2	24	14	36	-1	37	59.5	-1	-1	MS	5.3	-1	5.6	-1	AB2003a	Mainshock
1912	4	25	10	27	48	36.5	70.5	220	-1	MS	6.8	-1	6.6	0.22	ISC	Mainshock
1912	5	22	23	8	18	36.5	70.5	220	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1912	5	23	2	24	6	21	97	35	-1	MS	8	-1	8	0.23	ISC	Mainshock
1912	6	1	0	31	18	36.5	70.5	200	-1	MS	6	-1	6.1	0.21	ISC	Foreshock
1912	8	23	14	2	-1	33.5	71	-1	-1	MW	6.3	-1	6.3	-1	AM2000a	Foreshock
1912	9	11	0	47	54	5	96.5	100	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1912	11	1	19	-1	-1	29	67	-1	-1	MW	5.7	-1	5.7	-1	AM2000a	Mainshock
1912	11	28	20	55	0	36.5	70.5	230	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1913	3	6	2	8	-1	30	85	-1	-1	MW	6.4	-1	6.4	-1	AM2000a	Mainshock
1913	3	6	11	3	-1	30	83	-1	-1	MW	6.5	-1	6.5	-1	AM2000a	Mainshock
1913	3	18	1	20	-1	33	91	-1	-1	MW	6.3	-1	6.3	-1	AM2000a	Mainshock
1913	3	27	8	15	-1	26.5	66.5	-1	-1	MW	5.7	-1	5.7	-1	AM2000a	Mainshock
1913	3	27	9	13	-1	29.5	67.5	-1	-1	MW	5.8	-1	5.8	-1	AM2000a	Mainshock
1913	5	14	8	50	-1	34.5	69.2	-1	-1	MW	5.4	-1	5.4	-1	AM2000a	Mainshock
1913	6	26	23	30	-1	31	77	-1	-1	MW	5.1	-1	5.1	-1	AM2000a	Mainshock
1913	9	9	18	43	-1	37.1	68.1	18	-1	MS	5	-1	5.4	-1	AB2003a	Mainshock
1914	2	6	11	42	-1	29	65	-1	-1	MW	5.9	-1	5.9	-1	AM2000a	Mainshock
1914	3	28	10	44	48	25	99	100	-1	MS	6.9	-1	6.7	0.22	ISC	Mainshock
1914	4	30	22	-1	-1	30	74	-1	-1	MW	5.5	-1	5.5	-1	AM2000a	Mainshock
1914	5	21	8	26	-1	32	69.5	-1	-1	MW	5.8	-1	5.8	-1	AM2000a	Mainshock
1914	6	17	17	-1	-1	27	94	-1	-1	MW	5.3	-1	5.3	-1	AM2000a	Mainshock
1914	10	9	2	39	-1	32.8	75.3	-1	-1	MW	6.3	-1	6.3	-1	AM2000a	Mainshock
1914	10	11	16	17	6	12	94	80	-1	MS	7.2	-1	7.1	0.22	ISC	Mainshock
1914	11	4	11	6	-1	32	70	-1	-1	MW	5.9	-1	5.9	-1	AM2000a	Mainshock
1915	3	3	1	45	-1	32	73	-1	-1	MW	5.5	-1	5.5	-1	AM2000a	Mainshock
1915	4	28	3	19	-1	33.5	93	-1	-1	MW	6.1	-1	6.1	-1	AM2000a	Mainshock
1915	5	5	15	12	-1	30	84	-1	-1	MW	6	-1	6	-1	AM2000a	Mainshock
1915	6	3	8	8	36	36.5	70.5	200	-1	MS	5.8	-1	5.9	0.21	ISC	Mainshock
1915	8	12	9	17	6	9	92	35	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1915	12	3	2	39	-1	31	93	-1	-1	MW	6.7	-1	6.7	-1	AM2000a	Mainshock
1916	1	7	-1	-1	-1	13	77.5	-1	-1	MW	4.7	-1	4.6	0.46	JS2004a	Mainshock
1916	2	11	20	53	-1	36	59.5	-1	-1	MS	4.8	-1	5.2	-1	AB2003a	Mainshock
1916	4	21	13	56	22	36.5	70.5	220	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1916	7	27	11	52	42	4	96.5	100	-1	MS	7	-1	6.8	0.22	ISC	Mainshock
1916	8	28	6	39	42	30	81	35	-1	~MS	7.1	0.3	7.1	0.3	PS1992a	Mainshock
1917	4	17	-1	-1	-1	18	84	-1	-1	MW	5.3	-1	5.2	0.46	JS2004a	Mainshock
1917	4	18	-1	-1	-1	18.1	83.5	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1917	4	21	0	49	49	37	70.5	220	-1	MS	7	-1	6.8	0.22	ISC	Mainshock
1917	8	29	13	-1	-1	37.37	58.05	-1	-1	MS	5.7	-1	5.8	-1	AB2003a	Mainshock
1917	9	30	18	30	-1	37.3	71.5	-1	-1	MS	5	-1	5.4	-1	AB2003a	Mainshock
1917	11	28	14	42	-1	36.5	59.1	-1	-1	MS	5.7	-1	5.8	-1	AB2003a	Mainshock
1917	11	28	17	43	0	36.5	58.4	-1	-1	MS	5.2	-1	5.5	-1	AB2003a	Aftershock
1917	12	1	9	47	-1	30	71	-1	-1	MS	5.55	-1	5.7	-1	AB2003a	Mainshock
1918	3	24	23	14	-1	34.9	60.7	-1	-1	MS	6.04	-1	6.1	-1	AB2003a	Mainshock
1918	7	8	10	22	7	24.5	91	35	-1	~MS	7.6	-1	7.4	0.3	T2008a	Mainshock
1918	7	30	-1	-1	-1	23.4	85.4	-1	-1	MW	3.8	-1	3.7	0.46	JS2004a	Mainshock
1918	11	29	10	41	-1	32.7	67.7	-1	-1	MS	6.21	-1	6.2	-1	AB2003a	Mainshock
1919	4	21	-1	-1	-1	22	72	-1	-1	MW	4.9	-1	4.8	0.46	JS2004a	Mainshock
1919	5	23	6	10	-1	32.5	68	-1	-1	MS	6.31	-1	6.2	-1	AB2003a	Mainshock
1919	6	1	12	46	-1	30	71	-1	-1	MS	5.51	-1	5.7	-1	AB2003a	Foreshock
1919	6	15	18	49	-1	30	71	-1	-1	MS	5.53	-1	5.7	-1	AB2003a	Mainshock
1919	8	24	8	30	-1	32.6	59.2	-1	-1	MS	4.6	-1	5.1	-1	AB2003a	Mainshock
1920	2	27	3	51	-1	35	69	-1	-1	MS	5.92	-1	6	-1	AB2003a	Mainshock
1920	7	10	-1	-1	-1	25	68	-1	-1	MW	5.3	-1	5.2	0.46	JS2004a	Mainshock
1920	10	12	6	54	48	36	81	35	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1921	4	1	4	6	44	2	98	35	-1	MS	6.8	-1	6.6	0.22	ISC	Mainshock
1921	5	20	0	43	20	36	70.5	220	-1	MS	6.8	-1	6.6	0.22	ISC	Mainshock
1921	10	26	-1	-1	-1	25	68	-1	-1	MW	5.3	-1	5.2	0.46	JS2004a	Mainshock
1922	3	13	-1	-1	-1	22	71	-1	-1	MW	4.2	-1	4.1	0.46	JS2004a	Mainshock
1922	8	23	9	-1	-1	37	59.8	-1	-1	MS	4.3	-1	4.9	-1	AB2003a	Mainshock
1922	10	16	16	1	32	39.5	91	35	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1922	10	17	6	37	59	12.5	96	35	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1922	12	17	0	51	20	36.5	70.5	210	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1923	5	25	22	21	-1	35.19	59.1	-1	-1	MS	5.8	-1	5.9	-1	AB2003a	Mainshock
1923	6	22	6	44	33	22.75	98.75	35	-1	MS	7.3	-1	7	0.22	ISC	Mainshock
1923	7	16	13	23	-1	37.5	70.5	15	-1	MS	5.5	-1	5.7	-1	AB2003a	Mainshock
1923	9	9	22	3	43	25.25	91	35	-1	MS	7.1	-1	6.8	0.22	ISC	Mainshock
1923	9	14	8	10	-1	28.97	59.33	-1	-1	MS	5.61	-1	5.8	-1	AB2003a	Mainshock
1923	9	22	20	47	38	29	56.5	35	-1	MS	6.9	-1	6.7	0.22	ISC	Mainshock
1923	10	1	8	16	-1	29	67.5	-1	-1	MS	6.09	-1	6.1	-1	AB2003a	Mainshock
1923	10	2	11	22	-1	31.2	70.3	-1	-1	MS	5.17	-1	5.5	-1	AB2003a	Mainshock
1923	10	15	3	49	-1	31.2	70.3	-1	-1	MS	4.96	-1	5.3	-1	AB2003a	Aftershock
1923	11	29	3	36	-1	33.6	59.4	-1	-1	MS	5.29	-1	5.6	-1	AB2003a	Mainshock
1923	12	28	22	24	52	39.5	68	35	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1924	1	16	-1	-1	-1	18.5	72.9	-1	-1	MW	3.8	-1	3.7	0.46	JS2004a	Mainshock
1924	7	3	4	40	6	36.8	83.8	33	-1	MS	7.2	-1	7.1	0.22	ISC	Mainshock
1924	7	11	19	44	40	36.5	84	35	-1	MS	7.2	-1	6.9	0.22	ISC	Mainshock
1924	8	13	23	57	50	29.5	90	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1924	9	12	8	59	-1	33.2	71.4	-1	-1	MS	5.06	-1	5.4	-1	AB2003a	Foreshock
1924	9	12	9	0	0	33.2	71.4	-1	-1	MS	4.98	-1	5.4	-1	AB2003a	Mainshock
1924	9	16	2	36	0	39	70.5	35	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1924	10	8	20	32	57	30	90	35	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1924	10	13	16	17	45	36	70.5	220	-1	MS	7.3	-1	7	0.22	ISC	Mainshock
1925	2	2	18	44	31	9	62	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1925	3	8	11	27	47	34	67	200	-1	MS	5.8	-1	5.9	0.21	ISC	Mainshock
1925	3	16	14	42	12	25.5	100.25	35	-1	MS	7.1	-1	7	0.22	ISC	Mainshock
1925	5	2	2	57	-1	35	58.1	-1	-1	MS	4.7	-1	5.2	-1	AB2003a	Mainshock
1925	5	13	23	54	34	11	92	35	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1925	6	20	13	4	15	36.5	71.5	230	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1925	6	21	-1	-1	-1	16.6	74.2	-1	-1	MW	3.8	-1	3.7	0.46	JS2004a	Mainshock
1925	6	28	13	41	45	11	93	60	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1925	8	30	13	15	-1	38	69.5	10	-1	MS	5.4	-1	5.6	-1	AB2003a	Mainshock
1925	9	4	-1	-1	-1	20.4	86	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1925	12	7	8	34	30	37	76.5	35	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1925	12	18	18	10	25	36.5	71	230	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1926	1	5	10	3	24	11	58	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1926	3	16	14	38	-1	37.7	66.1	15	-1	MS	4.4	-1	5	-1	AB2003a	Mainshock
1926	3	18	6	31	-1	35	69	-1	-1	MS	5.1	-1	5.4	-1	AB2003a	Mainshock
1926	3	22	16	24	-1	36	70	15	-1	MS	5.4	-1	5.6	-1	AB2003a	Mainshock
1926	5	10	8	19	10	26	97	80	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1926	5	19	21	13	55	26.5	59	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1926	5	29	22	37	32	15	92	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1926	6	4	6	50	58	35	89.5	35	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1926	8	6	22	45	54	35.5	78.5	35	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1926	12	31	-1	-1	-1	25	77.5	-1	-1	MW	4.9	-1	4.8	0.46	JS2004a	Mainshock
1927	1	1	-1	-1	-1	17.7	83.4	-1	-1	MW	4.2	-1	4.1	0.46	JS2004a	Mainshock
1927	1	30	8	54	-1	30.18	70.32	33	-1	MS	5.49	-1	5.7	-1	AB2003a	Mainshock
1927	3	15	16	56	32	24.5	95	130	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1927	3	15	21	48	35	38.5	97.5	35	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1927	3	25	18	14	-1	37.7	58.5	-1	-1	MS	4.5	-1	5	-1	AB2003a	Mainshock
1927	3	29	18	5	-1	37.7	58.5	-1	-1	MS	4.3	-1	4.9	-1	AB2003a	Aftershock
1927	4	18	15	2	0	37	71	200	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1927	4	24	11	20	-1	36.4	70.5	15	-1	MS	5.1	-1	5.4	-1	AB2003a	Aftershock
1927	4	30	13	56	47	38.5	78	35	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
1927	5	9	10	31	47	27.5	56	35	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1927	5	21	8	4	-1	29.5	68	-1	-1	MS	5.01	-1	5.4	-1	AB2003a	Mainshock
1927	6	2	16	37	34	23.5	81	35	-1	~MS	6.4	0.2	6.4	0.2	J1993a	Mainshock
1927	6	29	21	36	-1	38	61.6	-1	-1	MS	5	-1	5.4	-1	AB2003a	Mainshock
1927	7	2	20	38	46	29.5	101	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1927	7	7	20	6	30	27	62	100	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1927	7	11	16	12	-1	36	67	12	-1	MS	4.92	-1	5.3	-1	AB2003a	Mainshock
1927	7	15	3	46	43	35	69	40	-1	MS	5.26	-1	5.5	-1	AB2003a	Mainshock
1927	7	29	0	3	11	15	87	35	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1927	8	18	1	50	55	5	63	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1927	9	5	20	10	-1	34.2	72	-1	-1	MS	5.02	-1	5.4	-1	AB2003a	Foreshock
1927	9	30	18	40	-1	34.2	72	-1	-1	MS	5.48	-1	5.7	-1	AB2003a	Mainshock
1927	10	2	3	7	-1	35	69	40	-1	MS	5.18	-1	5.5	-1	AB2003a	Mainshock
1927	10	7	21	34	-1	36	69.5	15	-1	MS	5.4	-1	5.6	-1	AB2003a	Mainshock
1928	1	9	-1	-1	-1	21.7	88	-1	-1	MW	3.3	-1	3.2	0.46	JS2004a	Mainshock
1928	2	25	17	23	58	37.5	67	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1928	3	8	18	14	0	31.5	60.1	-1	-1	MS	5.5	-1	5.7	-1	AB2003a	Mainshock
1928	4	25	1	16	58	38.5	73.5	150	-1	MS	5.8	-1	5.9	0.21	ISC	Mainshock
1928	5	1	15	58	-1	37.9	58.4	-1	-1	MS	4.8	-1	5.2	-1	AB2003a	Mainshock
1928	5	2	14	3	-1	34.2	72	-1	-1	MS	4.87	-1	5.3	-1	AB2003a	Mainshock
1928	5	19	3	28	46	13.5	91.5	60	-1	MS	6.2	-1	6.2	0.21	ISC	Mainshock
1928	6	24	4	34	38	36	70.5	120	-1	MS	6.5	-1	6.4	0.22	ISC	Mainshock
1928	7	4	17	53	38	10	57	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1928	7	6	0	48	5	4	62.5	35	-1	MS	5.6	-1	5.8	0.21	ISC	Mainshock
1928	7	27	15	23	4	6	95.5	100	-1	MS	6	-1	6.1	0.21	ISC	Mainshock
