YEAR	MONTH	DAY	HH	MM	SS	LAT	LON	DEPTH	DEPTH_ERR	NMAG_TYPE	MAG	MAG_MW	MAG_MW_ERR	SOURCE
1713	-1	-1	20	0	0	27.5	93	-1	-1	M	>=7	7	-1	AJ2003a
1720	7	15	-1	-1	-1	30	80	-1	-1	~MS	7.5	7.5	0.4	AD2004a
1738	-1	-1	-1	-1	-1	33	96.6	-1	-1	~MS	6.5	6.4	-1	LEE1976a
1751	-1	-1	-1	-1	-1	31.3	80	-1	-1	~MS	7	7	-1	AJ2003a
1751	5	25	-1	-1	-1	26.5	99.9	-1	-1	~MS	6.5	6.4	-1	LEE1976a
1757	6	13	-1	-1	-1	25	98.5	-1	-1	~MS	5.3	5.5	-1	LEE1976a
1764	8	-1	-1	-1	-1	17.9	73.7	-1	-1	~MS	-1	6	-1	RR2000a
1785	-1	-1	-1	-1	-1	25	98.5	-1	-1	~MS	5	5.4	-1	LEE1976a
1785	4	18	-1	-1	-1	39.9	98	-1	-1	~MS	6	6.1	-1	LEE1976a
1786	7	-1	-1	-1	-1	25	98.5	-1	-1	~MS	5	5.4	-1	LEE1976a
1801	2	3	-1	-1	-1	26.5	99.9	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1803	2	1	-1	-1	-1	25.6	100.6	-1	-1	~MS	6	6.1	-1	LEE1976a
1803	9	1	-1	-1	-1	30	78	-1	-1	~MS	7.7	7.7	0.2	AD2004a
1806	6	11	-1	-1	-1	28.5	92.5	-1	-1	M	~7.7	7.7	-1	AJ2003a
1811	9	27	-1	-1	-1	31.7	100.3	-1	-1	~MS	6	6.1	-1	LEE1976a
1816	12	8	-1	-1	-1	31.4	100.7	-1	-1	~MS	6.5	6.4	-1	NGDC
1819	6	16	-1	-1	-1	23.6	68.6	-1	-1	~MS	7.7	7.7	0.2	B1999a
1832	1	22	-1	-1	-1	36.5	71	-1	-1	MS	7.4	7.3	-1	AB2003a
1832	8	-1	-1	-1	-1	39.9	96.9	-1	-1	~MS	6.5	6.4	-1	LEE1976a
1833	-1	-1	-1	-1	-1	37.3	58.1	-1	-1	MS	6.2	6.2	-1	AB2003a
1833	8	26	-1	-1	-1	28	85.7	-1	-1	~MS	7.5	7.6	0.2	B1995a
1838	0	0	-1	-1	-1	29.6	59.9	-1	-1	MS	7	6.9	-1	AB2003a
1839	2	7	-1	-1	-1	26.1	100	-1	-1	~MS	6	6.1	-1	LEE1976a
1839	2	23	-1	-1	-1	26.1	100	-1	-1	~MS	6	6.1	-1	LEE1976a
1842	2	19	11	40	-1	35	71	-1	-1	MS	7.5	7.4	-1	AB2003a
1842	5	21	-1	-1	-1	25	87	-1	-1	MW	4.9	4.8	-1	JS2004a
1842	10	9	-1	-1	-1	22.3	73.2	-1	-1	MW	4.2	4.1	-1	JS2004a
1843	2	8	-1	-1	-1	23	72.7	-1	-1	MW	4.2	4.1	-1	JS2004a
1843	3	12	-1	-1	-1	15.2	76	-1	-1	MW	4.7	4.6	-1	JS2004a
1843	4	1	-1	-1	-1	15.2	76.9	-1	-1	MW	5.3	5.2	-1	JS2004a
1844	1	1	-1	-1	-1	23.8	68.9	-1	-1	MW	4.2	4.1	-1	JS2004a
1845	4	19	-1	-1	-1	23.8	68.9	-1	-1	MW	5.6	5.5	-1	JS2004a
1845	6	19	-1	-1	-1	23.8	68.9	-1	-1	MW	5.2	5.1	-1	JS2004a
1845	8	6	-1	-1	-1	22.7	88.4	-1	-1	MW	4.9	4.8	-1	JS2004a
1845	11	3	-1	-1	-1	26	100	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1846	5	27	-1	-1	-1	23	80	-1	-1	MW	4.9	4.8	-1	JS2004a
1847	5	5	-1	-1	-1	22.6	88.4	-1	-1	MW	4.7	4.6	-1	JS2004a
1847	10	31	-1	-1	-1	~7.0	-	-1	-1	MW	7.5-7.9	>=7.5	-1	B2005a
1848	2	20	-1	-1	-1	22.6	88.4	-1	-1	MW	4.2	4.1	-1	JS2004a
1848	4	26	-1	-1	-1	24.4	72.7	-1	-1	MW	5.5	5.4	-1	JS2004a
1848	11	30	-1	-1	-1	22.6	88.4	-1	-1	MW	3.8	3.7	-1	JS2004a
1849	1	2	-1	-1	-1	25.2	73.2	-1	-1	MW	4.1	4	-1	JS2004a
1849	6	2	-1	-1	-1	25.2	73.2	-1	-1	MW	4.7	4.6	-1	JS2004a
1849	12	26	-1	-1	-1	18.9	72.9	-1	-1	MW	3.3	3.2	-1	JS2004a
1850	5	7	-1	-1	-1	22.6	88.4	-1	-1	MW	4.2	4.1	-1	JS2004a
1851	6	0	-1	-1	-1	36.8	58.4	-1	-1	MS	6.9	6.8	-1	AB2003a
1852	1	24	3	45	-1	29.3	68.6	-1	-1	MS	6.7	6.6	-1	AB2003a
1852	2	9	-1	-1	-1	22.6	88.4	-1	-1	MW	3.8	3.7	-1	JS2004a
1852	2	22	-1	-1	-1	37.1	58.4	10	-1	~MS	5.8	5.9	-1	NGDC
1852	3	31	-1	-1	-1	22.1	77.5	-1	-1	MW	6	5.9	-1	JS2004a
1852	6	3	-1	-1	-1	21.8	71.7	-1	-1	MW	3.3	3.2	-1	JS2004a
1852	10	22	-1	-1	-1	23.6	85.9	-1	-1	MW	3.3	3.2	-1	JS2004a
1853	2	26	-1	-1	-1	24	85	-1	-1	MW	3.3	3.2	-1	JS2004a
1853	11	-1	-1	-1	-1	39	76.2	-1	-1	~MS	5.5	5.7	-1	LEE1976a
1854	12	8	-1	-1	-1	18.9	72.9	-1	-1	MW	3.8	3.7	-1	JS2004a
1856	11	2	-1	-1	-1	23.2	69.9	-1	-1	MW	3.3	3.2	-1	JS2004a
1856	12	25	-1	-1	-1	20	73	-1	-1	MW	4.7	4.6	-1	JS2004a
1858	3	16	-1	-1	-1	21.5	87	-1	-1	MW	4.2	4.1	-1	JS2004a
1858	8	13	-1	-1	-1	11.4	76	-1	-1	MW	4.7	4.6	-1	JS2004a
1858	8	24	-1	-1	-1	17.8	83.4	-1	-1	MW	3.3	3.2	-1	JS2004a
1858	10	3	-1	-1	-1	19.5	85.1	-1	-1	MW	3.3	3.2	-1	JS2004a
1858	10	12	-1	-1	-1	18.3	84	-1	-1	MW	4.2	4.1	-1	JS2004a
1858	12	30	-1	-1	-1	12.4	78.4	-1	-1	MW	4.2	4.1	-1	JS2004a
1858	12	31	-1	-1	-1	21	75	-1	-1	MW	3.3	3.2	-1	JS2004a
1859	1	3	-1	-1	-1	12.5	79	-1	-1	MW	4.2	4.1	-1	JS2004a
1859	7	21	-1	-1	-1	16.3	80.5	-1	-1	MW	4.2	4.1	-1	JS2004a
