1,867.3415364325,2014.6061016807,373.413611819
1.2,863.0173608353,2004.5621799072,371.5519391559
1.5,856.5920207511,1989.6378060645,368.7856592682
1.8,850.2387462539,1974.8808216124,366.0504055334
2.2,841.8778315272,1955.4606173255,362.4508092555
2.7,831.5999369833,1931.5877734793,358.0259021545
3.3,819.5139423214,1903.5151889575,352.8225598383
3.9,807.6900338656,1876.0513617106,347.7320526081
4.7,792.3186800562,1840.3477526076,341.1142757539
5.6,775.5432602244,1801.3828676899,333.8920111141
6.8,753.9876361193,1751.3148264126,324.6117413311
8.2,729.9459355651,1695.4722838884,314.2611494811
10,700.6660253727,1627.4627590904,301.6553689904
12,670.11525744,1556.5013662562,288.5024504244
15,627.8162637845,1458.2519372438,270.2916080587
18,589.2789521977,1368.7399055884,253.7002699238
22,542.9751778,1261.1884249845,233.7652628794
27,492.0432559097,1142.8869759008,211.8377151821
33,439.3450592191,1020.4829353459,189.1497391819
39,394.1356774141,915.4734406868,169.6858972709
47,343.1661064287,797.0845426646,147.7421406364
56,295.8337503947,687.1439376461,127.3643018265
68,245.1945300352,569.5223571784,105.5627699272
82,199.3456786372,463.0275429654,85.8236193398
100,155.1047244268,360.2674507149,66.7767112787
120,119.2401284405,276.963433931,51.3360483321
150,82.3185093506,191.20423069,35.4403088115
180,58.0767427097,134.8969873044,25.0035831872
220,37.3987150343,86.8673715466,16.1011420205
270,22.2194370515,51.6099040339,9.5660589208
330,12.2713729079,28.503169395,5.2831525841
390,6.946214827,16.1342287742,2.9905303252
470,3.3442926622,7.7679116243,1.4398069843
560,1.5109570766,3.5095555994,0.6505072288
