1,660.0235521639,1533.0609910735,284.1577027578
1.2,647.0277544179,1502.8751734508,278.5626660036
1.5,628.4045641977,1459.6184042608,270.5448870416
1.8,610.7534795003,1418.6195803385,262.9456253753
2.2,588.6040713599,1367.1723350333,253.4097157642
2.7,562.9287876886,1307.535408893,242.3558229118
3.3,534.7288882026,1242.0344647033,230.2150157699
3.9,509.0214465375,1182.3228440076,219.1472780454
4.7,478.0844715751,1110.4643938944,205.8280870759
5.6,447.1578354298,1038.6299581321,192.5133472424
6.8,411.187934864,955.0813465266,177.0273478721
8.2,375.3437236999,871.8246783193,161.5954611338
10,336.7829901374,782.2582435793,144.9940392151
12,301.4892354693,700.2801409302,129.7991386463
15,259.3525980201,602.4078226521,111.6581949478
18,226.4381026416,525.956113103,97.4876288165
22,192.3728384488,446.8314704848,82.8216260881
27,160.4122969979,372.5955448252,69.0617625077
33,132.1603027279,306.9735981637,56.898527175
39,111.0744029386,257.996602839,47.8204862096
47,90.1641891524,209.4276798581,38.8180827435
56,73.0214218911,169.6095435487,31.4376652601
68,56.7260289018,131.7596346414,24.4220649497
82,43.538880547,101.1293599188,18.7446466665
100,32.0480115951,74.4390957819,13.797521805
120,23.5333814658,54.6618510733,10.1317469559
150,15.4609613026,35.9117437246,6.6563552646
180,10.5289671167,24.4560193496,4.5330005247
220,6.5539472689,15.2230944828,2.821648703
270,3.7799030429,8.7797198843,1.627348845
330,2.0365029114,4.7302602482,0.8767686957
390,1.1325350494,2.6305808325,0.4875864761
470,0.5360693877,1.2451480922,0.2307921365
560,0.2389177383,0.5549430221,0.1028604441
