1,221.7913852182,464.4561023859,105.9118790868
1.2,219.7607093304,460.2036387155,104.9421719051
1.5,216.7804161463,453.9625696365,103.5189946656
1.8,213.8763029312,447.8810299795,102.1321955913
2.2,210.1176958069,440.010083984,100.3373506613
2.7,205.5929433937,430.5347435957,98.1766489279
3.3,200.4024477948,419.6652621101,95.6980353347
3.9,195.4555762872,409.3059568686,93.3357593768
4.7,189.2100078253,396.2270341587,90.3533176056
5.6,182.6219111986,382.4308189522,87.2073086086
6.8,174.4860336476,365.3933764335,83.3221889112
8.2,165.8209283509,347.2476715005,79.1843474727
10,155.8067498876,326.2768556453,74.4022841048
12,145.9370723734,305.6086410275,69.6892241702
15,133.1540763245,278.8396097784,63.5849693518
18,122.3080448358,256.1268001415,58.4056718129
22,110.1701887709,230.7087645686,52.6094902225
27,97.811871657,204.829058767,46.7080320275
33,85.9771815432,180.0458867886,41.0566210535
39,76.4947869641,160.1886861892,36.5285000576
47,66.4452276154,139.1437787813,31.7295412812
56,57.63343594,120.6908960754,27.5216528028
68,48.663471566,101.9067819513,23.2382322306
82,40.8570281812,85.5592116233,19.5104269912
100,33.5046397235,70.1624833738,15.9994462713
120,27.5756450526,57.7465017828,13.1681777526
150,21.3488868467,44.7069698643,10.1947184293
180,17.0486357626,35.7017605056,8.1412226525
220,13.0652847736,27.3601755836,6.2390559481
270,9.7321568887,20.3802309628,4.6473898102
330,7.103512716,14.8755544588,3.3921352677
390,5.3402878097,11.1831632202,2.5501437589
470,3.770902663,7.8966942363,1.8007164097
560,2.6314581454,5.5105692793,1.2565982968
