33,48.3572494892,109.7644209494,21.3040214483
39,39.1264930642,88.811851384,17.2373668114
47,30.5856470519,69.4252852152,13.4746555622
56,24.0031093448,54.4838142378,10.5746865611
68,18.0745135557,41.026703035,7.9628148525
82,13.5021111301,30.6479674805,5.948420726
100,9.6804496522,21.9733124159,4.2647691752
120,6.9488715609,15.7729993164,3.0613591621
150,4.4443092551,10.087981369,1.9579620573
180,2.9608951284,6.7208317821,1.3044367492
220,1.7975163515,4.0801191869,0.7919045709
270,1.0086297329,2.2894531794,0.4443567343
330,0.5274503571,1.1972410266,0.2323708201
390,0.2852534617,0.6474868066,0.1256697999
470,0.1303159795,0.2957996615,0.0574113386
560,0.0558865761,0.1268549748,0.0246211029
