0.05,25.211104311,66.0072849255,9.6292368531
0.06,28.3433061837,76.4628547375,10.5063171939
0.07,31.2897494039,87.1770331754,11.2305773906
0.08,34.0137945455,96.5283947702,11.9854704115
0.09,35.6304402745,102.287176069,12.4114118988
0.1,38.1187731936,110.1891708112,13.1867846821
0.11,38.6611656521,112.0146803951,13.3436592802
0.12,40.3452782478,116.6252841793,13.9570204553
0.13,40.4644721907,116.4324081347,14.06286734
0.15,42.083712241,119.9814323635,14.7609409314
0.17,42.8258292723,119.8686961311,15.3005055703
0.2,43.3359653405,118.8087632932,15.8069644018
0.22,43.7931409485,118.6878041329,16.158687981
0.25,43.3887137178,115.1799207621,16.3446932905
0.3,43.4636259931,113.0123627759,16.7157533749
0.35,41.6829185334,107.3885849031,16.1792400843
0.4,40.7211096246,103.9488295845,15.9521639223
0.45,38.6785319302,98.5076552455,15.1869296711
0.5,37.521132248,95.1208966105,14.8004845973
0.6,33.7757801594,84.8409238959,13.4463802725
0.7,31.6580334069,79.7047002867,12.574303342
0.8,29.6857053073,74.9113065605,11.7637929447
0.9,26.8459062443,68.0578255317,10.5895637489
1,23.8542009771,60.6128735955,9.3878225945
1.1,21.6452965895,55.2539768004,8.4793691165
1.2,19.1956456064,49.000749545,7.5197382422
1.3,17.5756136403,44.6591545433,6.9168840743
1.5,14.6129487763,37.1311039882,5.7509270936
1.7,12.4006838551,31.3650248293,4.9028164623
2,9.9246399263,24.8722319522,3.9601784776
2.2,8.7002623949,21.6537117326,3.4956854823
2.5,7.3037074199,18.0527499778,2.9549039421
3,5.5895971071,13.6263802981,2.2928756674
3.5,4.3232774993,10.299428158,1.8147345706
4,3.4802756638,8.1210773066,1.4914669863
4.5,2.9109002749,6.653150185,1.2735832162
5,2.4838721437,5.5097162963,1.1197710543
3.4006,4.6243,,
3.8077,3.8444,,
4.2636,3.223,,
4.774,2.7071,,
5.0258,2.4822,,
