0.05,217.1748949467,513.8183617538,91.7930119004
0.06,242.6530334815,580.7453283709,101.3878059475
0.07,265.5338402455,642.8651401256,109.6780894072
0.08,288.0215969121,711.9099353736,116.5265943988
0.09,307.8248252664,771.4426429131,122.8297708466
0.1,322.262808318,816.9776719117,127.1189179283
0.11,326.9036190182,828.7427239865,128.9495195966
0.12,345.1137906727,874.9078515141,136.1326547777
0.13,353.6190185787,894.4078751963,139.8091561673
0.15,361.1202647011,917.5967360263,142.1189074217
0.17,368.3058387392,938.0124523047,144.613422259
0.2,373.6345411256,940.6910636056,148.404482325
0.22,368.6084571126,923.7730651158,147.0839536092
0.25,363.5173677341,911.0142389163,145.052482167
0.3,351.1104844857,865.8522664572,142.3782983444
0.35,330.8459894623,827.2292351878,132.3201164649
0.4,313.0296777455,793.5704982482,123.476842153
0.45,292.5793536319,743.436151786,115.1446266987
0.5,280.4638898729,712.6510890592,110.3765850221
0.6,258.0169561074,661.6803650882,100.6116444607
0.7,236.6346356817,612.460820244,91.4278088546
0.8,221.2363142322,566.0521112656,86.4681992363
0.9,201.5060315233,514.3847091636,78.9383510375
1,179.4313584613,456.9812119916,70.4528141517
1.1,158.0797937308,401.6764411688,62.2123147508
1.2,141.0607127766,358.4314209906,55.5144541571
1.3,125.9307123418,319.9865028509,49.5600413443
1.5,110.1873688686,275.5064766682,44.068859669
1.7,93.0865240182,229.027068077,37.8343967224
2,73.9909076591,180.3758351522,30.3513739055
2.2,66.3977509076,160.7508835853,27.4254251502
2.5,57.9721525621,139.7074051721,24.0557790659
3,43.8176347933,104.62824275,18.3505434901
3.5,36.7595782652,86.970210289,15.5371200064
4,30.8273508731,73.1031692756,12.9997860731
4.5,25.9591617866,61.8430165324,10.8965913768
5,22.7215423335,54.129972675,9.5375715246
