33,574.4224437675,1432.9511992601,230.2668395645
39,460.6178173944,1149.0547784081,184.6463525396
47,355.7848755276,887.5390744172,142.6223152342
56,275.4782485497,687.2065862195,110.4300612738
68,203.7447502737,508.2605796751,81.674489276
82,149.0463989783,371.8103609611,59.7477407326
100,104.0196385029,259.4868417078,41.6980110554
120,72.4659673686,180.7732200804,29.0491944787
150,44.3122784418,110.5411761399,17.7633176096
180,28.2255774103,70.4113765726,11.3146945696
220,16.139595996,40.2617510665,6.4698268707
270,8.4033330437,20.9629102996,3.3686165344
330,4.0169960092,10.0207770627,1.6102800049
390,1.9858696252,4.9539398954,0.7960690383
470,0.8048546958,2.0077862801,0.3226394601
560,0.3016666588,0.7525360563,0.1209281233
