33,919.8804738728,2294.728979541,368.7494661709
39,737.6336714144,1840.0970671259,295.6927886713
47,569.754130341,1421.3056492026,228.3954680844
56,441.1510458322,1100.4930727184,176.8427717206
68,326.2769751851,813.9288218197,130.7935800798
82,238.6829999572,595.4173531043,95.6800707463
100,166.5771165391,415.5423965477,66.7752219388
120,116.0470471269,289.4903518401,46.5193988721
150,70.9617114264,177.0207111391,28.4461883367
180,45.2004579647,112.7568240941,18.1193592196
220,25.845959492,64.4751942614,10.3607849455
270,13.4571029844,33.5700181449,5.3945047021
330,6.4328200135,16.0472788851,2.5787034439
390,3.1801729053,7.9332425603,1.274825474
470,1.2888948316,3.2152702506,0.5166750405
560,0.483089183,1.2051117285,0.1936543751
