# gsimlt_path=[''],smlt_path=[''],imt=PGA,investigation_time=1.0
lon,lat,iml
69.66,23.25,0.337367
72.61,23.03,0.0624074
72.85,19.11,0.110004
73.75,17.4,0.454837
74.8,34.08,0.417037
76.95,8.5,0.0371293
77.11,28.56,0.231908
77.58,12.98,0.0969934
78.04,30.33,0.393023
78.46,17.45,0.0610795
79.95,23.2,0.0988757
80.18,13,0.0855049
85.1,25.6,0.085125
88.45,22.65,0.101629
91.73,26.18,0.562238
92.11,25.48,0.538279
92.72,11.61,0.583487
93.94,24.78,0.636494
