# generated_by='OpenQuake engine 3.6.0-git0a9a15a30a', start_date='2019-07-02T14:45:40', checksum=2592108751, kind='mean', investigation_time=1.0, imt='SA(1.0)'
lon,lat,depth,poe-0.0047000,poe-0.0068000,poe-0.0100000,poe-0.0150000,poe-0.0220000,poe-0.0330000,poe-0.0470000,poe-0.0680000,poe-0.1000000,poe-0.1500000,poe-0.2200000,poe-0.3300000,poe-0.4700000,poe-0.6800000,poe-1.0000000,poe-1.5000000,poe-2.2000000,poe-3.3000000,poe-4.7000000
69.00000,24.00000,0.00000,1.271959E-01,9.037612E-02,6.036736E-02,3.755996E-02,2.290681E-02,1.292913E-02,7.531207E-03,4.100902E-03,2.073026E-03,9.675635E-04,4.578415E-04,2.033464E-04,9.816168E-05,4.423360E-05,1.819955E-05,6.761705E-06,2.557028E-06,8.665964E-07,3.106265E-07
69.00000,24.20000,0.00000,1.290370E-01,9.203285E-02,6.172475E-02,3.857437E-02,2.362939E-02,1.340270E-02,7.841165E-03,4.289452E-03,2.179829E-03,1.024048E-03,4.875230E-04,2.174053E-04,1.049488E-04,4.711788E-05,1.924848E-05,7.079886E-06,2.648582E-06,8.872914E-07,3.145091E-07
69.20000,22.00000,0.00000,5.808757E-02,3.994724E-02,2.597558E-02,1.575427E-02,9.336726E-03,5.039507E-03,2.765293E-03,1.375638E-03,6.133339E-04,2.442487E-04,9.754966E-05,3.554982E-05,1.434298E-05,5.423484E-06,1.923524E-06,6.395513E-07,2.213666E-07,6.765606E-08,2.210359E-08
69.20000,22.20000,0.00000,6.649672E-02,4.580235E-02,2.982538E-02,1.812250E-02,1.077173E-02,5.848668E-03,3.239100E-03,1.636142E-03,7.461201E-04,3.063265E-04,1.267475E-04,4.834687E-05,2.048622E-05,8.257133E-06,3.166391E-06,1.144674E-06,4.288669E-07,1.441943E-07,5.188819E-08
69.20000,23.00000,0.00000,1.052772E-01,7.385355E-02,4.882665E-02,3.012037E-02,1.822274E-02,1.018150E-02,5.869122E-03,3.160753E-03,1.585933E-03,7.431673E-04,3.588957E-04,1.656754E-04,8.346183E-05,3.942172E-05,1.700519E-05,6.604514E-06,2.586680E-06,9.038577E-07,3.326368E-07
69.20000,23.20000,0.00000,1.136350E-01,8.014673E-02,5.323124E-02,3.297691E-02,2.003320E-02,1.125290E-02,6.527000E-03,3.544543E-03,1.795804E-03,8.478567E-04,4.098403E-04,1.882041E-04,9.416329E-05,4.415016E-05,1.889820E-05,7.279054E-06,2.829700E-06,9.816830E-07,3.590268E-07
69.20000,23.40000,0.00000,1.208149E-01,8.561495E-02,5.708969E-02,3.548978E-02,2.162733E-02,1.219362E-02,7.100152E-03,3.873628E-03,1.970686E-03,9.311395E-04,4.479947E-04,2.037546E-04,1.009050E-04,4.678810E-05,1.979598E-05,7.533255E-06,2.896979E-06,9.945327E-07,3.605247E-07
69.20000,23.60000,0.00000,1.266290E-01,9.009104E-02,6.028246E-02,3.758761E-02,2.296473E-02,1.298238E-02,7.576680E-03,4.141833E-03,2.108353E-03,9.934590E-04,4.748144E-04,2.136364E-04,1.046113E-04,4.792307E-05,2.003731E-05,7.541284E-06,2.873854E-06,9.778626E-07,3.514143E-07
69.20000,23.80000,0.00000,1.309019E-01,9.344197E-02,6.271533E-02,3.921245E-02,2.401406E-02,1.360718E-02,7.955054E-03,4.353338E-03,2.215121E-03,1.040878E-03,4.949994E-04,2.209355E-04,1.072047E-04,4.859078E-05,2.008605E-05,7.471890E-06,2.818534E-06,9.497520E-07,3.383322E-07
69.20000,24.00000,0.00000,1.332459E-01,9.538031E-02,6.420112E-02,4.026029E-02,2.472373E-02,1.404742E-02,8.227711E-03,4.507192E-03,2.293131E-03,1.076317E-03,5.109719E-04,2.273241E-04,1.097908E-04,4.944571E-05,2.029173E-05,7.495136E-06,2.810635E-06,9.409432E-07,3.326282E-07
69.20000,24.20000,0.00000,1.335467E-01,9.575718E-02,6.458145E-02,4.058851E-02,2.497928E-02,1.422208E-02,8.340052E-03,4.570460E-03,2.324611E-03,1.090856E-03,5.180151E-04,2.304490E-04,1.111498E-04,4.990151E-05,2.037912E-05,7.480047E-06,2.786847E-06,9.268004E-07,3.254967E-07
69.40000,22.00000,0.00000,6.437223E-02,4.434645E-02,2.887307E-02,1.752406E-02,1.038333E-02,5.596275E-03,3.063810E-03,1.519083E-03,6.734568E-04,2.654337E-04,1.046085E-04,3.754614E-05,1.493154E-05,5.537170E-06,1.908248E-06,6.096223E-07,2.015654E-07,5.832223E-08,1.811609E-08
69.40000,22.20000,0.00000,7.320909E-02,5.056264E-02,3.299952E-02,2.008810E-02,1.195197E-02,6.490004E-03,3.592385E-03,1.813116E-03,8.249201E-04,3.362836E-04,1.373500E-04,5.135717E-05,2.130167E-05,8.371344E-06,3.117285E-06,1.090379E-06,3.958966E-07,1.288388E-07,4.514434E-08
69.40000,23.00000,0.00000,1.135086E-01,8.049764E-02,5.381534E-02,3.359955E-02,2.057467E-02,1.165796E-02,6.815043E-03,3.734463E-03,1.913336E-03,9.161113E-04,4.489022E-04,2.083129E-04,1.045502E-04,4.890871E-05,2.081127E-05,7.949814E-06,3.061649E-06,1.049478E-06,3.784550E-07
69.40000,23.20000,0.00000,1.222690E-01,8.732321E-02,5.875234E-02,3.690625E-02,2.273313E-02,1.297573E-02,7.646706E-03,4.234121E-03,2.195979E-03,1.063186E-03,5.237398E-04,2.428864E-04,1.214447E-04,5.651524E-05,2.389254E-05,9.056062E-06,3.461522E-06,1.177419E-06,4.215064E-07
