# generated_by='OpenQuake engine 3.6.0-git0a9a15a30a', start_date='2019-07-02T14:45:40', checksum=2592108751, kind='mean', investigation_time=1.0
lon,lat,PGA-0.002105,PGA-0.00040397,SA(0.2)-0.002105,SA(0.2)-0.00040397,SA(1.0)-0.002105,SA(1.0)-0.00040397
69.80000,22.00000,1.401893E-01,3.089217E-01,2.333678E-01,4.874620E-01,6.286410E-02,1.345050E-01
69.80000,22.20000,1.544334E-01,3.399242E-01,2.556955E-01,5.368279E-01,6.919841E-02,1.502533E-01
69.80000,22.40000,1.739953E-01,3.847128E-01,2.869110E-01,6.101935E-01,7.675806E-02,1.715458E-01
69.80000,23.00000,3.016499E-01,6.634902E-01,4.688801E-01,1.023428E+00,1.151655E-01,2.878200E-01
69.80000,23.20000,3.387780E-01,7.342896E-01,5.213196E-01,1.127458E+00,1.275874E-01,3.206264E-01
69.80000,23.40000,3.610915E-01,7.759880E-01,5.544047E-01,1.189246E+00,1.359589E-01,3.398347E-01
69.80000,23.60000,3.672722E-01,7.849931E-01,5.640355E-01,1.202694E+00,1.389465E-01,3.440865E-01
69.80000,23.80000,3.596894E-01,7.669793E-01,5.535023E-01,1.175964E+00,1.370537E-01,3.362051E-01
69.80000,24.00000,3.434478E-01,7.328562E-01,5.302107E-01,1.125086E+00,1.319529E-01,3.204177E-01
69.80000,26.60000,1.103425E-01,2.451249E-01,2.014283E-01,4.237169E-01,6.345840E-02,1.392569E-01
69.80000,26.80000,1.125130E-01,2.431426E-01,2.057639E-01,4.236115E-01,6.590609E-02,1.441644E-01
69.80000,27.00000,1.175958E-01,2.462378E-01,2.153485E-01,4.325822E-01,7.000050E-02,1.533045E-01
69.80000,27.20000,1.271720E-01,2.598861E-01,2.321416E-01,4.590063E-01,7.643844E-02,1.688226E-01
70.00000,21.40000,1.377165E-01,3.101842E-01,2.212367E-01,4.749445E-01,5.365274E-02,1.187799E-01
70.00000,21.60000,1.373484E-01,3.055461E-01,2.237247E-01,4.725986E-01,5.651755E-02,1.225587E-01
70.00000,21.80000,1.401927E-01,3.074582E-01,2.306627E-01,4.804969E-01,6.024066E-02,1.287381E-01
70.00000,22.00000,1.495505E-01,3.269373E-01,2.459772E-01,5.120040E-01,6.537215E-02,1.393647E-01
70.00000,22.20000,1.638281E-01,3.572329E-01,2.691924E-01,5.619574E-01,7.163853E-02,1.550194E-01
70.00000,22.40000,1.855179E-01,4.062230E-01,3.034105E-01,6.412044E-01,7.972153E-02,1.775994E-01
70.00000,23.00000,3.302335E-01,7.137533E-01,5.079712E-01,1.095859E+00,1.231771E-01,3.076743E-01
70.00000,23.20000,3.725871E-01,7.960405E-01,5.700874E-01,1.218074E+00,1.380557E-01,3.457951E-01
70.00000,23.40000,3.990387E-01,8.458707E-01,6.092502E-01,1.291864E+00,1.480669E-01,3.683602E-01
70.00000,23.60000,4.052292E-01,8.559352E-01,6.189070E-01,1.306863E+00,1.511232E-01,3.733693E-01
70.00000,23.80000,3.930711E-01,8.305341E-01,6.017904E-01,1.269432E+00,1.478354E-01,3.626331E-01
70.00000,24.00000,3.690304E-01,7.826035E-01,5.674120E-01,1.198705E+00,1.402837E-01,3.419185E-01
70.00000,26.60000,1.214548E-01,2.805431E-01,2.155532E-01,4.682790E-01,6.465682E-02,1.446588E-01
70.00000,26.80000,1.201676E-01,2.690116E-01,2.145395E-01,4.531205E-01,6.591137E-02,1.458671E-01
70.00000,27.00000,1.209011E-01,2.598501E-01,2.172500E-01,4.428771E-01,6.858984E-02,1.504252E-01
70.00000,27.20000,1.252932E-01,2.594609E-01,2.260667E-01,4.473008E-01,7.321773E-02,1.607647E-01
70.00000,27.40000,1.349866E-01,2.731469E-01,2.434821E-01,4.746500E-01,8.079235E-02,1.792438E-01
70.20000,21.20000,1.551061E-01,3.486322E-01,2.411060E-01,5.255126E-01,5.452413E-02,1.251427E-01
70.20000,21.40000,1.541107E-01,3.438720E-01,2.419803E-01,5.210107E-01,5.682028E-02,1.274804E-01
70.20000,21.60000,1.517710E-01,3.353899E-01,2.418596E-01,5.126198E-01,5.936698E-02,1.299111E-01
70.20000,21.80000,1.520423E-01,3.323194E-01,2.457611E-01,5.133353E-01,6.271771E-02,1.346602E-01
70.20000,22.00000,1.580545E-01,3.417903E-01,2.575645E-01,5.330641E-01,6.741212E-02,1.436430E-01
70.20000,22.20000,1.717632E-01,3.719969E-01,2.801592E-01,5.824736E-01,7.337090E-02,1.583991E-01
70.20000,22.40000,1.929869E-01,4.188175E-01,3.138915E-01,6.587885E-01,8.140915E-02,1.804399E-01
70.20000,23.00000,3.440999E-01,7.365108E-01,5.278509E-01,1.128953E+00,1.270900E-01,3.160250E-01
70.20000,23.20000,3.910742E-01,8.275290E-01,5.966931E-01,1.264078E+00,1.436174E-01,3.576407E-01
70.20000,23.40000,4.210458E-01,8.845788E-01,6.409855E-01,1.348529E+00,1.546732E-01,3.836533E-01
70.20000,23.60000,4.280737E-01,8.974481E-01,6.518384E-01,1.367634E+00,1.579516E-01,3.902184E-01
70.20000,23.80000,4.132544E-01,8.685104E-01,6.308793E-01,1.325070E+00,1.540069E-01,3.783046E-01
70.20000,24.00000,3.837513E-01,8.113001E-01,5.887635E-01,1.241073E+00,1.450048E-01,3.541018E-01
70.20000,24.20000,3.485328E-01,7.430468E-01,5.386326E-01,1.141065E+00,1.339305E-01,3.250128E-01
70.20000,26.00000,1.470122E-01,3.498405E-01,2.509658E-01,5.652607E-01,7.038438E-02,1.617488E-01
70.20000,26.20000,1.442642E-01,3.450829E-01,2.461782E-01,5.564998E-01,6.885173E-02,1.588092E-01
70.20000,26.40000,1.423812E-01,3.414583E-01,2.428652E-01,5.497035E-01,6.809313E-02,1.574342E-01
70.20000,26.60000,1.385904E-01,3.297308E-01,2.376390E-01,5.322422E-01,6.761126E-02,1.553259E-01
70.20000,26.80000,1.332868E-01,3.085098E-01,2.310323E-01,5.039082E-01,6.760869E-02,1.527864E-01
70.20000,27.00000,1.289245E-01,2.864077E-01,2.262913E-01,4.748839E-01,6.862656E-02,1.522593E-01
70.20000,27.20000,1.276467E-01,2.712311E-01,2.266080E-01,4.563252E-01,7.140417E-02,1.569023E-01
70.20000,27.40000,1.308499E-01,2.679045E-01,2.343287E-01,4.575852E-01,7.670297E-02,1.690416E-01
70.20000,27.60000,1.401919E-01,2.810622E-01,2.521504E-01,4.858794E-01,8.533987E-02,1.903314E-01
70.20000,27.80000,1.576194E-01,3.146268E-01,2.835155E-01,5.475900E-01,9.793605E-02,2.213602E-01
70.40000,21.00000,1.673147E-01,3.744589E-01,2.564541E-01,5.620295E-01,5.524013E-02,1.305615E-01
70.40000,21.20000,1.722635E-01,3.833441E-01,2.641926E-01,5.755919E-01,5.795854E-02,1.352496E-01
70.40000,21.40000,1.710242E-01,3.785709E-01,2.644758E-01,5.705867E-01,6.009975E-02,1.370419E-01
70.40000,21.60000,1.669578E-01,3.671978E-01,2.617950E-01,5.573641E-01,6.223221E-02,1.380615E-01
