# gsimlt_path=[''],smlt_path=[''],imt=SA(0.2),investigation_time=1.0
lon,lat,iml
69.66,23.25,1.11698
72.61,23.03,0.248476
72.85,19.11,0.372083
73.75,17.4,1.24267
74.8,34.08,3.65232
76.95,8.5,0.145773
77.11,28.56,0.830822
77.58,12.98,0.336383
78.04,30.33,3.70584
78.46,17.45,0.233254
79.95,23.2,0.380036
80.18,13,0.298335
85.1,25.6,0.429169
88.45,22.65,0.38445
91.73,26.18,1.86535
92.11,25.48,1.84566
92.72,11.61,3.78253
93.94,24.78,3.65012
