# gsimlt_path=[''],smlt_path=[''],imt=SA(1.0),investigation_time=1.0
lon,lat,iml
69.66,23.25,0.123736
72.61,23.03,0.0371354
72.85,19.11,0.0367154
73.75,17.4,0.13058
74.8,34.08,0.282378
76.95,8.5,0.0127839
77.11,28.56,0.0995393
77.58,12.98,0.0219117
78.04,30.33,0.304699
78.46,17.45,0.0230514
79.95,23.2,0.0394143
80.18,13,0.0181395
85.1,25.6,0.0630751
88.45,22.65,0.0486882
91.73,26.18,0.3147
92.11,25.48,0.303977
92.72,11.61,0.324811
93.94,24.78,0.320817
