zoneid,avalue,bvalue,stdbvalue,mmax,stdmmax,strike,dip,rake
154,6.37,1.28,0.09,7.3,0.3,100,80,191
153,6.13,1.1,0.03,7.9,0.3,247,44,94
935,4.77,1.07,0.09,7.2,0.3,317,57,111
936,5.25,1.24,0.11,6.7,0.2,140,47,196
162,4.31,0.97,0.12,7.3,0.3,176,58,147
163,5.6,1.07,0.06,8.3,0.3,283,46,55
164,4.14,0.9,0.12,7.3,0.3,194,65,22
166,5.02,1.01,0.11,8,0.4,270,61,46
167,5.41,1.07,0.09,8,0.3,206,49,46
