siteid,lon,lat,prob40,prob30,prob20,prob15,prob10,prob9,prob8,prob7,prob6,prob5,prob4,prob3,prob2,prob1,prob_pt8,prob_pt6,prob_pt5,
1308,75.8,17.4,0.094606,0.125423,0.16646,0.229245,0.278543,0.356152,0.378042,0.403416,0.433374,0.469596,0.514794,0.573739,0.655895,0.784103,1.039049,1.131135,1.257227,1.341458
1309,76,17.4,0.096764,0.130813,0.175942,0.244727,0.298605,0.383296,0.40717,0.43484,0.467505,0.506996,0.556266,0.620505,0.71004,0.849803,1.127741,1.228134,1.365618,1.457487
1310,76.2,17.4,0.099225,0.1373,0.187204,0.262424,0.320845,0.412077,0.437692,0.46733,0.502259,0.544404,0.596867,0.665104,0.759949,0.907448,1.199063,1.303941,1.447217,1.542721
1311,76.4,17.4,0.096715,0.135981,0.188507,0.267088,0.327811,0.422321,0.448808,0.479436,0.515513,0.559016,0.613144,0.683518,0.781286,0.93324,1.233624,1.341663,1.489228,1.587586
1312,76.6,17.4,0.089663,0.1292,0.182219,0.261249,0.322201,0.416965,0.443509,0.474199,0.510342,0.553925,0.608157,0.678673,0.776635,0.92892,1.230103,1.338462,1.486487,1.585159
1313,76.8,17.4,0.080388,0.118814,0.169582,0.245372,0.303952,0.395258,0.420878,0.45052,0.485457,0.527623,0.580152,0.64855,0.743723,0.891979,1.186047,1.292079,1.437098,1.53386
1314,77,17.4,0.068978,0.104601,0.150946,0.220515,0.274579,0.359337,0.383214,0.410884,0.443554,0.48306,0.532382,0.596775,0.686695,0.827393,1.108302,1.210122,1.349817,1.443293
1315,77.2,17.4,0.061274,0.094016,0.136775,0.201247,0.251532,0.330623,0.352954,0.378853,0.409455,0.446487,0.49275,0.553185,0.637651,0.769989,1.034387,1.130196,1.261642,1.349595
1316,77.4,17.4,0.052293,0.081172,0.119106,0.176727,0.221961,0.293521,0.313812,0.337391,0.365308,0.399168,0.44157,0.497114,0.574986,0.697544,0.944194,1.034043,1.15765,1.24058
1317,77.6,17.4,0.042837,0.068294,0.101865,0.153161,0.193665,0.258107,0.276449,0.297803,0.323138,0.353939,0.39262,0.443446,0.514964,0.62805,0.857444,0.941536,1.057621,1.135736
1318,77.8,17.4,0.037693,0.061289,0.092436,0.140107,0.177818,0.237907,0.255025,0.274958,0.298614,0.327385,0.363534,0.411061,0.477963,0.583737,0.798157,0.876721,0.985099,1.057973
1319,78,17.4,0.029499,0.052184,0.081974,0.127372,0.163203,0.220251,0.236499,0.255417,0.277868,0.305169,0.339464,0.384552,0.448036,0.548455,0.751944,0.826465,0.929256,0.998347
1320,78.2,17.4,0.022471,0.043271,0.070554,0.1122,0.145185,0.197965,0.213059,0.230666,0.251608,0.277138,0.309303,0.35173,0.411717,0.507158,0.702489,0.774521,0.874242,0.94151
1321,78.4,17.4,0.019086,0.03724,0.064059,0.104538,0.13635,0.186979,0.201418,0.218247,0.238245,0.262604,0.29327,0.333697,0.390828,0.481697,0.667709,0.736377,0.831518,0.895738
1322,78.6,17.4,0.020782,0.037913,0.065201,0.105899,0.13756,0.187524,0.201696,0.218177,0.237713,0.261447,0.291238,0.330373,0.385452,0.472595,0.649493,0.714364,0.803946,0.864253
1323,78.8,17.4,0.021587,0.037797,0.064761,0.104803,0.135847,0.184698,0.198531,0.214608,0.233654,0.256778,0.285784,0.323866,0.377431,0.46213,0.633977,0.696983,0.78398,0.842542
1324,79,17.4,0.019622,0.035768,0.061831,0.100757,0.13109,0.179045,0.192667,0.20852,0.22733,0.250209,0.278966,0.316817,0.370224,0.45503,0.628312,0.692221,0.780763,0.840545
1325,79.2,17.4,0.020488,0.037614,0.063782,0.103128,0.133942,0.182836,0.196754,0.212966,0.232217,0.255653,0.285136,0.323983,0.378845,0.466044,0.644455,0.71034,0.801635,0.863264
1326,79.4,17.4,0.021852,0.040976,0.067833,0.108445,0.140368,0.191146,0.20562,0.222482,0.242515,0.266909,0.297609,0.338066,0.395218,0.486075,0.671937,0.740518,0.835509,0.899617
