# mean, investigation_time=1.0, imt="PGA"
lon,lat,depth,poe-0.0047,poe-0.0068,poe-0.01,poe-0.015,poe-0.022,poe-0.033,poe-0.047,poe-0.068,poe-0.1,poe-0.15,poe-0.22,poe-0.33,poe-0.47,poe-0.68,poe-1.0,poe-1.5,poe-2.2,poe-3.3,poe-4.7
69.66000,23.25000,0.00000,3.205027E-01,2.750667E-01,2.215931E-01,1.646625E-01,1.161823E-01,7.502798E-02,4.873209E-02,2.974103E-02,1.698042E-02,8.929980E-03,4.608398E-03,2.157822E-03,1.060877E-03,4.807444E-04,1.974182E-04,7.072322E-05,2.455119E-05,7.623235E-06,2.641700E-06
72.61000,23.03000,0.00000,1.043792E-01,7.706711E-02,5.066222E-02,2.924227E-02,1.588276E-02,7.681594E-03,3.868866E-03,1.828874E-03,8.259357E-04,3.599973E-04,1.656219E-04,7.263255E-05,3.483982E-05,1.561729E-05,6.342964E-06,2.229182E-06,7.598862E-07,2.368623E-07,8.578848E-08
72.85000,19.11000,0.00000,1.411613E-01,1.080358E-01,7.515088E-02,4.731052E-02,2.872364E-02,1.609465E-02,9.391077E-03,5.204994E-03,2.722241E-03,1.310609E-03,6.170269E-04,2.573939E-04,1.122484E-04,4.390892E-05,1.501906E-05,4.289507E-06,1.141877E-06,2.452157E-07,5.762085E-08
73.75000,17.40000,0.00000,2.962780E-01,2.695436E-01,2.363277E-01,1.976112E-01,1.594468E-01,1.196410E-01,8.761769E-02,5.903492E-02,3.596524E-02,1.933727E-02,9.766149E-03,4.291489E-03,1.935794E-03,7.780993E-04,2.717472E-04,7.928439E-05,2.113687E-05,4.674463E-06,1.152784E-06
74.80000,34.08000,0.00000,5.331649E-01,4.753828E-01,4.012234E-01,3.129528E-01,2.287465E-01,1.495017E-01,9.516514E-02,5.527715E-02,2.967480E-02,1.504065E-02,8.028070E-03,4.272482E-03,2.518946E-03,1.462263E-03,8.356075E-04,4.765767E-04,2.908149E-04,1.768922E-04,1.150540E-04
76.95000,8.50000,0.00000,6.473713E-03,4.865791E-03,3.301254E-03,1.986364E-03,1.115444E-03,5.457955E-04,2.703810E-04,1.230035E-04,5.294813E-05,2.209481E-05,9.898082E-06,4.294585E-06,2.059840E-06,9.216030E-07,3.699609E-07,1.252030E-07,3.856544E-08,9.235492E-09,2.013412E-09
77.11000,28.56000,0.00000,1.379401E-01,1.156911E-01,9.174564E-02,6.801473E-02,4.859795E-02,3.219325E-02,2.149288E-02,1.351131E-02,7.945124E-03,4.298531E-03,2.269399E-03,1.080192E-03,5.325974E-04,2.375551E-04,9.282523E-05,3.017557E-05,9.092827E-06,2.304173E-06,6.511410E-07
77.58000,12.98000,0.00000,2.447496E-02,1.845270E-02,1.230364E-02,7.010313E-03,3.587072E-03,1.516668E-03,6.349750E-04,2.336686E-04,7.922862E-05,2.660933E-05,1.050719E-05,4.336342E-06,2.063056E-06,9.227895E-07,3.700094E-07,1.253114E-07,3.839974E-08,9.084441E-09,1.968022E-09
78.04000,30.33000,0.00000,3.988947E-01,3.443554E-01,2.806998E-01,2.124577E-01,1.537222E-01,1.030032E-01,6.969859E-02,4.475344E-02,2.726719E-02,1.566936E-02,9.044943E-03,4.956630E-03,2.902266E-03,1.649146E-03,9.156985E-04,5.023899E-04,2.920234E-04,1.671813E-04,1.030247E-04
78.46000,17.45000,0.00000,4.985744E-02,3.902103E-02,2.794593E-02,1.804226E-02,1.100029E-02,6.001289E-03,3.337690E-03,1.738579E-03,8.577257E-04,3.982596E-04,1.870138E-04,8.036559E-05,3.668996E-05,1.521522E-05,5.579355E-06,1.722712E-06,4.990007E-07,1.143581E-07,2.387497E-08
