# mean, investigation_time=1.0
lon,lat,0.002105~PGA,0.002105~SA(0.2),0.002105~SA(1.0),0.00040397~PGA,0.00040397~SA(0.2),0.00040397~SA(1.0)
69.66000,23.25000,3.340989E-01,5.050637E-01,1.221402E-01,7.332516E-01,1.107292E+00,3.074876E-01
72.61000,23.03000,6.344601E-02,1.215051E-01,3.692304E-02,1.417926E-01,2.542832E-01,8.375934E-02
72.85000,19.11000,1.153309E-01,1.774725E-01,3.668227E-02,2.677522E-01,3.881462E-01,8.300202E-02
73.75000,17.40000,4.528265E-01,6.427953E-01,1.285486E-01,8.647218E-01,1.238574E+00,2.924611E-01
74.80000,34.08000,5.309444E-01,1.194048E+00,3.718201E-01,1.705104E+00,3.843473E+00,1.187037E+00
76.95000,8.50000,1.432131E-02,2.676631E-02,0.000000E+00,3.839788E-02,7.130575E-02,1.663507E-02
77.11000,28.56000,2.292240E-01,3.610328E-01,9.528464E-02,5.333585E-01,8.270732E-01,2.482451E-01
77.58000,12.98000,2.827864E-02,5.074537E-02,8.803570E-03,5.554769E-02,9.956848E-02,2.154983E-02
78.04000,30.33000,5.797575E-01,1.325956E+00,3.561383E-01,1.749589E+00,3.955645E+00,1.097353E+00
78.46000,17.45000,6.101992E-02,1.047235E-01,2.222948E-02,1.488756E-01,2.372928E-01,5.255029E-02
79.95000,23.20000,9.928626E-02,1.685016E-01,3.821159E-02,2.419751E-01,3.868711E-01,9.449460E-02
80.18000,13.00000,8.484162E-02,1.254956E-01,1.738030E-02,2.142216E-01,2.967071E-01,4.439974E-02
85.10000,25.60000,9.023733E-02,1.758337E-01,6.709512E-02,2.303811E-01,4.479836E-01,2.054366E-01
88.45000,22.65000,1.015686E-01,1.775156E-01,4.775913E-02,2.400509E-01,3.890192E-01,1.110873E-01
91.73000,26.18000,5.525886E-01,9.986567E-01,3.077415E-01,1.049911E+00,1.856428E+00,7.497476E-01
92.11000,25.48000,5.270978E-01,9.490190E-01,2.995520E-01,1.029061E+00,1.823362E+00,7.372250E-01
92.72000,11.61000,6.796560E-01,1.547506E+00,3.423221E-01,1.688979E+00,3.784825E+00,8.688579E-01
93.94000,24.78000,7.100045E-01,1.499522E+00,3.390206E-01,1.779870E+00,3.633042E+00,8.642498E-01
