ordinal,branch_path,weight
52,b1m1~b1m4_b2m4_b3m4_b4m1_b5m3_b6m2_b7m3_b9m3_b8m4,3.3333334e-05
53,b1m1~b1m4_b2m3_b3m4_b4m3_b5m2_b6m2_b7m1_b9m3_b8m1,3.3333334e-05
54,b1m1~b1m3_b2m2_b3m4_b4m4_b5m2_b6m1_b7m4_b9m3_b8m4,3.3333334e-05
55,b1m1~b1m4_b2m4_b3m2_b4m3_b5m4_b6m3_b7m4_b9m4_b8m4,3.3333334e-05
56,b1m1~b1m1_b2m2_b3m4_b4m1_b5m2_b6m1_b7m4_b9m1_b8m4,3.3333334e-05
57,b1m1~b1m1_b2m4_b3m4_b4m3_b5m3_b6m3_b7m3_b9m2_b8m1,3.3333334e-05
58,b1m1~b1m1_b2m1_b3m4_b4m3_b5m2_b6m3_b7m3_b9m3_b8m4,3.3333334e-05
59,b1m1~b1m2_b2m2_b3m3_b4m1_b5m1_b6m2_b7m2_b9m1_b8m2,3.3333334e-05
60,b1m1~b1m2_b2m3_b3m4_b4m1_b5m2_b6m2_b7m3_b9m1_b8m2,3.3333334e-05
61,b1m1~b1m2_b2m1_b3m2_b4m3_b5m4_b6m1_b7m4_b9m4_b8m3,3.3333334e-05
62,b1m1~b1m4_b2m2_b3m3_b4m2_b5m1_b6m3_b7m2_b9m2_b8m3,3.3333334e-05
63,b1m1~b1m2_b2m3_b3m1_b4m3_b5m1_b6m2_b7m4_b9m3_b8m4,3.3333334e-05
64,b1m1~b1m2_b2m1_b3m3_b4m2_b5m4_b6m2_b7m4_b9m1_b8m3,3.3333334e-05
65,b1m1~b1m3_b2m1_b3m4_b4m2_b5m3_b6m2_b7m4_b9m4_b8m1,3.3333334e-05
66,b1m1~b1m1_b2m3_b3m4_b4m2_b5m1_b6m2_b7m1_b9m3_b8m2,3.3333334e-05
67,b1m1~b1m4_b2m2_b3m1_b4m1_b5m3_b6m3_b7m2_b9m3_b8m4,3.3333334e-05
68,b1m1~b1m1_b2m2_b3m2_b4m4_b5m4_b6m2_b7m2_b9m1_b8m2,3.3333334e-05
69,b1m1~b1m4_b2m5_b3m3_b4m4_b5m4_b6m1_b7m3_b9m3_b8m2,3.3333334e-05
70,b1m1~b1m4_b2m1_b3m2_b4m4_b5m1_b6m2_b7m2_b9m3_b8m3,3.3333334e-05
71,b1m1~b1m1_b2m4_b3m4_b4m4_b5m3_b6m2_b7m1_b9m2_b8m1,3.3333334e-05
72,b1m1~b1m1_b2m1_b3m1_b4m2_b5m4_b6m1_b7m1_b9m4_b8m2,3.3333334e-05
73,b1m1~b1m4_b2m2_b3m2_b4m1_b5m4_b6m3_b7m2_b9m2_b8m4,3.3333334e-05
74,b1m1~b1m3_b2m5_b3m1_b4m3_b5m1_b6m3_b7m2_b9m2_b8m2,3.3333334e-05
75,b1m1~b1m3_b2m5_b3m3_b4m2_b5m2_b6m1_b7m2_b9m3_b8m1,3.3333334e-05
76,b1m1~b1m4_b2m1_b3m2_b4m3_b5m4_b6m1_b7m3_b9m3_b8m4,3.3333334e-05
77,b1m1~b1m1_b2m2_b3m2_b4m4_b5m3_b6m3_b7m2_b9m2_b8m2,3.3333334e-05
78,b1m1~b1m2_b2m3_b3m1_b4m3_b5m3_b6m3_b7m3_b9m1_b8m1,3.3333334e-05
79,b1m1~b1m1_b2m3_b3m2_b4m2_b5m1_b6m1_b7m4_b9m3_b8m4,3.3333334e-05
80,b1m1~b1m4_b2m3_b3m2_b4m1_b5m1_b6m3_b7m2_b9m2_b8m1,3.3333334e-05
81,b1m1~b1m3_b2m3_b3m2_b4m4_b5m2_b6m3_b7m2_b9m4_b8m2,3.3333334e-05
82,b1m1~b1m2_b2m2_b3m3_b4m2_b5m4_b6m2_b7m3_b9m3_b8m2,3.3333334e-05
83,b1m1~b1m1_b2m2_b3m2_b4m1_b5m2_b6m2_b7m1_b9m1_b8m4,3.3333334e-05
84,b1m1~b1m2_b2m2_b3m1_b4m4_b5m3_b6m1_b7m1_b9m3_b8m3,3.3333334e-05
85,b1m1~b1m2_b2m2_b3m3_b4m1_b5m1_b6m1_b7m3_b9m4_b8m1,3.3333334e-05
86,b1m1~b1m3_b2m5_b3m3_b4m2_b5m2_b6m3_b7m3_b9m3_b8m4,3.3333334e-05
87,b1m1~b1m3_b2m3_b3m4_b4m1_b5m1_b6m1_b7m1_b9m4_b8m3,3.3333334e-05
88,b1m1~b1m4_b2m3_b3m3_b4m4_b5m4_b6m2_b7m4_b9m3_b8m2,3.3333334e-05
89,b1m1~b1m2_b2m5_b3m2_b4m4_b5m1_b6m2_b7m2_b9m1_b8m4,3.3333334e-05
90,b1m1~b1m1_b2m3_b3m2_b4m3_b5m2_b6m1_b7m1_b9m4_b8m4,3.3333334e-05
91,b1m1~b1m3_b2m5_b3m2_b4m1_b5m1_b6m3_b7m4_b9m2_b8m4,3.3333334e-05
92,b1m1~b1m4_b2m1_b3m1_b4m4_b5m2_b6m3_b7m2_b9m3_b8m3,3.3333334e-05
