siteid,lon,lat,prob40,prob30,prob20,prob15,prob10,prob9,prob8,prob7,prob6,prob5,prob4,prob3,prob2,prob1,prob_pt8,prob_pt6,prob_pt5
5174,89.2,25.8,0.095781,0.126289,0.176101,0.217175,0.284482,0.30396,0.326775,0.354021,0.387372,0.429559,0.485443,0.564807,0.691718,0.953814,1.051438,1.18755,1.280013
5175,89.4,25.8,0.108247,0.141737,0.196733,0.242359,0.317563,0.339407,0.365034,0.395686,0.433275,0.480917,0.544172,0.634249,0.778779,1.078835,1.191019,1.347683,1.454237
5176,89.6,25.8,0.147888,0.188573,0.254727,0.309158,0.398141,0.423838,0.453904,0.489764,0.533589,0.58893,0.662082,0.765702,0.930888,1.270505,1.396477,1.571549,1.690082
5177,89.8,25.8,0.243588,0.298972,0.384872,0.452617,0.559176,0.589168,0.623887,0.664811,0.71419,0.775657,0.855597,0.966687,1.139573,1.483041,1.60732,1.777828,1.89196
5178,90,25.8,0.269199,0.328422,0.420044,0.492135,0.605295,0.637099,0.673895,0.717237,0.769497,0.834493,0.918927,1.036093,1.218058,1.57813,1.707902,1.885443,2.003913
5179,90.2,25.8,0.278837,0.340208,0.435323,0.510262,0.628013,0.661131,0.699454,0.744612,0.799075,0.866836,0.954896,1.077144,1.267105,1.643047,1.7785,1.963669,2.087109
5180,90.4,25.8,0.282448,0.34498,0.442071,0.518665,0.639146,0.673054,0.712302,0.758565,0.814379,0.883843,0.97415,1.099573,1.294551,1.680497,1.819523,2.009469,2.136022
5181,90.6,25.8,0.282686,0.345569,0.443309,0.520471,0.641909,0.676099,0.715679,0.762338,0.818637,0.888715,0.979833,1.106395,1.303148,1.694011,1.836203,2.030242,2.159397
5182,90.8,25.8,0.279512,0.34225,0.440329,0.51828,0.641141,0.675766,0.715869,0.763166,0.820267,0.891381,0.983906,1.112518,1.313206,1.711438,1.854886,2.05081,2.181308
5183,91,25.8,0.276636,0.339393,0.43804,0.516185,0.639534,0.674331,0.714648,0.762512,0.820352,0.892426,0.986256,1.116787,1.320079,1.723335,1.868732,2.067399,2.199769
5184,91.2,25.8,0.27738,0.341009,0.440359,0.51908,0.643875,0.679214,0.720162,0.768484,0.826856,0.899606,0.994331,1.126126,1.331415,1.738639,1.885446,2.086009,2.219628
5185,91.4,25.8,0.279353,0.343544,0.444494,0.524852,0.651785,0.687609,0.729126,0.778123,0.837317,0.911098,1.00718,1.140883,1.349166,1.76237,1.911319,2.114784,2.25032
5186,91.6,25.8,0.283759,0.348812,0.450812,0.532288,0.661028,0.697373,0.739495,0.789214,0.84929,0.924183,1.021734,1.157523,1.369129,1.789147,1.940602,2.14753,2.285403
5187,91.8,25.8,0.290715,0.357704,0.462505,0.545532,0.676595,0.713569,0.756409,0.806956,0.868007,0.944081,1.043115,1.180866,1.395306,1.820195,1.973164,2.181981,2.321007
5188,92,25.8,0.296225,0.364163,0.470223,0.554255,0.686921,0.724349,0.767718,0.81889,0.880702,0.957731,1.058026,1.197566,1.41487,1.845777,2.001047,2.213139,2.354433
5189,92.2,25.8,0.305185,0.374175,0.481751,0.566889,0.701168,0.739027,0.78288,0.83461,0.897073,0.974888,1.076159,1.216977,1.43612,1.870326,2.026729,2.240338,2.38262
5190,92.4,25.8,0.321009,0.391144,0.500071,0.585996,0.721128,0.759154,0.803166,0.855039,0.917616,0.995482,1.096697,1.237227,1.455542,1.887187,2.04247,2.254482,2.395705
5191,92.6,25.8,0.372681,0.447765,0.562543,0.651908,0.790936,0.829793,0.874646,0.927361,0.990769,1.069429,1.17133,1.312297,1.53041,1.959488,2.113403,2.323426,2.463298
5192,92.8,25.8,0.383671,0.458896,0.573483,0.662421,0.800373,0.838847,0.883219,0.935316,0.997909,1.075459,1.175775,1.314302,1.528147,1.947606,2.097877,2.302918,2.439489
5193,93,25.8,0.386898,0.46226,0.576845,0.665637,0.803164,0.841482,0.885653,0.937489,0.999733,1.076802,1.176425,1.313857,1.525741,1.940859,2.089484,2.292256,2.427351
5194,93.2,25.8,0.387178,0.463213,0.578741,0.6682,0.806651,0.845207,0.88964,0.941764,1.004327,1.081743,1.181735,1.319549,1.531765,1.94677,2.095119,2.297381,2.432071
5195,93.4,25.8,0.3823,0.458712,0.57477,0.664558,0.803348,0.841961,0.886439,0.938584,1.001119,1.078426,1.178167,1.315444,1.526429,1.937568,2.084141,2.283719,2.416494
5196,93.6,25.8,0.34162,0.411164,0.517359,0.599998,0.728516,0.764427,0.805875,0.854575,0.913133,0.985745,1.079765,1.209745,1.410604,1.805092,1.946526,2.139618,2.268333
5197,93.8,25.8,0.252962,0.30774,0.393086,0.460691,0.567512,0.597675,0.632639,0.673919,0.723816,0.786046,0.86715,0.98009,1.156104,1.505588,1.631812,1.804706,1.920263
5198,94,25.8,0.236424,0.290806,0.375651,0.442858,0.54892,0.578827,0.613469,0.654333,0.703673,0.765126,0.845075,0.956147,1.12869,1.46944,1.591924,1.759284,1.870903
5199,94.2,25.8,0.230491,0.284454,0.368457,0.434847,0.539378,0.568805,0.602864,0.643005,0.691421,0.751653,0.829903,0.938442,1.106748,1.438381,1.557422,1.71999,1.828384
5200,94.4,25.8,0.23812,0.293255,0.378587,0.44563,0.550554,0.579961,0.613933,0.65388,0.70194,0.761548,0.838717,0.94529,1.109589,1.43043,1.5448,1.700394,1.803783
5201,94.6,25.8,0.244422,0.300173,0.386082,0.453299,0.558084,0.587373,0.621168,0.660853,0.708527,0.767556,0.843822,0.948895,1.11038,1.424222,1.53569,1.687031,1.787415
5202,94.8,25.8,0.248036,0.30316,0.387829,0.4539,0.556679,0.585368,0.618455,0.657289,0.703915,0.761615,0.836121,0.938713,1.096297,1.402442,1.511194,1.658897,1.756914
5203,95,25.8,0.255906,0.310669,0.394303,0.459258,0.55988,0.587893,0.620161,0.657992,0.703353,0.759407,0.831667,0.930978,1.083172,1.377951,1.482458,1.624269,1.718315
5204,70.2,26,0.072944,0.097205,0.136504,0.168691,0.221084,0.236168,0.253795,0.274787,0.300398,0.332666,0.375205,0.435237,0.530386,0.723756,0.794713,0.892737,0.958757
5205,70.4,26,0.077016,0.1025,0.143734,0.17746,0.232273,0.248037,0.266448,0.288361,0.315078,0.348716,0.39302,0.455481,0.554344,0.754877,0.828363,0.929789,0.998043
5206,70.6,26,0.079405,0.105797,0.148513,0.18347,0.2403,0.256646,0.27574,0.298465,0.326175,0.361065,0.40702,0.471803,0.574324,0.782184,0.85833,0.963397,1.034079
5207,70.8,26,0.081959,0.109317,0.153548,0.189702,0.248414,0.265289,0.284992,0.308434,0.337003,0.372956,0.420275,0.48692,0.592234,0.805277,0.883184,0.990566,1.062719
5208,71,26,0.084119,0.112214,0.157517,0.194475,0.254392,0.271594,0.291668,0.31554,0.344614,0.381176,0.429253,0.496886,0.603584,0.818869,0.897436,1.005583,1.078161
5209,71.2,26,0.083835,0.112206,0.157912,0.195183,0.255592,0.272932,0.29317,0.317232,0.346537,0.383388,0.431839,0.499993,0.607485,0.824278,0.90336,1.012178,1.085186
5210,71.4,26,0.081004,0.109054,0.154259,0.191153,0.251012,0.268208,0.288283,0.312162,0.341259,0.377864,0.426029,0.493834,0.600904,0.817186,0.896165,1.004912,1.077915
