,layerid,areal 4.5,areal 5.5,smoothed 4.5,smoothed 5.5,N 4.5,N 5.5,zoneid,ratio 4.5,ratio 5.5
74,1.0,0.955,0.1318,1.6084,0.0345,1046.0,1044.0,,1.68,0.26
75,1.0,0.631,0.0479,1.1865,0.0191,554.0,554.0,,1.88,0.4
76,1.0,1.4622,0.1718,0.8313,0.0185,1347.0,1003.0,,0.57,0.11
77,1.0,4.9545,0.4842,5.2674,0.1728,2637.0,2637.0,,1.06,0.36
78,1.0,0.4074,0.0178,0.4053,0.0,560.0,43.0,,0.99,0.0
79,1.0,1.7579,0.1972,4.2337,0.0951,1957.0,1926.0,,2.41,0.48
80,1.0,1.7989,0.2427,1.9578,0.0619,9509.0,3919.0,,1.09,0.26
81,1.0,1.5849,0.2399,4.1579,0.1878,2148.0,2099.0,,2.62,0.78
82,1.0,0.309,0.0589,1.6895,0.0754,7660.0,5419.0,,5.47,1.28
83,1.0,0.1288,0.0224,0.6122,0.0147,3419.0,1273.0,,4.75,0.66
84,1.0,0.3758,0.0305,1.4772,0.0169,808.0,684.0,,3.93,0.55
85,1.0,0.1679,0.0313,0.3537,0.0025,2763.0,410.0,,2.11,0.08
86,1.0,0.0556,0.013,0.1842,0.0095,1728.0,925.0,,3.31,0.73
87,2.0,0.4169,0.0661,1.3785,0.0313,615.0,615.0,,3.31,0.47
88,2.0,1.5136,0.0794,3.3748,0.1006,1988.0,1988.0,,2.23,1.27
89,2.0,1.2023,0.0724,2.6155,0.0512,1470.0,1470.0,,2.18,0.71
90,2.0,2.7542,0.302,5.7372,0.1434,1812.0,1812.0,,2.08,0.47
91,2.0,1.9498,0.2138,4.8747,0.093,729.0,729.0,,2.5,0.43
92,2.0,1.3032,0.0966,4.3709,0.0603,511.0,511.0,,3.35,0.62
93,2.0,2.0184,0.1567,5.0174,0.1032,2233.0,2233.0,,2.49,0.66
94,2.0,0.9226,0.1084,2.3592,0.1127,8706.0,5846.0,,2.56,1.04
95,2.0,0.507,0.0653,1.6204,0.0472,10794.0,4254.0,,3.2,0.72
96,3.0,0.9016,0.0767,5.1921,0.1518,3512.0,3035.0,,5.76,1.98
97,3.0,0.4677,0.0269,1.5278,0.0715,6812.0,2578.0,,3.27,2.66
98,2.0,0.0,0.0,0.7435,0.0405,1815.0,1654.0,,inf,inf
99,2.0,0.0001,0.0,3.7513,0.0514,1211.0,1211.0,,37513.0,inf
100,2.0,0.0001,0.0,2.084,0.0558,1211.0,1159.0,,20840.0,inf
101,2.0,0.0,0.0,0.3389,0.0192,919.0,752.0,,inf,inf
102,2.0,0.0001,0.0,1.8715,0.0892,8697.0,6145.0,,18715.0,inf
103,1.0,79.4363,8.417799999999998,129.4774,4.041300000000001,82982.0,63235.0,All,1.63,0.48
104,2.0,62.550200000000004,5.445199999999997,173.28899999999996,3.6263000000000005,76145.0,63084.0,All,2.77,0.67
105,3.0,35.7063,2.9145000000000003,88.4155,1.6905999999999999,19368.0,14097.0,All,2.48,0.58
106,4.0,11.4753,1.5774,27.3083,1.2254,4768.0,2937.0,All,2.38,0.78
107,All,189.1681,18.354899999999997,418.49019999999996,10.5836,183263.0,143353.0,All,2.21,0.58
