lon,lat,nu5_5
65.100,33.600,0.000100
65.100,33.700,0.000100
65.100,33.800,0.000100
65.100,33.900,0.000100
65.100,34.000,0.000100
65.100,34.100,0.000100
65.100,34.200,0.000100
65.200,33.400,0.000100
65.200,33.500,0.000100
65.200,33.600,0.000100
65.200,33.700,0.000100
65.200,33.800,0.000100
65.200,33.900,0.000100
65.200,34.000,0.000100
65.200,34.100,0.000100
65.200,34.200,0.000100
65.200,34.300,0.000100
65.300,33.200,0.000100
65.300,33.300,0.000100
65.300,33.400,0.000100
65.300,33.500,0.000100
65.300,33.600,0.000100
65.300,33.700,0.000100
65.300,33.800,0.000100
65.300,33.900,0.000200
65.300,34.000,0.000200
65.300,34.100,0.000200
65.300,34.200,0.000100
65.300,34.300,0.000100
65.300,34.400,0.000100
65.300,34.500,0.000100
65.400,33.100,0.000100
65.400,33.200,0.000100
65.400,33.300,0.000100
65.400,33.400,0.000100
65.400,33.500,0.000100
65.400,33.600,0.000200
65.400,33.700,0.000200
65.400,33.800,0.000200
65.400,33.900,0.000200
65.400,34.000,0.000200
65.400,34.100,0.000200
65.400,34.200,0.000200
65.400,34.300,0.000200
65.400,34.400,0.000200
65.400,34.500,0.000200
65.400,34.600,0.000100
65.500,33.000,0.000100
65.500,33.100,0.000100
65.500,33.200,0.000100
65.500,33.300,0.000100
65.500,33.400,0.000200
65.500,33.500,0.000200
65.500,33.600,0.000300
65.500,33.700,0.000300
65.500,33.800,0.000300
65.500,33.900,0.000300
65.500,34.000,0.000300
65.500,34.100,0.000300
65.500,34.200,0.000300
65.500,34.300,0.000300
65.500,34.400,0.000300
65.500,34.500,0.000200
65.500,34.600,0.000200
65.500,34.700,0.000100
65.600,32.900,0.000100
65.600,33.000,0.000100
65.600,33.100,0.000100
65.600,33.200,0.000200
65.600,33.300,0.000200
65.600,33.400,0.000300
65.600,33.500,0.000300
65.600,33.600,0.000400
65.600,33.700,0.000400
65.600,33.800,0.000400
65.600,33.900,0.000500
65.600,34.000,0.000500
65.600,34.100,0.000500
65.600,34.200,0.000400
65.600,34.300,0.000400
65.600,34.400,0.000400
65.600,34.500,0.000300
65.600,34.600,0.000300
65.600,34.700,0.000200
65.600,34.800,0.000200
65.700,32.800,0.000100
65.700,32.900,0.000100
65.700,33.000,0.000100
65.700,33.100,0.000200
65.700,33.200,0.000200
65.700,33.300,0.000300
65.700,33.400,0.000300
65.700,33.500,0.000400
65.700,33.600,0.000500
65.700,33.700,0.000600
65.700,33.800,0.000600
65.700,33.900,0.000600
65.700,34.000,0.000600
65.700,34.100,0.000600
65.700,34.200,0.000600
65.700,34.300,0.000600
65.700,34.400,0.000500
65.700,34.500,0.000400
65.700,34.600,0.000400
65.700,34.700,0.000300
65.700,34.800,0.000200
65.700,34.900,0.000200
65.700,35.000,0.000100
65.800,32.800,0.000100
65.800,32.900,0.000100
65.800,33.000,0.000200
65.800,33.100,0.000200
65.800,33.200,0.000300
65.800,33.300,0.000400
65.800,33.400,0.000500
65.800,33.500,0.000600
65.800,33.600,0.000700
65.800,33.700,0.000700
65.800,33.800,0.000800
65.800,33.900,0.000800
65.800,34.000,0.000900
65.800,34.100,0.000900
65.800,34.200,0.000800
65.800,34.300,0.000700
65.800,34.400,0.000700
65.800,34.500,0.000600
65.800,34.600,0.000500
65.800,34.700,0.000400
65.800,34.800,0.000300
65.800,34.900,0.000200
65.800,35.000,0.000200
65.800,35.100,0.000100
65.900,32.700,0.000100
65.900,32.800,0.000100
65.900,32.900,0.000100
65.900,33.000,0.000200
65.900,33.100,0.000300
65.900,33.200,0.000400
65.900,33.300,0.000500
65.900,33.400,0.000600
65.900,33.500,0.000700
65.900,33.600,0.000900
65.900,33.700,0.001000
65.900,33.800,0.001100
65.900,33.900,0.001100
65.900,34.000,0.001100
65.900,34.100,0.001100
65.900,34.200,0.001100
65.900,34.300,0.001000
65.900,34.400,0.000900
65.900,34.500,0.000700
65.900,34.600,0.000600
65.900,34.700,0.000500
65.900,34.800,0.000400
65.900,34.900,0.000300
65.900,35.000,0.000200
65.900,35.100,0.000100
65.900,35.200,0.000100
66.000,32.600,0.000100
66.000,32.700,0.000100
66.000,32.800,0.000100
66.000,32.900,0.000200
66.000,33.000,0.000300
66.000,33.100,0.000400
66.000,33.200,0.000500
66.000,33.300,0.000600
66.000,33.400,0.000800
66.000,33.500,0.000900
66.000,33.600,0.001100
66.000,33.700,0.001200
66.000,33.800,0.001400
66.000,33.900,0.001400
66.000,34.000,0.001500
66.000,34.100,0.001400
66.000,34.200,0.001400
66.000,34.300,0.001200
66.000,34.400,0.001100
66.000,34.500,0.000900
66.000,34.600,0.000800
66.000,34.700,0.000600
66.000,34.800,0.000500
66.000,34.900,0.000400
66.000,35.000,0.000300
66.000,35.100,0.000200
66.000,35.200,0.000100
66.000,35.300,0.000100
66.000,35.400,0.000100
66.100,32.600,0.000100
66.100,32.700,0.000100
66.100,32.800,0.000200
66.100,32.900,0.000200
66.100,33.000,0.000300
66.100,33.100,0.000500
66.100,33.200,0.000600
66.100,33.300,0.000800
66.100,33.400,0.001000
66.100,33.500,0.001200
66.100,33.600,0.001400
66.100,33.700,0.001600
66.100,33.800,0.001700
66.100,33.900,0.001800
66.100,34.000,0.001800
66.100,34.100,0.001800
66.100,34.200,0.001700
66.100,34.300,0.001600
66.100,34.400,0.001400
66.100,34.500,0.001200
66.100,34.600,0.001000
66.100,34.700,0.000800
66.100,34.800,0.000600
66.100,34.900,0.000500
66.100,35.000,0.000300
66.100,35.100,0.000200
66.100,35.200,0.000200
66.100,35.300,0.000100
66.100,35.400,0.000100
66.200,32.600,0.000100
66.200,32.700,0.000100
66.200,32.800,0.000200
66.200,32.900,0.000300
66.200,33.000,0.000400
66.200,33.100,0.000600
66.200,33.200,0.000700
66.200,33.300,0.001000
66.200,33.400,0.001200
66.200,33.500,0.001400
66.200,33.600,0.001700
66.200,33.700,0.001900
66.200,33.800,0.002100
66.200,33.900,0.002200
66.200,34.000,0.002200
66.200,34.100,0.002200
66.200,34.200,0.002100
66.200,34.300,0.001900
66.200,34.400,0.001700
66.200,34.500,0.001400
66.200,34.600,0.001200
66.200,34.700,0.001000
66.200,34.800,0.000700
66.200,34.900,0.000600
66.200,35.000,0.000400
66.200,35.100,0.000300
66.200,35.200,0.000200
66.200,35.300,0.000100
66.200,35.400,0.000100
66.300,32.500,0.000100
66.300,32.600,0.000100
66.300,32.700,0.000100
66.300,32.800,0.000200
66.300,32.900,0.000300
66.300,33.000,0.000500
66.300,33.100,0.000700
66.300,33.200,0.000900
66.300,33.300,0.001100
66.300,33.400,0.001400
66.300,33.500,0.001700
66.300,33.600,0.002000
66.300,33.700,0.002300
66.300,33.800,0.002500
66.300,33.900,0.002600
66.300,34.000,0.002600
66.300,34.100,0.002600
66.300,34.200,0.002500
66.300,34.300,0.002300
66.300,34.400,0.002000
66.300,34.500,0.001700
66.300,34.600,0.001400
66.300,34.700,0.001100
66.300,34.800,0.000900
66.300,34.900,0.000700
66.300,35.000,0.000500
66.300,35.100,0.000300
66.300,35.200,0.000200
66.300,35.300,0.000100
66.300,35.400,0.000100
66.300,35.500,0.000100
66.400,32.500,0.000100
66.400,32.600,0.000100
66.400,32.700,0.000200
66.400,32.800,0.000300
66.400,32.900,0.000400
66.400,33.000,0.000600
66.400,33.100,0.000800
66.400,33.200,0.001000
66.400,33.300,0.001300
66.400,33.400,0.001700
66.400,33.500,0.002000
66.400,33.600,0.002400
66.400,33.700,0.002600
66.400,33.800,0.002900
66.400,33.900,0.003000
66.400,34.000,0.003100
66.400,34.100,0.003000
66.400,34.200,0.002900
66.400,34.300,0.002600
66.400,34.400,0.002300
66.400,34.500,0.002000
66.400,34.600,0.001700
66.400,34.700,0.001300
66.400,34.800,0.001000
66.400,34.900,0.000800
66.400,35.000,0.000600
66.400,35.100,0.000400
66.400,35.200,0.000300
66.400,35.300,0.000200
66.400,35.400,0.000100
66.400,35.500,0.000100
66.500,32.500,0.000100
66.500,32.600,0.000100
66.500,32.700,0.000200
66.500,32.800,0.000300
66.500,32.900,0.000400
66.500,33.000,0.000600
66.500,33.100,0.000900
66.500,33.200,0.001200
66.500,33.300,0.001500
66.500,33.400,0.001900
66.500,33.500,0.002300
66.500,33.600,0.002700
66.500,33.700,0.003000
66.500,33.800,0.003300
66.500,33.900,0.003500
66.500,34.000,0.003500
66.500,34.100,0.003400
66.500,34.200,0.003300
66.500,34.300,0.003000
66.500,34.400,0.002700
66.500,34.500,0.002300
66.500,34.600,0.001900
66.500,34.700,0.001500
66.500,34.800,0.001200
66.500,34.900,0.000900
66.500,35.000,0.000600
66.500,35.100,0.000400
66.500,35.200,0.000300
66.500,35.300,0.000200
66.500,35.400,0.000100
66.500,35.500,0.000100
66.600,32.500,0.000100
66.600,32.600,0.000100
66.600,32.700,0.000200
66.600,32.800,0.000300
66.600,32.900,0.000500
66.600,33.000,0.000700
66.600,33.100,0.001000
66.600,33.200,0.001300
66.600,33.300,0.001700
66.600,33.400,0.002100
66.600,33.500,0.002600
66.600,33.600,0.003000
66.600,33.700,0.003400
66.600,33.800,0.003600
66.600,33.900,0.003800
66.600,34.000,0.003900
66.600,34.100,0.003800
66.600,34.200,0.003600
66.600,34.300,0.003300
66.600,34.400,0.003000
66.600,34.500,0.002500
66.600,34.600,0.002100
66.600,34.700,0.001700
66.600,34.800,0.001300
66.600,34.900,0.001000
66.600,35.000,0.000700
66.600,35.100,0.000500
66.600,35.200,0.000300
66.600,35.300,0.000200
66.600,35.400,0.000100
66.600,35.500,0.000100
66.700,32.400,0.000100
66.700,32.500,0.000100
66.700,32.600,0.000200
66.700,32.700,0.000200
66.700,32.800,0.000400
66.700,32.900,0.000500
66.700,33.000,0.000800
66.700,33.100,0.001100
66.700,33.200,0.001400
66.700,33.300,0.001800
66.700,33.400,0.002300
66.700,33.500,0.002800
66.700,33.600,0.003200
66.700,33.700,0.003600
66.700,33.800,0.004000
66.700,33.900,0.004200
66.700,34.000,0.004200
66.700,34.100,0.004200
66.700,34.200,0.003900
66.700,34.300,0.003600
66.700,34.400,0.003200
66.700,34.500,0.002700
66.700,34.600,0.002300
66.700,34.700,0.001800
66.700,34.800,0.001400
66.700,34.900,0.001000
66.700,35.000,0.000800
66.700,35.100,0.000500
66.700,35.200,0.000400
66.700,35.300,0.000200
66.700,35.400,0.000100
66.700,35.500,0.000100
66.700,35.600,0.000100
66.800,32.400,0.000100
66.800,32.500,0.000100
66.800,32.600,0.000200
66.800,32.700,0.000300
66.800,32.800,0.000400
66.800,32.900,0.000600
66.800,33.000,0.000800
66.800,33.100,0.001100
66.800,33.200,0.001500
66.800,33.300,0.002000
66.800,33.400,0.002400
66.800,33.500,0.002900
66.800,33.600,0.003400
66.800,33.700,0.003900
66.800,33.800,0.004200
66.800,33.900,0.004400
66.800,34.000,0.004500
66.800,34.100,0.004400
66.800,34.200,0.004200
66.800,34.300,0.003800
66.800,34.400,0.003400
66.800,34.500,0.002900
66.800,34.600,0.002400
66.800,34.700,0.001900
66.800,34.800,0.001500
66.800,34.900,0.001100
66.800,35.000,0.000800
66.800,35.100,0.000600
66.800,35.200,0.000400
66.800,35.300,0.000200
66.800,35.400,0.000200
66.800,35.500,0.000100
66.800,35.600,0.000100
66.900,32.400,0.000100
66.900,32.500,0.000100
66.900,32.600,0.000200
66.900,32.700,0.000300
66.900,32.800,0.000400
66.900,32.900,0.000600
66.900,33.000,0.000800
66.900,33.100,0.001200
66.900,33.200,0.001600
66.900,33.300,0.002000
66.900,33.400,0.002500
66.900,33.500,0.003100
66.900,33.600,0.003600
66.900,33.700,0.004000
66.900,33.800,0.004400
66.900,33.900,0.004600
66.900,34.000,0.004700
66.900,34.100,0.004600
66.900,34.200,0.004300
66.900,34.300,0.004000
