lon,lat,PGA-0.00040397,PGA-0.002105,SA(0.2)-0.00040397,SA(0.2)-0.002105,SA(1.0)-0.00040397,SA(1.0)-0.002105
68.2,23.6,0.8121771978855323,0.9298363099115624,0.8670380619291032,0.9857995406330364,0.6495238709984269,0.8869779942693411
68.4,23.8,0.7818003804408639,0.9026189127341342,0.8045523054410472,0.9020195646168596,0.6509562365417408,0.9128912175009078
68.6,23.4,0.6826482785609593,0.7623674238990519,0.6965366003454382,0.7645105245389595,0.5967142988662966,0.7781968065051917
68.6,23.6,0.6880985590456531,0.7871114981532086,0.6997299841010726,0.7794635936127332,0.6107399139898857,0.8220958023293432
68.8,23.2,0.6759160672871378,0.7487800950157018,0.6744535337559752,0.7285554361454415,0.5918813819202035,0.7843169045861021
68.8,23.4,0.6658217772776145,0.7450217649552737,0.668629523899154,0.7255458352952839,0.585999821868963,0.7585835925678788
68.8,23.6,0.6636462888916658,0.7478426826840893,0.6724740695033231,0.7368281180608914,0.591730588235294,0.7790613543485614
68.8,23.8,0.660888985930407,0.7408162763926324,0.6735771660297901,0.7381812543103635,0.605116658222402,0.7987710551019324
68.8,24.0,0.6698414836946543,0.7493067741375654,0.679383430000895,0.7399978420371169,0.6082854770543492,0.7917627689398337
68.8,24.2,0.6760457159857199,0.7461122477943088,0.6890767929274175,0.7468076673835665,0.611863751119798,0.7939464835199695
69.0,22.2,0.6043207377321026,0.6392967384821436,0.6225531861529285,0.6684435605469765,0.5464604171512755,0.6887993352209775
69.0,22.4,0.6160729277438853,0.6636615422457262,0.6270011557497591,0.6721706415493527,0.5425636840435983,0.6774877751963713
69.0,23.0,0.6599451108351608,0.7169284094136825,0.6545789803507672,0.6882166518449966,0.5787589535873366,0.7436290230214179
69.0,23.2,0.6555968236707262,0.7071580935196795,0.65855983483668,0.6964166387087581,0.5887371394048339,0.7555956434811981
69.0,23.4,0.6551200257102301,0.7196981667321974,0.6595231056875974,0.7028628145922955,0.5929452793536629,0.7575936758481021
69.0,23.6,0.6511232322492396,0.7191260000483406,0.6581337643191535,0.7060843212444756,0.5959099944781888,0.780377172955733
69.0,23.8,0.647397373143315,0.710159828229121,0.6585384394868592,0.7081406531084558,0.5897937446547281,0.75863188992053
69.0,24.0,0.6526640035375147,0.7134141122345262,0.6598137804412898,0.7069660163987073,0.6023735703901919,0.7753537076892977
69.0,24.2,0.6534925648612393,0.7057282832944998,0.6627069067690121,0.7072666853150814,0.6084605836604287,0.7941568266546039
69.2,22.0,0.6288965959636547,0.6514077008380552,0.6314145603193092,0.6589718258203289,0.5195710699053208,0.630748710322071
69.2,22.2,0.5835609009315496,0.6277486962270156,0.6025733721505991,0.6566482675702263,0.5411102840128263,0.6894524368419831
