"zoneid","aspect ratio","msr","tectonic zone","region","tectonic subregion","focal plane","faulting style","tectonic region type","layerid","note"
164,2,"StrasserIntraslab","Subduction intraslab","Indo-Myanmar","subduction intraslab","primary","strike-slip","subduction intraslab",3,
166,2,"StrasserIntraslab","Subduction intraslab","Andaman-Sumatra","subduction interface ","primary","reverse","subduction interface ",3,
167,2,"StrasserIntraslab","Subduction intraslab","Andaman-Sumatra","subduction interface ","primary","reverse","subduction interface ",3,
169,2,"StrasserIntraslab","Subduction intraslab","Hindukush","subduction interface ","primary","reverse","subduction interface ",4,
170,2,"StrasserIntraslab","Subduction interface","Pamir","subduction intraslab Himalayas","primary","normal","subduction intraslab",4,
172,2,"StrasserIntraslab","Subduction intraslab","Andaman-Sumatra","subduction intraslab","primary","normal","subduction intraslab",4,
901,2,"WC1994","Active shallow crust","Chang Chenmo, Aksai Chin","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
902,2,"WC1994","Active shallow crust","Tibetan plateau","active shallow crust normal","primary","normal","active shallow crust",1,
903,2,"WC1994","Active shallow crust","Murray Ridge","active shallow crust normal","primary","normal","active shallow crust",1,
904,2,"WC1994","Active shallow crust","Himalayas","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
905,2,"WC1994","Active shallow crust","Tibetan plateau","active shallow crust normal","primary","normal","active shallow crust",1,
906,2,"WC1994","Active shallow crust","Himalayas - Main Frontal Thrust","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
907,2,"WC1994","Active shallow crust","Tibetan plateau","active shallow crust normal","primary","normal","active shallow crust",1,
908,2,"WC1994","Active shallow crust","Himalayas","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
909,2,"WC1994","Active shallow crust","Tibetan plateau","active shallow crust normal","primary","normal","active shallow crust",1,
910,2,"StrasserInterface","Subduction interface","Indo-Myanmar","subduction interface","primary","reverse","subduction interface",1,
911,2,"WC1994","Subduction interface","Indo-Myanmar","active shallow crust strike-slip reverse","primary","reverse","active shallow crust",1,
912,2,"WC1994","Intraplate margin","Shillong plateau","intraplate margin upper","primary","reverse","intraplate margin upper",1,
913,2,"WC1994","Active shallow crust","Bangladesh","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
914,2,"WC1994","Active shallow crust","Indo-Myanmar","active shallow crust strike-slip reverse","primary","strike-slip","active shallow crust",1,
915,2,"WC1994","Active shallow crust","Bay of Bengal","active shallow crust normal","primary","normal","active shallow crust",1,
916,2,"StrasserInterface","Subduction interface","Andaman-Sumatra","subduction interface","primary","reverse","subduction interface",1,
917,2,"WC1994","Oceanic crust","Bay of Bengal","stable shallow crust","primary","strike-slip","stable shallow crust",1,
918,2,"StrasserInterface","Subduction interface","Andaman-Sumatra","subduction interface","primary","reverse","subduction interface",1,
919,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","reverse","stable shallow crust",1,
921,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","reverse","stable shallow crust",1,
922,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","strike-slip","stable shallow crust",1,
923,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","strike-slip","stable shallow crust",1,
924,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","strike-slip","stable shallow crust",1,
925,2,"StrasserInterface","Subduction interface","Himalayas","subduction interface","primary","normal",,2,"???"
926,2,"StrasserInterface","Subduction interface","Himalayas","subduction interface","primary","normal",,2,"???"
927,2,"StrasserInterface","Subduction interface","Himalayas","subduction interface","primary","normal",,2,"???"
928,2,"StrasserInterface","Subduction interface","Himalayas","subduction interface","primary","strike-slip",,2,"???"
929,2,"StrasserInterface","Subduction interface","Indo-Myanmar","subduction interface","primary","strike-slip",,2,"???"
930,2,"StrasserInterface","Subduction interface","Indo-Myanmar","subduction interface","primary","strike-slip",,2,"???"
931,2,"StrasserInterface","Subduction interface","Indo-Myanmar","subduction interface","primary","strike-slip",,2,"???"
932,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","strike-slip","stable shallow crust",2,
933,2,"WC1994","Stable continental","Peninsular India","stable shallow crust","primary","reverse","stable shallow crust",2,
935,2,"StrasserIntraslab","Subduction intraslab","Himalayas","subduction interface ","primary","reverse","subduction interface ",3,
936,2,"StrasserIntraslab","Subduction intraslab","Himalayas","subduction intraslab Himalayas","primary","reverse","subduction intraslab",3,
9031,2,"WC1994","Oceanic crust","Murray Ridge","no seismicity","primary","normal",,2,"???"
9081,2,"WC1994","Subduction interface","Himalayas","no seismicity","primary","strike-slip",,2,"???"
9131,2,"WC1994","Subduction interface","Indo-Myanmar","no seismicity","primary","strike-slip",,2,"???"
9151,2,"WC1994","Oceanic crust","Bay of Bengal","no seismicity","primary","normal",,2,"???"
9171,2,"WC1994","Oceanic crust","Bay of Bengal","no seismicity","primary","strike-slip",,2,"???"
