longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
60,26,0.0001,5.5,95,1.0526e-06,1308.1,935,,180,70,subduction interface,-0.092724,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,26N 60E 70-180 km depth M5.5,26N_60E_L3_M5p5,,,
60,27,0.0033,5.5,95,3.4737e-05,1233.8,935,,180,70,subduction interface,1.4258,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,27N 60E 70-180 km depth M5.5,27N_60E_L3_M5p5,-4.52,-5.01,-6.2
61,26,0.0011,5.5,95,1.1579e-05,1242.7,935,,180,70,subduction interface,0.94867,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,26N 61E 70-180 km depth M5.5,26N_61E_L3_M5p5,-5.15,-5.52,-7.26
61,27,0.0029,5.5,95,3.0526e-05,1164.6,935,,180,70,subduction interface,1.3697,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,27N 61E 70-180 km depth M5.5,27N_61E_L3_M5p5,-4.58,-5.07,-6.28
62,25,0.0002,5.5,95,2.1053e-06,1251,936,,180,70,subduction intraslab Himalayas,1.1433,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,25N 62E 70-180 km depth M5.5,25N_62E_L3_M5p5,-5.83,-6.38,
62,26,0.0072,5.5,95,7.5789e-05,1179.1,935,,180,70,subduction interface,1.7646,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,26N 62E 70-180 km depth M5.5,26N_62E_L3_M5p5,-4.15,-4.66,-5.78
62,27,0.0137,5.5,95,0.00014421,1098.6,935,,180,70,subduction interface,2.044,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,27N 62E 70-180 km depth M5.5,27N_62E_L3_M5p5,-3.85,-4.38,-5.48
62,28,0.0035,5.5,95,3.6842e-05,1021,935,,180,70,subduction interface,1.4513,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,28N 62E 70-180 km depth M5.5,28N_62E_L3_M5p5,-4.49,-4.98,-6.17
63,23,0.0003,5.5,95,3.1579e-06,1334.4,936,,180,70,subduction intraslab Himalayas,1.3194,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,23N 63E 70-180 km depth M5.5,23N_63E_L3_M5p5,-5.6,-6.17,
63,24,0.0004,5.5,95,4.2105e-06,1255.6,936,,180,70,subduction intraslab Himalayas,1.4443,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,24N 63E 70-180 km depth M5.5,24N_63E_L3_M5p5,-5.45,-6.03,
63,25,0.0001,5.5,95,1.0526e-06,1181.2,936,,180,70,subduction intraslab Himalayas,0.84228,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,25N 63E 70-180 km depth M5.5,25N_63E_L3_M5p5,-6.38,-6.78,
63,26,0.0035,5.5,95,3.6842e-05,1111.9,936,,180,70,subduction intraslab Himalayas,2.3863,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,26N 63E 70-180 km depth M5.5,26N_63E_L3_M5p5,-4.44,-5.06,-6.37
63,27,0.0069,5.5,95,7.2632e-05,1034.5,935,,180,70,subduction interface,1.7461,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,27N 63E 70-180 km depth M5.5,27N_63E_L3_M5p5,-4.17,-4.68,-5.8
63,28,0.0027,5.5,95,2.8421e-05,954.12,935,,180,70,subduction interface,1.3386,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,28N 63E 70-180 km depth M5.5,28N_63E_L3_M5p5,-4.62,-5.1,-6.32
63,29,0.0005,5.5,95,5.2632e-06,877.52,935,,180,70,subduction interface,0.60625,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,29N 63E 70-180 km depth M5.5,29N_63E_L3_M5p5,-6.1,-5.94,
63,30,0.0017,5.5,95,1.7895e-05,799.19,153,,180,70,subduction interface,1.3027,1.1,0.03,7.9,0.3,94,44,247,2,StrasserInterface,30N 63E 70-180 km depth M5.5,30N_63E_L3_M5p5,-4.83,-5.32,-6.43
63,31,0.0002,5.5,95,2.1053e-06,718.55,153,,180,70,subduction interface,0.37331,1.1,0.03,7.9,0.3,94,44,247,2,StrasserInterface,31N 63E 70-180 km depth M5.5,31N_63E_L3_M5p5,,-6.47,-7.67
64,22,0.0001,5.5,95,1.0526e-06,1361.1,936,,180,70,subduction intraslab Himalayas,0.84228,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,22N 64E 70-180 km depth M5.5,22N_64E_L3_M5p5,-6.38,-6.78,
64,23,0.0025,5.5,95,2.6316e-05,1275.2,936,,180,70,subduction intraslab Himalayas,2.2402,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,23N 64E 70-180 km depth M5.5,23N_64E_L3_M5p5,-4.59,-5.21,-6.56
64,24,0.0035,5.5,95,3.6842e-05,1192.6,936,,180,70,subduction intraslab Himalayas,2.3863,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,24N 64E 70-180 km depth M5.5,24N_64E_L3_M5p5,-4.44,-5.06,-6.37
64,25,0.0002,5.5,95,2.1053e-06,1114,936,,180,70,subduction intraslab Himalayas,1.1433,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,25N 64E 70-180 km depth M5.5,25N_64E_L3_M5p5,-5.83,-6.38,
64,26,0.0001,5.5,95,1.0526e-06,1040.4,936,,180,70,subduction intraslab Himalayas,0.84228,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,26N 64E 70-180 km depth M5.5,26N_64E_L3_M5p5,-6.38,-6.78,
64,27,0.0003,5.5,95,3.1579e-06,969.66,935,,180,70,subduction interface,0.3844,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,27N 64E 70-180 km depth M5.5,27N_64E_L3_M5p5,,-6.27,
64,28,0.0002,5.5,95,2.1053e-06,889.73,935,,180,70,subduction interface,0.20831,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,28N 64E 70-180 km depth M5.5,28N_64E_L3_M5p5,,-6.63,
64,29,0.0013,5.5,95,1.3684e-05,809.55,935,,180,70,subduction interface,1.0212,1.07,0.09,7.2,0.3,111,57,317,2,StrasserInterface,29N 64E 70-180 km depth M5.5,29N_64E_L3_M5p5,-5.04,-5.44,-6.97
64,30,0.0049,5.5,95,5.1579e-05,734.07,153,,180,70,subduction interface,1.7625,1.1,0.03,7.9,0.3,94,44,247,2,StrasserInterface,30N 64E 70-180 km depth M5.5,30N_64E_L3_M5p5,-4.32,-4.85,-5.95
