zoneid,layerid,a,b,stdb,mmax,stdmmax,faulting style,tectonic subregion,region
1,1,5.2,1.05,0.07,8.0,0.4,strike-slip,subduction interface,Pamirs
89,2,5.29,1.11,0.06,7.3,0.4,reverse,subduction interface,Hindu Kush
92,2,4.8,1.05,0.1,8.3,0.4,strike-slip,subduction interface,Hindu Kush
