zoneid,layerid,a,b,stdb,mmax,stdmmax,faulting style,tectonic subregion,region
924,1,1.58,0.63,0.1,6.2,0.3,strike-slip,stable shallow crust,Peninsular India
919,1,2.73,0.72,0.1,7.2,0.3,reverse,stable shallow crust,Peninsular India
14,1,3.12,0.72,0.09,8.6,0.4,reverse,subduction interface,Makran
