zoneid,aspect ratio,msr,tectonic zone,region,tectonic subregion,focal plane
917,2,WC1994,Oceanic crust,Bay of Bengal,stable shallow crust,primary
918,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,primary
919,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
921,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
922,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
923,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
924,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
925,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
926,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
927,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
928,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,primary
929,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
930,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
931,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,primary
932,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
933,2,WC1994,Stable continental,Peninsular India,stable shallow crust,primary
935,2,StrasserIntraslab,Subduction intraslab,Himalayas,subduction intraslab Himalayas,primary
936,2,StrasserIntraslab,Subduction intraslab,Himalayas,subduction intraslab Himalayas,primary
9031,2,WC1994,Oceanic crust,Murray Ridge,no seismicity,primary
9081,2,WC1994,Subduction interface,Himalayas,no seismicity,primary
9131,2,WC1994,Subduction interface,Indo-Myanmar,no seismicity,primary
9151,2,WC1994,Oceanic crust,Bay of Bengal,no seismicity,primary
9171,2,WC1994,Oceanic crust,Bay of Bengal,no seismicity,primary
