zoneid,layerid,a,b,stdb,mmax,stdmmax,faulting style,tectonic subregion,region
132,2,4.4,0.87,0.06,9.4,0.2,reverse,subduction interface,Andaman-Sumatra
918,1,3.89,0.82,0.07,8.9,0.2,reverse,subduction interface,Andaman-Sumatra
110,2,3.58,0.78,0.06,8.8,0.2,reverse,subduction interface,Himalayas
