zoneid,dip,rake,mechanism,aspect ratio,msr,tectonic zone,region,tectonic subregion,concerns
103,70,-36,strike-slip,2,StrasserInterface,Subduction interface,"Ladakh, Zanskar, Tibetan",subduction interface,
110,23,82,reverse,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,
116,59,-92,normal,2,StrasserInterface,Subduction interface,Bangong-Nujiang,subduction interface,
118,89,-141,strike-slip,2,StrasserInterface,Subduction interface,Mikir Hills,subduction interface,
128,64,3,strike-slip,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,
129,85,-121,normal,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,
130,67,60,reverse,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,
131,43,-12,strike-slip,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,
132,14,79,reverse,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,
136,88,171,strike-slip,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,
137,89,-29,strike-slip,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,
138,80,18,strike-slip,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,
910,10,123,reverse,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,
911,31,69,reverse,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,
918,25,108,reverse,2,StrasserInterface,Subduction interface,Andaman-Sumatra,subduction interface,oceanic not continental
925,37,-26,strike-slip,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,
926,46,-83,normal,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,
927,37,-26,strike-slip,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,
928,89,-141,strike-slip,2,StrasserInterface,Subduction interface,Himalayas,subduction interface,
929,81,11,strike-slip,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,
930,68,25,strike-slip,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,
931,90,-3,strike-slip,2,StrasserInterface,Subduction interface,Indo-Myanmar,subduction interface,
172,64,-50,normal,2,StrasserIntraslab,Subduction intraslab,Andaman-Sumatra,subduction intraslab,only YCSH97 includes events to this depth
