longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
62.4,29.2,4.5,25,3e-06,7.5e-05,169,subduction intraslab Himalayas,-1.74287874528,0.84,8.6,29.2N 62.4E 180-300 km depth,29p2N62p4Ez169
62.4,29.4,4.5,25,4e-06,0.0001,169,subduction intraslab Himalayas,-1.61794000867,0.84,8.6,29.4N 62.4E 180-300 km depth,29p4N62p4Ez169
62.4,29.6,4.5,25,4e-06,0.0001,169,subduction intraslab Himalayas,-1.61794000867,0.84,8.6,29.6N 62.4E 180-300 km depth,29p6N62p4Ez169
62.4,29.8,4.5,25,4e-06,0.0001,169,subduction intraslab Himalayas,-1.61794000867,0.84,8.6,29.8N 62.4E 180-300 km depth,29p8N62p4Ez169
62.4,30.0,4.5,25,3e-06,7.5e-05,169,subduction intraslab Himalayas,-1.74287874528,0.84,8.6,30N 62.4E 180-300 km depth,30N62p4Ez169
62.4,30.2,4.5,25,2e-06,5e-05,169,subduction intraslab Himalayas,-1.91897000434,0.84,8.6,30.2N 62.4E 180-300 km depth,30p2N62p4Ez169
62.6,29.0,4.5,25,6e-06,0.00015,169,subduction intraslab Himalayas,-1.44184874962,0.84,8.6,29N 62.6E 180-300 km depth,29N62p6Ez169
62.6,29.2,4.5,25,1e-05,0.00025,169,subduction intraslab Himalayas,-1.22,0.84,8.6,29.2N 62.6E 180-300 km depth,29p2N62p6Ez169
62.6,29.4,4.5,25,1.5e-05,0.000375,169,subduction intraslab Himalayas,-1.04390874094,0.84,8.6,29.4N 62.6E 180-300 km depth,29p4N62p6Ez169
62.6,29.6,4.5,25,1.7e-05,0.000425,169,subduction intraslab Himalayas,-0.989551078622,0.84,8.6,29.6N 62.6E 180-300 km depth,29p6N62p6Ez169
62.6,29.8,4.5,25,1.5e-05,0.000375,169,subduction intraslab Himalayas,-1.04390874094,0.84,8.6,29.8N 62.6E 180-300 km depth,29p8N62p6Ez169
62.6,30.0,4.5,25,1.1e-05,0.000275,169,subduction intraslab Himalayas,-1.17860731484,0.84,8.6,30N 62.6E 180-300 km depth,30N62p6Ez169
62.6,30.2,4.5,25,6e-06,0.00015,169,subduction intraslab Himalayas,-1.44184874962,0.84,8.6,30.2N 62.6E 180-300 km depth,30p2N62p6Ez169
62.6,30.4,4.5,25,3e-06,7.5e-05,169,subduction intraslab Himalayas,-1.74287874528,0.84,8.6,30.4N 62.6E 180-300 km depth,30p4N62p6Ez169
62.8,28.8,4.5,25,8e-06,0.0002,169,subduction intraslab Himalayas,-1.31691001301,0.84,8.6,28.8N 62.8E 180-300 km depth,28p8N62p8Ez169
62.8,29.0,4.5,25,1.8e-05,0.00045,169,subduction intraslab Himalayas,-0.964727494897,0.84,8.6,29N 62.8E 180-300 km depth,29N62p8Ez169
62.8,29.2,4.5,25,3.3e-05,0.000825,169,subduction intraslab Himalayas,-0.701486060122,0.84,8.6,29.2N 62.8E 180-300 km depth,29p2N62p8Ez169
62.8,29.4,4.5,25,4.7e-05,0.001175,169,subduction intraslab Himalayas,-0.547902142064,0.84,8.6,29.4N 62.8E 180-300 km depth,29p4N62p8Ez169
62.8,29.6,4.5,25,5.4e-05,0.00135,169,subduction intraslab Himalayas,-0.487606240177,0.84,8.6,29.6N 62.8E 180-300 km depth,29p6N62p8Ez169
62.8,29.8,4.5,25,4.8e-05,0.0012,169,subduction intraslab Himalayas,-0.538758762624,0.84,8.6,29.8N 62.8E 180-300 km depth,29p8N62p8Ez169
62.8,30.0,4.5,25,3.4e-05,0.00085,169,subduction intraslab Himalayas,-0.688521082958,0.84,8.6,30N 62.8E 180-300 km depth,30N62p8Ez169
62.8,30.2,4.5,25,1.9e-05,0.000475,169,subduction intraslab Himalayas,-0.941246399047,0.84,8.6,30.2N 62.8E 180-300 km depth,30p2N62p8Ez169
62.8,30.4,4.5,25,8e-06,0.0002,169,subduction intraslab Himalayas,-1.31691001301,0.84,8.6,30.4N 62.8E 180-300 km depth,30p4N62p8Ez169
62.8,30.6,4.5,25,3e-06,7.5e-05,169,subduction intraslab Himalayas,-1.74287874528,0.84,8.6,30.6N 62.8E 180-300 km depth,30p6N62p8Ez169
63.0,28.6,4.5,25,8e-06,0.0002,169,subduction intraslab Himalayas,-1.31691001301,0.84,8.6,28.6N 63E 180-300 km depth,28p6N63Ez169
63.0,28.8,4.5,25,2.2e-05,0.00055,169,subduction intraslab Himalayas,-0.877577319178,0.84,8.6,28.8N 63E 180-300 km depth,28p8N63Ez169
63.0,29.0,4.5,25,4.9e-05,0.001225,169,subduction intraslab Himalayas,-0.529803919971,0.84,8.6,29N 63E 180-300 km depth,29N63Ez169
63.0,29.2,4.5,25,8.8e-05,0.0022,169,subduction intraslab Himalayas,-0.27551732785,0.84,8.6,29.2N 63E 180-300 km depth,29p2N63Ez169
