id	zoneid	layerid	tectonic subregion	mmin	a	areal lambda 4.5	areal lambda 5.5	aspect ratio	b	concerns	dip	equiv a 4.5	equiv a 5.5	mechanism	mmax	msr	name	polygon coordinates	rake	region	smoothed N 4.5	smoothed N 5.5	smoothed a 4.5	smoothed a 5.5	smoothed lambda 4.5	smoothed lambda 5.5	stdb	stdmmax	strike	tectonic zone	zmax	zmin
z119	119	2.0	intraplate margin lower	4.5	3.81	0.5188	0.0638	2	0.91	unsure of correct scaling relation	40	0.00922518159806	0.00922518159806	reverse	8.3	WC1994	zone 119	[[91.78, 26.74], [93.18, 25.12], [91.4, 25.12], [90.56, 25.12], [89.72, 25.13], [89.72, 25.13], [89.72, 26.53]]	90.0	Shillong plateau	413	413	4.42	3.75	2.1057	0.0556	0.1	0.2	112	Intraplate margin	70.0	25.0
z912	912	1.0	intraplate margin upper	4.5	4.84	0.631	0.0479	2	1.12	unsure of correct scaling relation	40	0.00872072072072	0.00872072072072	reverse	7.9	WC1994	zone 912	[[89.71, 25.08], [89.77, 26.44], [92.0, 26.62], [92.07, 26.63], [93.3, 26.77], [93.33, 26.77], [93.75, 26.05], [92.79, 25.11], [92.78, 25.1], [91.65, 25.09], [91.64, 25.09]]	90.0	Shillong plateau	555	555	5.11	4.44	1.1883	0.0191	0.13	0.3	112	Intraplate margin	25.0	0.0
