longitude,latitude,mmin,duration,lambda,nu,distance,zoneid,in zoneid,tectonic subregion,a,b,mmax,name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
61.0,24.0,4.5,45,2.4444444444444445e-05,0.0011,0.0,14.0,14.0,subduction interface,-1.3718198286171188,0.72,8.6,24N 61E 0-25 km depth,24N61Ez14p0,,,
61.0,25.0,4.5,45,0.0006822222222222223,0.0307,0.0,14.0,14.0,subduction interface,0.07392586170184279,0.72,8.6,25N 61E 0-25 km depth,25N61Ez14p0,-4.33,-5.05,-5.77
61.0,26.0,4.5,45,0.0029577777777777775,0.1331,0.0,14.0,14.0,subduction interface,0.710965541699331,0.72,8.6,26N 61E 0-25 km depth,26N61Ez14p0,-2.98,-3.7,-4.42
61.0,27.0,4.5,45,0.0016933333333333334,0.0762,0.0,14.0,14.0,subduction interface,0.4687424575642565,0.72,8.6,27N 61E 0-25 km depth,27N61Ez14p0,-3.31,-4.03,-4.75
62.0,24.0,4.5,45,5.555555555555556e-05,0.0025,0.0,14.0,14.0,subduction interface,-1.0152725051033067,0.72,8.6,24N 62E 0-25 km depth,24N62Ez14p0,,,
62.0,25.0,4.5,45,0.0009733333333333333,0.0438,0.0,14.0,14.0,subduction interface,0.22826159672875557,0.72,8.6,25N 62E 0-25 km depth,25N62Ez14p0,-3.76,-4.48,-5.2
62.0,26.0,4.5,45,0.0005733333333333334,0.0258,0.0,14.0,14.0,subduction interface,-0.0015928078121136835,0.72,8.6,26N 62E 0-25 km depth,26N62Ez14p0,,,
62.0,27.0,4.5,45,0.0008111111111111111,0.0365,0.0,14.0,14.0,subduction interface,0.1490803506811309,0.72,8.6,27N 62E 0-25 km depth,27N62Ez14p0,-3.99,-4.71,-5.43
63.0,24.0,4.5,45,0.00022666666666666668,0.0102,0.0,14.0,14.0,subduction interface,-0.4046123420134262,0.72,8.6,24N 63E 0-25 km depth,24N63Ez14p0,,,
63.0,25.0,4.5,45,0.0027955555555555555,0.1258,0.0,14.0,14.0,subduction interface,0.6864681273339062,0.72,8.6,25N 63E 0-25 km depth,25N63Ez14p0,-3.01,-3.73,-4.45
63.0,26.0,4.5,45,0.0005866666666666667,0.0264,0.0,14.0,14.0,subduction interface,0.008391413094487099,0.72,8.6,26N 63E 0-25 km depth,26N63Ez14p0,-5.31,-6.03,-6.75
63.0,27.0,4.5,45,0.0003822222222222222,0.0172,0.0,14.0,14.0,subduction interface,-0.17768406686779503,0.72,8.6,27N 63E 0-25 km depth,27N63Ez14p0,,,
64.0,25.0,4.5,45,0.0007866666666666666,0.0354,0.0,14.0,14.0,subduction interface,0.1357907482504439,0.72,8.6,25N 64E 0-25 km depth,25N64Ez14p0,-4.04,-4.76,-5.48
64.0,26.0,4.5,45,0.00017999999999999998,0.0081,0.0,14.0,14.0,subduction interface,-0.5047274948966942,0.72,8.6,26N 64E 0-25 km depth,26N64Ez14p0,,,
64.0,27.0,4.5,45,0.00014222222222222224,0.0064,0.0,14.0,14.0,subduction interface,-0.6070325397914567,0.72,8.6,27N 64E 0-25 km depth,27N64Ez14p0,,,
65.0,25.0,4.5,45,0.00046,0.0207,0.0,14.0,14.0,subduction interface,-0.09724216831842636,0.72,8.6,25N 65E 0-25 km depth,25N65Ez14p0,,,
65.0,26.0,4.5,45,0.0008200000000000001,0.0369,0.0,14.0,14.0,subduction interface,0.15381385238371648,0.72,8.6,26N 65E 0-25 km depth,26N65Ez14p0,-3.97,-4.69,-5.41
65.0,27.0,4.5,45,0.0007400000000000001,0.0333,0.0,14.0,14.0,subduction interface,0.109231719730976,0.72,8.6,27N 65E 0-25 km depth,27N65Ez14p0,-4.14,-4.86,-5.58
66.0,25.0,4.5,45,0.0010444444444444444,0.047,0.0,14.0,14.0,subduction interface,0.2588853441603738,0.72,8.6,25N 66E 0-25 km depth,25N66Ez14p0,-3.69,-4.41,-5.13
60.0,24.0,4.5,45,2.2222222222222225e-06,0.0001,4.468333773902151,14.0,,subduction interface,-2.413212513775344,0.72,8.6,24N 60E 0-25 km depth,24N60Ez14p0,,,
60.0,25.0,4.5,45,7.333333333333333e-05,0.0033,3.0306090807082433,14.0,,subduction interface,-0.8946985738974562,0.72,8.6,25N 60E 0-25 km depth,25N60Ez14p0,,,
60.0,26.0,4.5,45,0.0006066666666666667,0.0273,1.5958313313419474,14.0,,subduction interface,0.022950133265412287,0.72,8.6,26N 60E 0-25 km depth,26N60Ez14p0,-4.87,-5.59,-6.31
60.0,27.0,4.5,45,0.00039999999999999996,0.018,0.16339418912994233,14.0,,subduction interface,-0.15794000867203772,0.72,8.6,27N 60E 0-25 km depth,27N60Ez14p0,,,
62.0,28.0,4.5,45,0.00017777777777777779,0.008,72.6884869530679,14.0,,subduction interface,-0.5101225267834004,0.72,8.6,28N 62E 0-25 km depth,28N62Ez14p0,,,
63.0,28.0,4.5,45,0.00014444444444444444,0.0065,61.23631060886053,14.0,,subduction interface,-0.6002991571324885,0.72,8.6,28N 63E 0-25 km depth,28N63Ez14p0,,,
64.0,28.0,4.5,45,0.00042,0.0189,50.56583036533874,14.0,,subduction interface,-0.1367507096020999,0.72,8.6,28N 64E 0-25 km depth,28N64Ez14p0,,,
61.0,22.0,4.5,45,3.9999999999999996e-05,0.0018,0.0,903.0,903.0,active shallow crust,0.6420599913279634,1.12,7.0,22N 61E 0-25 km depth,22N61Ez903p0,-5.07,-6.19,
62.0,21.0,4.5,45,0.0012222222222222222,0.055,0.0,903.0,903.0,active shallow crust,2.127150175718901,1.12,7.0,21N 62E 0-25 km depth,21N62Ez903p0,-3.48,-4.6,-5.76
62.0,22.0,4.5,45,0.0005155555555555556,0.0232,0.0,903.0,903.0,active shallow crust,1.7522754711155568,1.12,7.0,22N 62E 0-25 km depth,22N62Ez903p0,-3.86,-4.98,-6.2
62.0,23.0,4.5,45,1.1111111111111112e-05,0.0005,0.0,903.0,903.0,active shallow crust,0.08575749056067572,1.12,7.0,23N 62E 0-25 km depth,23N62Ez903p0,-6.26,-7.38,
63.0,21.0,4.5,45,7.555555555555556e-05,0.0034,0.0,903.0,903.0,active shallow crust,0.9182664032669123,1.12,7.0,21N 63E 0-25 km depth,21N63Ez903p0,-4.74,-5.86,
63.0,22.0,4.5,45,0.0005466666666666667,0.0246,0.0,903.0,903.0,active shallow crust,1.7777225933280363,1.12,7.0,22N 63E 0-25 km depth,22N63Ez903p0,-3.83,-4.95,-6.17
63.0,23.0,4.5,45,0.00027333333333333333,0.0123,0.0,903.0,903.0,active shallow crust,1.476692597664055,1.12,7.0,23N 63E 0-25 km depth,23N63Ez903p0,-4.14,-5.26,-6.62
64.0,22.0,4.5,45,6.666666666666667e-05,0.003,0.0,903.0,903.0,active shallow crust,0.8639087409443196,1.12,7.0,22N 64E 0-25 km depth,22N64Ez903p0,-4.8,-5.92,
64.0,23.0,4.5,45,0.0012244444444444445,0.0551,0.0,903.0,903.0,active shallow crust,2.1279390850764424,1.12,7.0,23N 64E 0-25 km depth,23N64Ez903p0,-3.48,-4.6,-5.76
64.0,24.0,4.5,45,0.0011977777777777779,0.0539,0.0,903.0,903.0,active shallow crust,2.118376251411396,1.12,7.0,24N 64E 0-25 km depth,24N64Ez903p0,-3.48,-4.6,-5.77
65.0,22.0,4.5,45,6.666666666666666e-06,0.0003,0.0,903.0,903.0,active shallow crust,-0.13609125905568042,1.12,7.0,22N 65E 0-25 km depth,22N65Ez903p0,,,
65.0,23.0,4.5,45,0.0009155555555555555,0.0412,0.0,903.0,903.0,active shallow crust,2.001684702257792,1.12,7.0,23N 65E 0-25 km depth,23N65Ez903p0,-3.6,-4.72,-5.9
65.0,24.0,4.5,45,0.0017844444444444444,0.0803,0.0,903.0,903.0,active shallow crust,2.2915030315033382,1.12,7.0,24N 65E 0-25 km depth,24N65Ez903p0,-3.31,-4.43,-5.58
66.0,23.0,4.5,45,1.1111111111111112e-05,0.0005,0.0,903.0,903.0,active shallow crust,0.08575749056067572,1.12,7.0,23N 66E 0-25 km depth,23N66Ez903p0,-6.26,-7.38,
66.0,24.0,4.5,45,0.0005533333333333333,0.0249,0.0,903.0,903.0,active shallow crust,1.7829868333203933,1.12,7.0,24N 66E 0-25 km depth,24N66Ez903p0,-3.82,-4.94,-6.16
67.0,24.0,4.5,45,0.00013333333333333334,0.006,0.0,903.0,903.0,active shallow crust,1.1649387366083008,1.12,7.0,24N 67E 0-25 km depth,24N67Ez903p0,-4.47,-5.59,-7.68
67.0,25.0,4.5,45,0.0008200000000000001,0.0369,0.0,903.0,903.0,active shallow crust,1.9538138523837176,1.12,7.0,25N 67E 0-25 km depth,25N67Ez903p0,-3.65,-4.77,-5.96
61.0,21.0,4.5,45,0.00017999999999999998,0.0081,22.35649706832094,903.0,,active shallow crust,1.295272505103307,1.12,7.0,21N 61E 0-25 km depth,21N61Ez903p0,-4.33,-5.45,-7.02
62.0,20.0,4.5,45,0.00012444444444444444,0.0056,12.55302076836634,903.0,,active shallow crust,1.1349755132308577,1.12,7.0,20N 62E 0-25 km depth,20N62Ez903p0,-4.5,-5.62,-8.17
63.0,20.0,4.5,45,4.444444444444445e-06,0.0002,55.41781212343085,903.0,,active shallow crust,-0.3121825181113618,1.12,7.0,20N 63E 0-25 km depth,20N63Ez903p0,,,
65.0,28.0,4.5,45,0.0006822222222222223,0.0307,0.0,15.0,15.0,subduction interface,1.2439258617018432,0.98,8.3,28N 65E 0-25 km depth,28N65Ez15p0,-3.68,-4.66,-5.64
65.0,29.0,4.5,45,0.0018533333333333334,0.0834,0.0,15.0,15.0,subduction interface,1.677953536862395,0.98,8.3,29N 65E 0-25 km depth,29N65Ez15p0,-3.23,-4.21,-5.19
65.0,30.0,4.5,45,0.00018666666666666666,0.0084,0.0,15.0,15.0,subduction interface,0.6810667722865382,0.98,8.3,30N 65E 0-25 km depth,30N65Ez15p0,-4.32,-5.3,-6.28
66.0,26.0,4.5,45,0.0013777777777777777,0.062,0.0,15.0,15.0,subduction interface,1.5491791757229105,0.98,8.3,26N 66E 0-25 km depth,26N66Ez15p0,-3.36,-4.34,-5.32
66.0,27.0,4.5,45,0.00312,0.1404,0.0,15.0,15.0,subduction interface,1.904154594018443,0.98,8.3,27N 66E 0-25 km depth,27N66Ez15p0,-3.0,-3.98,-4.96
66.0,28.0,4.5,45,0.002937777777777778,0.1322,0.0,15.0,15.0,subduction interface,1.878018941374278,0.98,8.3,28N 66E 0-25 km depth,28N66Ez15p0,-3.03,-4.01,-4.99
66.0,29.0,4.5,45,0.0027333333333333333,0.123,0.0,15.0,15.0,subduction interface,1.8466925976640542,0.98,8.3,29N 66E 0-25 km depth,29N66Ez15p0,-3.06,-4.04,-5.02
66.0,30.0,4.5,45,0.0031622222222222225,0.1423,0.0,15.0,15.0,subduction interface,1.9099923863089407,0.98,8.3,30N 66E 0-25 km depth,30N66Ez15p0,-3.0,-3.98,-4.96
66.0,31.0,4.5,45,0.001891111111111111,0.0851,0.0,15.0,15.0,subduction interface,1.6867170463092442,0.98,8.3,31N 66E 0-25 km depth,31N66Ez15p0,-3.22,-4.2,-5.18
67.0,26.0,4.5,45,0.0017466666666666668,0.0786,0.0,15.0,15.0,subduction interface,1.6522100322640645,0.98,8.3,26N 67E 0-25 km depth,26N67Ez15p0,-3.26,-4.24,-5.22
67.0,27.0,4.5,45,0.002428888888888889,0.1093,0.0,15.0,15.0,subduction interface,1.795407648174359,0.98,8.3,27N 67E 0-25 km depth,27N67Ez15p0,-3.11,-4.09,-5.07
67.0,28.0,4.5,45,0.00204,0.0918,0.0,15.0,15.0,subduction interface,1.719630167425899,0.98,8.3,28N 67E 0-25 km depth,28N67Ez15p0,-3.19,-4.17,-5.15
67.0,29.0,4.5,45,0.0023888888888888887,0.1075,0.0,15.0,15.0,subduction interface,1.7881959504762808,0.98,8.3,29N 67E 0-25 km depth,29N67Ez15p0,-3.12,-4.1,-5.08
67.0,30.0,4.5,45,0.007897777777777778,0.3554,0.0,15.0,15.0,subduction interface,2.307504909693939,0.98,8.3,30N 67E 0-25 km depth,30N67Ez15p0,-2.59,-3.57,-4.55
68.0,26.0,4.5,45,0.0003422222222222222,0.0154,0.0,15.0,15.0,subduction interface,0.9443082070611197,0.98,8.3,26N 68E 0-25 km depth,26N68Ez15p0,-4.01,-4.99,-5.97
