longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,hypo_depth,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
64,25,0.0074,5.5,106,6.9811e-05,0,14,14,25,0,15,subduction interface,-0.19607,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,25N 64E 0-25 km depth M5.5,25N_64E_L1_M5p5,,,
64,26,0.0027,5.5,106,2.5472e-05,0,14,14,25,0,15,subduction interface,-0.63394,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,26N 64E 0-25 km depth M5.5,26N_64E_L1_M5p5,,,
64,27,0.0006,5.5,106,5.6604e-06,0,14,14,25,0,15,subduction interface,-1.2872,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,27N 64E 0-25 km depth M5.5,27N_64E_L1_M5p5,,,
64,28,0.0035,5.5,106,3.3019e-05,50.566,14,,25,0,15,subduction interface,-0.52124,0.72,0.09,8.6,0.4,126.0,10.2,298.4,2,StrasserInterface,28N 64E 0-25 km depth M5.5,28N_64E_L1_M5p5,,,
64,29,0.0039,5.5,106,3.6792e-05,74.994,15,,25,0,15,active shallow crust strike-slip reverse,0.95576,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,29N 64E 0-25 km depth M5.5,29N_64E_L1_M5p5,-4.62,-4.98,-5.96
64,30,0.0048,5.5,106,4.5283e-05,92.28,15,,25,0,15,active shallow crust strike-slip reverse,1.0459,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,30N 64E 0-25 km depth M5.5,30N_64E_L1_M5p5,-4.49,-4.88,-5.86
64,31,0.0008,5.5,106,7.5472e-06,109.54,15,,25,0,15,active shallow crust strike-slip reverse,0.26778,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,31N 64E 0-25 km depth M5.5,31N_64E_L1_M5p5,,-5.95,-6.93
64,32,0.0001,5.5,106,9.434e-07,126.76,15,,25,0,15,active shallow crust strike-slip reverse,-0.63531,0.98,0.1,8.3,0.4,24.0,71,204,2,WC1994,32N 64E 0-25 km depth M5.5,32N_64E_L1_M5p5,,,
65,22,0.0003,5.5,106,2.8302e-06,0,903,903,25,0,15,active shallow crust normal,0.61182,1.12,0.12,7,0.4,-45.0,64,104,2,WC1994,22N 65E 0-25 km depth M5.5,22N_65E_L1_M5p5,-6.5,-6.23,
65,23,0.0045,5.5,106,4.2453e-05,0,903,903,25,0,15,active shallow crust normal,1.7879,1.12,0.12,7,0.4,-45.0,64,104,2,WC1994,23N 65E 0-25 km depth M5.5,23N_65E_L1_M5p5,-4.4,-4.94,-6.16
