longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,hypo_depth,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
60,27,0.0053,4.5,45,0.00011778,1233.8,935,,180,70,70,subduction intraslab,0.88606,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,27N 60E 70-180 km depth M4.5,27N_60E_L3_M4p5,-4.52,-5.59,-7.78
61,27,0.0003,4.5,45,6.6667e-06,1164.6,935,,180,70,70,subduction intraslab,-0.36109,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,27N 61E 70-180 km depth M4.5,27N_61E_L3_M4p5,,,
62,27,0.0025,4.5,45,5.5556e-05,1098.6,935,,180,70,70,subduction intraslab,0.55973,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,27N 62E 70-180 km depth M4.5,27N_62E_L3_M4p5,-4.93,-6,
62,28,0.0081,4.5,45,0.00018,1021,935,,180,70,70,subduction intraslab,1.0703,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,28N 62E 70-180 km depth M4.5,28N_62E_L3_M4p5,-4.32,-5.39,-6.83
63,23,0.0001,4.5,45,2.2222e-06,1334.4,936,,180,70,70,subduction intraslab Himalayas,-0.073213,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,23N 63E 70-180 km depth M4.5,23N_63E_L3_M4p5,,,
63,24,0.0002,4.5,45,4.4444e-06,1255.6,936,,180,70,70,subduction intraslab Himalayas,0.22782,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,24N 63E 70-180 km depth M4.5,24N_63E_L3_M4p5,-6.36,,
63,27,0.0025,4.5,45,5.5556e-05,1034.5,935,,180,70,70,subduction intraslab,0.55973,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,27N 63E 70-180 km depth M4.5,27N_63E_L3_M4p5,-4.93,-6,
63,28,0.0081,4.5,45,0.00018,954.12,935,,180,70,70,subduction intraslab,1.0703,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,28N 63E 70-180 km depth M4.5,28N_63E_L3_M4p5,-4.32,-5.39,-6.83
63,29,0.0014,4.5,45,3.1111e-05,877.52,935,,180,70,70,subduction intraslab,0.30792,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,29N 63E 70-180 km depth M4.5,29N_63E_L3_M4p5,-5.34,-6.41,
63,30,0.0065,4.5,45,0.00014444,799.19,153,,180,70,70,subduction intraslab,1.1097,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,30N 63E 70-180 km depth M4.5,30N_63E_L3_M4p5,-4.43,-5.53,-6.64
63,31,0.0002,4.5,45,4.4444e-06,718.55,153,,180,70,70,subduction intraslab,-0.40218,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,31N 63E 70-180 km depth M4.5,31N_63E_L3_M4p5,,,
64,23,0.0054,4.5,45,0.00012,1275.2,936,,180,70,70,subduction intraslab Himalayas,1.6592,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,23N 64E 70-180 km depth M4.5,23N_64E_L3_M4p5,-4.55,-5.8,-8.01
64,24,0.0097,4.5,45,0.00021556,1192.6,936,,180,70,70,subduction intraslab Himalayas,1.9136,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,24N 64E 70-180 km depth M4.5,24N_64E_L3_M4p5,-4.29,-5.54,-7.07
64,28,0.0001,4.5,45,2.2222e-06,889.73,935,,180,70,70,subduction intraslab,-0.83821,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,28N 64E 70-180 km depth M4.5,28N_64E_L3_M4p5,,,
64,29,0.0147,4.5,45,0.00032667,809.55,935,,180,70,70,subduction intraslab,1.3291,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,29N 64E 70-180 km depth M4.5,29N_64E_L3_M4p5,-4.04,-5.11,-6.34
64,30,0.0411,4.5,45,0.00091333,734.07,153,,180,70,70,subduction intraslab,1.9106,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,30N 64E 70-180 km depth M4.5,30N_64E_L3_M4p5,-3.59,-4.69,-5.8
64,31,0.001,4.5,45,2.2222e-05,654.07,153,,180,70,70,subduction intraslab,0.29679,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,31N 64E 70-180 km depth M4.5,31N_64E_L3_M4p5,-5.51,-6.61,-7.86
65,23,0.002,4.5,45,4.4444e-05,1219.8,936,,180,70,70,subduction intraslab Himalayas,1.2278,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,23N 65E 70-180 km depth M4.5,23N_65E_L3_M4p5,-5,-6.28,
65,24,0.0036,4.5,45,8e-05,1133.1,936,,180,70,70,subduction intraslab Himalayas,1.4831,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,24N 65E 70-180 km depth M4.5,24N_65E_L3_M4p5,-4.73,-5.99,
65,29,0.0021,4.5,45,4.6667e-05,744.79,935,,180,70,70,subduction intraslab,0.48401,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,29N 65E 70-180 km depth M4.5,29N_65E_L3_M4p5,-5.04,-6.11,
65,30,0.0036,4.5,45,8e-05,665.06,935,,180,70,70,subduction intraslab,0.71809,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,30N 65E 70-180 km depth M4.5,30N_65E_L3_M4p5,-4.72,-5.79,
65,31,0.0002,4.5,45,4.4444e-06,588.81,153,,180,70,70,subduction intraslab,-0.40218,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,31N 65E 70-180 km depth M4.5,31N_65E_L3_M4p5,,,
66,30,0.0006,4.5,45,1.3333e-05,599.87,935,,180,70,70,subduction intraslab,-0.060061,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,30N 66E 70-180 km depth M4.5,30N_66E_L3_M4p5,,,
66,31,0.0106,4.5,45,0.00023556,520.91,935,,180,70,70,subduction intraslab,1.1871,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,31N 66E 70-180 km depth M4.5,31N_66E_L3_M4p5,-4.19,-5.26,-6.58
66,32,0.0006,4.5,45,1.3333e-05,443.9,153,,180,70,70,subduction intraslab,0.074939,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,32N 66E 70-180 km depth M4.5,32N_66E_L3_M4p5,-6.23,-7.33,
67,30,0.0015,4.5,45,3.3333e-05,534.2,935,,180,70,70,subduction intraslab,0.33788,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,30N 67E 70-180 km depth M4.5,30N_67E_L3_M4p5,-5.28,-6.35,
67,31,0.0115,4.5,45,0.00025556,455.09,935,,180,70,70,subduction intraslab,1.2225,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,31N 67E 70-180 km depth M4.5,31N_67E_L3_M4p5,-4.15,-5.22,-6.51
67,32,0.0006,4.5,45,1.3333e-05,377.65,935,,180,70,70,subduction intraslab,-0.060061,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,32N 67E 70-180 km depth M4.5,32N_67E_L3_M4p5,,,
67,35,0.001,4.5,45,2.2222e-05,144.15,153,,180,70,70,subduction intraslab,0.29679,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,35N 67E 70-180 km depth M4.5,35N_67E_L3_M4p5,-5.51,-6.61,-7.86
67,36,0.0006,4.5,45,1.3333e-05,119.15,153,,180,70,70,subduction intraslab,0.074939,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,36N 67E 70-180 km depth M4.5,36N_67E_L3_M4p5,-6.23,-7.33,
68,29,0.0004,4.5,45,8.8889e-06,545.3,936,,180,70,70,subduction intraslab Himalayas,0.52885,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,29N 68E 70-180 km depth M4.5,29N_68E_L3_M4p5,-5.82,-7.43,
68,30,0.0209,4.5,45,0.00046444,467.83,935,,180,70,70,subduction intraslab,1.4819,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,30N 68E 70-180 km depth M4.5,30N_68E_L3_M4p5,-3.88,-4.95,-6.13
68,31,0.0127,4.5,45,0.00028222,389.28,935,,180,70,70,subduction intraslab,1.2656,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,31N 68E 70-180 km depth M4.5,31N_68E_L3_M4p5,-4.11,-5.18,-6.44
68,32,0.0001,4.5,45,2.2222e-06,310.59,935,,180,70,70,subduction intraslab,-0.83821,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,32N 68E 70-180 km depth M4.5,32N_68E_L3_M4p5,,,
68,34,0.0001,4.5,45,2.2222e-06,155.65,153,,180,70,70,subduction intraslab,-0.70321,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,34N 68E 70-180 km depth M4.5,34N_68E_L3_M4p5,,,
68,35,0.0122,4.5,45,0.00027111,77.861,153,,180,70,70,subduction intraslab,1.3831,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,35N 68E 70-180 km depth M4.5,35N_68E_L3_M4p5,-4.14,-5.24,-6.34
68,36,0.0234,4.5,45,0.00052,37.201,153,,180,70,70,subduction intraslab,1.666,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,36N 68E 70-180 km depth M4.5,36N_68E_L3_M4p5,-3.84,-4.94,-6.05
68,37,0.0184,4.5,45,0.00040889,114.77,153,,180,70,70,subduction intraslab,1.5616,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,37N 68E 70-180 km depth M4.5,37N_68E_L3_M4p5,-3.95,-5.05,-6.15
68,38,0.0018,4.5,45,4e-05,192.28,153,,180,70,70,subduction intraslab,0.55206,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,38N 68E 70-180 km depth M4.5,38N_68E_L3_M4p5,-5.09,-6.19,-7.34
69,29,0.0002,4.5,45,4.4444e-06,475.46,936,,180,70,70,subduction intraslab Himalayas,0.22782,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,29N 69E 70-180 km depth M4.5,29N_69E_L3_M4p5,-6.36,,
69,30,0.0072,4.5,45,0.00016,401.74,935,,180,70,70,subduction intraslab,1.0191,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,30N 69E 70-180 km depth M4.5,30N_69E_L3_M4p5,-4.37,-5.44,-6.98
69,31,0.003,4.5,45,6.6667e-05,322.67,935,,180,70,70,subduction intraslab,0.63891,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,31N 69E 70-180 km depth M4.5,31N_69E_L3_M4p5,-4.82,-5.89,
69,32,0.0045,4.5,45,0.0001,244.69,935,,180,70,70,subduction intraslab,0.815,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,32N 69E 70-180 km depth M4.5,32N_69E_L3_M4p5,-4.61,-5.68,
69,33,0.0003,4.5,45,6.6667e-06,166.48,935,,180,70,70,subduction intraslab,-0.36109,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,33N 69E 70-180 km depth M4.5,33N_69E_L3_M4p5,,,
69,34,0.0018,4.5,45,4e-05,89.623,153,,180,70,70,subduction intraslab,0.55206,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,34N 69E 70-180 km depth M4.5,34N_69E_L3_M4p5,-5.09,-6.19,-7.34
69,35,0.0719,4.5,45,0.0015978,12.583,153,,180,70,70,subduction intraslab,2.1535,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,35N 69E 70-180 km depth M4.5,35N_69E_L3_M4p5,-3.35,-4.45,-5.55
69,36,0.5372,4.5,45,0.011938,0,153,153,180,70,70,subduction intraslab,3.0269,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,36N 69E 70-180 km depth M4.5,36N_69E_L3_M4p5,-2.47,-3.57,-4.67
69,37,0.1138,4.5,45,0.0025289,51.509,153,,180,70,70,subduction intraslab,2.3529,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,37N 69E 70-180 km depth M4.5,37N_69E_L3_M4p5,-3.15,-4.25,-5.35
69,38,0.0132,4.5,45,0.00029333,129.88,153,,180,70,70,subduction intraslab,1.4174,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,38N 69E 70-180 km depth M4.5,38N_69E_L3_M4p5,-4.1,-5.2,-6.3
69,39,0.0019,4.5,45,4.2222e-05,208.2,153,,180,70,70,subduction intraslab,0.57554,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,39N 69E 70-180 km depth M4.5,39N_69E_L3_M4p5,-5.06,-6.16,-7.31
70,29,0.0029,4.5,45,6.4444e-05,414.28,936,,180,70,70,subduction intraslab Himalayas,1.3892,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,29N 70E 70-180 km depth M4.5,29N_70E_L3_M4p5,-4.83,-6.09,
70,30,0.0052,4.5,45,0.00011556,331.8,936,,180,70,70,subduction intraslab Himalayas,1.6428,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,30N 70E 70-180 km depth M4.5,30N_70E_L3_M4p5,-4.57,-5.82,-8.2
70,31,0.0016,4.5,45,3.5556e-05,256.42,935,,180,70,70,subduction intraslab,0.36591,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,31N 70E 70-180 km depth M4.5,31N_70E_L3_M4p5,-5.23,-6.3,
70,32,0.0161,4.5,45,0.00035778,178.02,935,,180,70,70,subduction intraslab,1.3686,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,32N 70E 70-180 km depth M4.5,32N_70E_L3_M4p5,-4,-5.07,-6.28
70,33,0.004,4.5,45,8.8889e-05,100.55,935,,180,70,70,subduction intraslab,0.76385,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,33N 70E 70-180 km depth M4.5,33N_70E_L3_M4p5,-4.67,-5.74,
70,34,0.016,4.5,45,0.00035556,22.913,935,,180,70,70,subduction intraslab,1.3659,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,34N 70E 70-180 km depth M4.5,34N_70E_L3_M4p5,-4,-5.07,-6.28
70,35,0.2483,4.5,45,0.0055178,0,153,153,180,70,70,subduction intraslab,2.6918,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,35N 70E 70-180 km depth M4.5,35N_70E_L3_M4p5,-2.81,-3.91,-5.01
70,36,2.3626,4.5,45,0.052502,0,153,153,180,70,70,subduction intraslab,3.6702,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,36N 70E 70-180 km depth M4.5,36N_70E_L3_M4p5,-1.83,-2.93,-4.03
70,37,0.7535,4.5,45,0.016744,0,153,153,180,70,70,subduction intraslab,3.1739,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,37N 70E 70-180 km depth M4.5,37N_70E_L3_M4p5,-2.33,-3.43,-4.53
70,38,0.107,4.5,45,0.0023778,68.107,153,,180,70,70,subduction intraslab,2.3262,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,38N 70E 70-180 km depth M4.5,38N_70E_L3_M4p5,-3.18,-4.28,-5.38
70,39,0.0166,4.5,45,0.00036889,147.29,153,,180,70,70,subduction intraslab,1.5169,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,39N 70E 70-180 km depth M4.5,39N_70E_L3_M4p5,-4,-5.1,-6.2
71,29,0.0045,4.5,45,0.0001,365.63,936,,180,70,70,subduction intraslab Himalayas,1.58,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,29N 71E 70-180 km depth M4.5,29N_71E_L3_M4p5,-4.63,-5.89,
71,30,0.0081,4.5,45,0.00018,269.93,936,,180,70,70,subduction intraslab Himalayas,1.8353,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,30N 71E 70-180 km depth M4.5,30N_71E_L3_M4p5,-4.37,-5.62,-7.24
71,31,0.0007,4.5,45,1.5556e-05,189.46,935,,180,70,70,subduction intraslab,0.0068855,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,31N 71E 70-180 km depth M4.5,31N_71E_L3_M4p5,-7.15,-8.22,
71,32,0.0071,4.5,45,0.00015778,111.51,935,,180,70,70,subduction intraslab,1.013,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,32N 71E 70-180 km depth M4.5,32N_71E_L3_M4p5,-4.38,-5.45,-6.99
71,33,0.0018,4.5,45,4e-05,33.879,935,,180,70,70,subduction intraslab,0.41706,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,33N 71E 70-180 km depth M4.5,33N_71E_L3_M4p5,-5.14,-6.21,
71,34,0.0064,4.5,45,0.00014222,0,935,935,180,70,70,subduction intraslab,0.96797,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,34N 71E 70-180 km depth M4.5,34N_71E_L3_M4p5,-4.43,-5.5,-7.17
71,35,0.2508,4.5,45,0.0055733,0,935,935,180,70,70,subduction intraslab,2.5611,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,35N 71E 70-180 km depth M4.5,35N_71E_L3_M4p5,-2.79,-3.86,-4.94
71,36,4.5698,4.5,45,0.10155,0,153,153,180,70,70,subduction intraslab,3.9567,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,36N 71E 70-180 km depth M4.5,36N_71E_L3_M4p5,-1.54,-2.64,-3.74
71,37,3.9116,4.5,45,0.086924,0,153,153,180,70,70,subduction intraslab,3.8891,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,37N 71E 70-180 km depth M4.5,37N_71E_L3_M4p5,-1.61,-2.71,-3.81
71,38,0.3592,4.5,45,0.0079822,6.9846,153,,180,70,70,subduction intraslab,2.8521,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,38N 71E 70-180 km depth M4.5,38N_71E_L3_M4p5,-2.65,-3.75,-4.85
71,39,0.0163,4.5,45,0.00036222,89.613,154,,180,70,70,subduction intraslab Himalayas,2.319,1.28,0.09,7.3,0.3,-169,80,100,2,StrasserIntraslab,39N 71E 70-180 km depth M4.5,39N_71E_L3_M4p5,-4.08,-5.36,-6.66
72,29,0.0001,4.5,45,2.2222e-06,320.38,936,,180,70,70,subduction intraslab Himalayas,-0.073213,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,29N 72E 70-180 km depth M4.5,29N_72E_L3_M4p5,,,
72,30,0.0002,4.5,45,4.4444e-06,223.47,936,,180,70,70,subduction intraslab Himalayas,0.22782,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,30N 72E 70-180 km depth M4.5,30N_72E_L3_M4p5,-6.36,,
72,31,0.0014,4.5,45,3.1111e-05,126.32,936,,180,70,70,subduction intraslab Himalayas,1.0729,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,31N 72E 70-180 km depth M4.5,31N_72E_L3_M4p5,-5.17,-6.46,
72,32,0.0144,4.5,45,0.00032,44.518,935,,180,70,70,subduction intraslab,1.3201,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,32N 72E 70-180 km depth M4.5,32N_72E_L3_M4p5,-4.05,-5.12,-6.35
72,33,0.0004,4.5,45,8.8889e-06,0,935,935,180,70,70,subduction intraslab,-0.23615,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,33N 72E 70-180 km depth M4.5,33N_72E_L3_M4p5,,,
72,34,0.0032,4.5,45,7.1111e-05,0,935,935,180,70,70,subduction intraslab,0.66694,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,34N 72E 70-180 km depth M4.5,34N_72E_L3_M4p5,-4.79,-5.86,
72,35,0.0727,4.5,45,0.0016156,0,935,935,180,70,70,subduction intraslab,2.0233,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,35N 72E 70-180 km depth M4.5,35N_72E_L3_M4p5,-3.33,-4.4,-5.5
72,36,1.6632,4.5,45,0.03696,0,935,935,180,70,70,subduction intraslab,3.3827,1.07,0.09,7.2,0.3,111,57,317,2,StrasserIntraslab,36N 72E 70-180 km depth M4.5,36N_72E_L3_M4p5,-1.97,-3.04,-4.11
72,37,3.7789,4.5,45,0.083976,0,153,153,180,70,70,subduction intraslab,3.8742,1.1,0.03,7.9,0.3,94,44,247,2,StrasserIntraslab,37N 72E 70-180 km depth M4.5,37N_72E_L3_M4p5,-1.63,-2.73,-3.83
72,38,1.258,4.5,45,0.027956,0,154,154,180,70,70,subduction intraslab Himalayas,4.2065,1.28,0.09,7.3,0.3,-169,80,100,2,StrasserIntraslab,38N 72E 70-180 km depth M4.5,38N_72E_L3_M4p5,-2.19,-3.47,-4.75
72,39,0.0589,4.5,45,0.0013089,40.87,154,,180,70,70,subduction intraslab Himalayas,2.8769,1.28,0.09,7.3,0.3,-169,80,100,2,StrasserIntraslab,39N 72E 70-180 km depth M4.5,39N_72E_L3_M4p5,-3.52,-4.8,-6.09
73,31,0.0001,4.5,45,2.2222e-06,81.046,936,,180,70,70,subduction intraslab Himalayas,-0.073213,1.24,0.11,6.7,0.2,-164,47,140,2,StrasserIntraslab,31N 73E 70-180 km depth M4.5,31N_73E_L3_M4p5,,,
