longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
60,24,0.0001,4.5,45,2.2222e-06,4.4683,14,,25,0,subduction interface,-2.4132,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,24N 60E 0-25 km depth M4.5,24N_60E_L1_M4p5,,,
60,25,0.0033,4.5,45,7.3333e-05,3.0306,14,,25,0,subduction interface,-0.8947,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,25N 60E 0-25 km depth M4.5,25N_60E_L1_M4p5,,,
60,26,0.0273,4.5,45,0.00060667,1.5958,14,,25,0,subduction interface,0.02295,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,26N 60E 0-25 km depth M4.5,26N_60E_L1_M4p5,-4.87,-5.59,-6.31
60,27,0.018,4.5,45,0.0004,0.16339,14,,25,0,subduction interface,-0.15794,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,27N 60E 0-25 km depth M4.5,27N_60E_L1_M4p5,,,
61,21,0.0081,4.5,45,0.00018,22.356,903,,25,0,active shallow crust normal,1.2953,1.12,0.12,7,0.4,-45,64,104,2,WC1994,21N 61E 0-25 km depth M4.5,21N_61E_L1_M4p5,-4.33,-5.45,-7.02
61,22,0.0018,4.5,45,4e-05,0,903,903,25,0,active shallow crust normal,0.64206,1.12,0.12,7,0.4,-45,64,104,2,WC1994,22N 61E 0-25 km depth M4.5,22N_61E_L1_M4p5,-5.07,-6.19,
61,24,0.0011,4.5,45,2.4444e-05,0,14,14,25,0,subduction interface,-1.3718,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,24N 61E 0-25 km depth M4.5,24N_61E_L1_M4p5,,,
61,25,0.0307,4.5,45,0.00068222,0,14,14,25,0,subduction interface,0.073926,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,25N 61E 0-25 km depth M4.5,25N_61E_L1_M4p5,-4.33,-5.05,-5.77
61,26,0.1331,4.5,45,0.0029578,0,14,14,25,0,subduction interface,0.71097,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,26N 61E 0-25 km depth M4.5,26N_61E_L1_M4p5,-2.98,-3.7,-4.42
61,27,0.0762,4.5,45,0.0016933,0,14,14,25,0,subduction interface,0.46874,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,27N 61E 0-25 km depth M4.5,27N_61E_L1_M4p5,-3.31,-4.03,-4.75
62,20,0.0056,4.5,45,0.00012444,12.553,903,,25,0,active shallow crust normal,1.135,1.12,0.12,7,0.4,-45,64,104,2,WC1994,20N 62E 0-25 km depth M4.5,20N_62E_L1_M4p5,-4.5,-5.62,-8.17
62,21,0.055,4.5,45,0.0012222,0,903,903,25,0,active shallow crust normal,2.1272,1.12,0.12,7,0.4,-45,64,104,2,WC1994,21N 62E 0-25 km depth M4.5,21N_62E_L1_M4p5,-3.48,-4.6,-5.76
62,22,0.0232,4.5,45,0.00051556,0,903,903,25,0,active shallow crust normal,1.7523,1.12,0.12,7,0.4,-45,64,104,2,WC1994,22N 62E 0-25 km depth M4.5,22N_62E_L1_M4p5,-3.86,-4.98,-6.2
62,23,0.0005,4.5,45,1.1111e-05,0,903,903,25,0,active shallow crust normal,0.085757,1.12,0.12,7,0.4,-45,64,104,2,WC1994,23N 62E 0-25 km depth M4.5,23N_62E_L1_M4p5,-6.26,-7.38,
62,24,0.0025,4.5,45,5.5556e-05,0,14,14,25,0,subduction interface,-1.0153,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,24N 62E 0-25 km depth M4.5,24N_62E_L1_M4p5,,,
62,25,0.0438,4.5,45,0.00097333,0,14,14,25,0,subduction interface,0.22826,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,25N 62E 0-25 km depth M4.5,25N_62E_L1_M4p5,-3.76,-4.48,-5.2
62,26,0.0258,4.5,45,0.00057333,0,14,14,25,0,subduction interface,-0.0015928,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,26N 62E 0-25 km depth M4.5,26N_62E_L1_M4p5,,,
62,27,0.0365,4.5,45,0.00081111,0,14,14,25,0,subduction interface,0.14908,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,27N 62E 0-25 km depth M4.5,27N_62E_L1_M4p5,-3.99,-4.71,-5.43
62,28,0.008,4.5,45,0.00017778,72.688,14,,25,0,subduction interface,-0.51012,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,28N 62E 0-25 km depth M4.5,28N_62E_L1_M4p5,,,
63,20,0.0002,4.5,45,4.4444e-06,55.418,903,,25,0,active shallow crust normal,-0.31218,1.12,0.12,7,0.4,-45,64,104,2,WC1994,20N 63E 0-25 km depth M4.5,20N_63E_L1_M4p5,,,
63,21,0.0034,4.5,45,7.5556e-05,0,903,903,25,0,active shallow crust normal,0.91827,1.12,0.12,7,0.4,-45,64,104,2,WC1994,21N 63E 0-25 km depth M4.5,21N_63E_L1_M4p5,-4.74,-5.86,
63,22,0.0246,4.5,45,0.00054667,0,903,903,25,0,active shallow crust normal,1.7777,1.12,0.12,7,0.4,-45,64,104,2,WC1994,22N 63E 0-25 km depth M4.5,22N_63E_L1_M4p5,-3.83,-4.95,-6.17
63,23,0.0123,4.5,45,0.00027333,0,903,903,25,0,active shallow crust normal,1.4767,1.12,0.12,7,0.4,-45,64,104,2,WC1994,23N 63E 0-25 km depth M4.5,23N_63E_L1_M4p5,-4.14,-5.26,-6.62
63,24,0.0102,4.5,45,0.00022667,0,14,14,25,0,subduction interface,-0.40461,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,24N 63E 0-25 km depth M4.5,24N_63E_L1_M4p5,,,
63,25,0.1258,4.5,45,0.0027956,0,14,14,25,0,subduction interface,0.68647,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,25N 63E 0-25 km depth M4.5,25N_63E_L1_M4p5,-3.01,-3.73,-4.45
63,26,0.0264,4.5,45,0.00058667,0,14,14,25,0,subduction interface,0.0083914,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,26N 63E 0-25 km depth M4.5,26N_63E_L1_M4p5,-5.31,-6.03,-6.75
63,27,0.0172,4.5,45,0.00038222,0,14,14,25,0,subduction interface,-0.17768,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,27N 63E 0-25 km depth M4.5,27N_63E_L1_M4p5,,,
63,28,0.0065,4.5,45,0.00014444,61.236,14,,25,0,subduction interface,-0.6003,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,28N 63E 0-25 km depth M4.5,28N_63E_L1_M4p5,,,
63,29,0.0051,4.5,45,0.00011333,171.01,15,,25,0,active shallow crust strike-slip reverse,0.46436,0.98,0.1,8.3,0.4,24,71,204,2,WC1994,29N 63E 0-25 km depth M4.5,29N_63E_L1_M4p5,-4.62,-5.6,-6.58
63,30,0.0001,4.5,45,2.2222e-06,187.34,15,,25,0,active shallow crust strike-slip reverse,-1.2432,0.98,0.1,8.3,0.4,24,71,204,2,WC1994,30N 63E 0-25 km depth M4.5,30N_63E_L1_M4p5,,,
63,31,0.0022,4.5,45,4.8889e-05,203.62,15,,25,0,active shallow crust strike-slip reverse,0.09921,0.98,0.1,8.3,0.4,24,71,204,2,WC1994,31N 63E 0-25 km depth M4.5,31N_63E_L1_M4p5,-5.49,-6.47,-7.45
64,22,0.003,4.5,45,6.6667e-05,0,903,903,25,0,active shallow crust normal,0.86391,1.12,0.12,7,0.4,-45,64,104,2,WC1994,22N 64E 0-25 km depth M4.5,22N_64E_L1_M4p5,-4.8,-5.92,
64,23,0.0551,4.5,45,0.0012244,0,903,903,25,0,active shallow crust normal,2.1279,1.12,0.12,7,0.4,-45,64,104,2,WC1994,23N 64E 0-25 km depth M4.5,23N_64E_L1_M4p5,-3.48,-4.6,-5.76
64,24,0.0539,4.5,45,0.0011978,0,903,903,25,0,active shallow crust normal,2.1184,1.12,0.12,7,0.4,-45,64,104,2,WC1994,24N 64E 0-25 km depth M4.5,24N_64E_L1_M4p5,-3.48,-4.6,-5.77
64,25,0.0354,4.5,45,0.00078667,0,14,14,25,0,subduction interface,0.13579,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,25N 64E 0-25 km depth M4.5,25N_64E_L1_M4p5,-4.04,-4.76,-5.48
64,26,0.0081,4.5,45,0.00018,0,14,14,25,0,subduction interface,-0.50473,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,26N 64E 0-25 km depth M4.5,26N_64E_L1_M4p5,,,
64,27,0.0064,4.5,45,0.00014222,0,14,14,25,0,subduction interface,-0.60703,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,27N 64E 0-25 km depth M4.5,27N_64E_L1_M4p5,,,
64,28,0.0189,4.5,45,0.00042,50.566,14,,25,0,subduction interface,-0.13675,0.72,0.09,8.6,0.4,126,10.2,298.4,2,StrasserInterface,28N 64E 0-25 km depth M4.5,28N_64E_L1_M4p5,,,
64,29,0.0704,4.5,45,0.0015644,74.994,15,,25,0,active shallow crust strike-slip reverse,1.6044,0.98,0.1,8.3,0.4,24,71,204,2,WC1994,29N 64E 0-25 km depth M4.5,29N_64E_L1_M4p5,-3.31,-4.29,-5.27
