longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,nearest,name,id
60.0,23.6,5.5,107,3.73878341692e-06,0.00040004982561,95,subduction interface,-0.257269692257,0.94,7.6,14.2510236296,23.6N 60E 25-70 km depth,23p6N60Ez95
60.0,23.8,5.5,107,3.73878341692e-06,0.00040004982561,95,subduction interface,-0.257269692257,0.94,7.6,14.2342424625,23.8N 60E 25-70 km depth,23p8N60Ez95
60.0,24.0,5.5,107,1.12163502508e-05,0.00120014947683,95,subduction interface,0.219851562462,0.94,7.6,14.2134534457,24N 60E 25-70 km depth,24N60Ez95
60.0,24.2,5.5,107,1.86939170846e-05,0.00200024912805,95,subduction interface,0.441700312079,0.94,7.6,14.1886568324,24.2N 60E 25-70 km depth,24p2N60Ez95
60.0,24.4,5.5,107,3.36490507523e-05,0.00360044843049,95,subduction interface,0.696972817182,0.94,7.6,14.1598529249,24.4N 60E 25-70 km depth,24p4N60Ez95
60.0,24.6,5.5,107,4.4865401003e-05,0.00480059790732,95,subduction interface,0.82191155379,0.94,7.6,14.1425756999,24.6N 60E 25-70 km depth,24p6N60Ez95
60.0,24.8,5.5,107,5.98205346707e-05,0.00640079720977,95,subduction interface,0.946850290399,0.94,7.6,14.1234913484,24.8N 60E 25-70 km depth,24p8N60Ez95
60.0,25.0,5.5,107,6.35593180876e-05,0.00680084703538,95,subduction interface,0.973179229121,0.94,7.6,14.100401845,25N 60E 25-70 km depth,25N60Ez95
60.0,25.2,5.5,107,6.35593180876e-05,0.00680084703538,95,subduction interface,0.973179229121,0.94,7.6,14.0733074709,25.2N 60E 25-70 km depth,25p2N60Ez95
60.0,25.4,5.5,107,5.98205346707e-05,0.00640079720977,95,subduction interface,0.946850290399,0.94,7.6,14.0466495213,25.4N 60E 25-70 km depth,25p4N60Ez95
60.0,25.6,5.5,107,5.23429678369e-05,0.00560069755855,95,subduction interface,0.888858343421,0.94,7.6,14.0292741248,25.6N 60E 25-70 km depth,25p6N60Ez95
60.0,25.8,5.5,107,4.4865401003e-05,0.00480059790732,95,subduction interface,0.82191155379,0.94,7.6,14.0078950757,25.8N 60E 25-70 km depth,25p8N60Ez95
60.0,26.0,5.5,107,3.73878341692e-05,0.0040004982561,95,subduction interface,0.742730307743,0.94,7.6,13.9825126343,26N 60E 25-70 km depth,26N60Ez95
60.0,26.2,5.5,107,3.73878341692e-05,0.0040004982561,95,subduction interface,0.742730307743,0.94,7.6,13.9531271099,26.2N 60E 25-70 km depth,26p2N60Ez95
60.0,26.4,5.5,107,4.860418442e-05,0.00520064773293,95,subduction interface,0.85667366005,0.94,7.6,13.9308189922,26.4N 60E 25-70 km depth,26p4N60Ez95
60.0,26.6,5.5,107,6.72981015045e-05,0.00720089686099,95,subduction interface,0.998002812846,0.94,7.6,13.9111557342,26.6N 60E 25-70 km depth,26p6N60Ez95
60.0,26.8,5.5,107,9.72083688399e-05,0.0104012954659,95,subduction interface,1.15770365571,0.94,7.6,13.8874896173,26.8N 60E 25-70 km depth,26p8N60Ez95
60.0,27.0,5.5,107,0.000134596203009,0.014401793722,95,subduction interface,1.29903280851,0.94,7.6,13.8598209299,27N 60E 25-70 km depth,27N60Ez95
60.0,27.2,5.5,107,0.000168245253761,0.0180022421525,95,subduction interface,1.39594282152,0.94,7.6,13.828150009,27.2N 60E 25-70 km depth,27p2N60Ez95
60.2,23.6,5.5,107,3.73878341692e-06,0.00040004982561,95,subduction interface,-0.257269692257,0.94,7.6,0.0,23.6N 60.2E 25-70 km depth,23p6N60p2Ez95
60.2,23.8,5.5,107,7.47756683384e-06,0.000800099651221,95,subduction interface,0.0437603034068,0.94,7.6,0.0,23.8N 60.2E 25-70 km depth,23p8N60p2Ez95
60.2,24.0,5.5,107,1.49551336677e-05,0.00160019930244,95,subduction interface,0.344790299071,0.94,7.6,0.0,24N 60.2E 25-70 km depth,24N60p2Ez95
60.2,24.2,5.5,107,2.99102673354e-05,0.00320039860488,95,subduction interface,0.645820294735,0.94,7.6,0.0,24.2N 60.2E 25-70 km depth,24p2N60p2Ez95
60.2,24.4,5.5,107,4.4865401003e-05,0.00480059790732,95,subduction interface,0.82191155379,0.94,7.6,0.0,24.4N 60.2E 25-70 km depth,24p4N60p2Ez95
60.2,24.6,5.5,107,6.72981015045e-05,0.00720089686099,95,subduction interface,0.998002812846,0.94,7.6,0.0,24.6N 60.2E 25-70 km depth,24p6N60p2Ez95
60.2,24.8,5.5,107,8.22532351722e-05,0.00880109616343,95,subduction interface,1.08515298857,0.94,7.6,0.0,24.8N 60.2E 25-70 km depth,24p8N60p2Ez95
60.2,25.0,5.5,107,9.3469585423e-05,0.0100012456403,95,subduction interface,1.14067031641,0.94,7.6,0.0,25N 60.2E 25-70 km depth,25N60p2Ez95
60.2,25.2,5.5,107,9.3469585423e-05,0.0100012456403,95,subduction interface,1.14067031641,0.94,7.6,0.0,25.2N 60.2E 25-70 km depth,25p2N60p2Ez95
60.2,25.4,5.5,107,8.59920185891e-05,0.00920114598904,95,subduction interface,1.10445814376,0.94,7.6,0.0,25.4N 60.2E 25-70 km depth,25p4N60p2Ez95
60.2,25.6,5.5,107,7.85144517553e-05,0.00840104633782,95,subduction interface,1.06494960248,0.94,7.6,0.0,25.6N 60.2E 25-70 km depth,25p6N60p2Ez95
60.2,25.8,5.5,107,6.72981015045e-05,0.00720089686099,95,subduction interface,0.998002812846,0.94,7.6,0.0,25.8N 60.2E 25-70 km depth,25p8N60p2Ez95
60.2,26.0,5.5,107,5.98205346707e-05,0.00640079720977,95,subduction interface,0.946850290399,0.94,7.6,0.0,26N 60.2E 25-70 km depth,26N60p2Ez95
60.2,26.2,5.5,107,5.98205346707e-05,0.00640079720977,95,subduction interface,0.946850290399,0.94,7.6,0.0,26.2N 60.2E 25-70 km depth,26p2N60p2Ez95
60.2,26.4,5.5,107,6.72981015045e-05,0.00720089686099,95,subduction interface,0.998002812846,0.94,7.6,0.0,26.4N 60.2E 25-70 km depth,26p4N60p2Ez95
60.2,26.6,5.5,107,9.3469585423e-05,0.0100012456403,95,subduction interface,1.14067031641,0.94,7.6,0.0,26.6N 60.2E 25-70 km depth,26p6N60p2Ez95
60.2,26.8,5.5,107,0.000130857419592,0.0140017438964,95,subduction interface,1.28679835209,0.94,7.6,0.0,26.8N 60.2E 25-70 km depth,26p8N60p2Ez95
60.2,27.0,5.5,107,0.000175722820595,0.0188023418037,95,subduction interface,1.41482816568,0.94,7.6,0.0,27N 60.2E 25-70 km depth,27N60p2Ez95
60.2,27.2,5.5,107,0.000216849438181,0.0232028898854,95,subduction interface,1.50615830131,0.94,7.6,0.0,27.2N 60.2E 25-70 km depth,27p2N60p2Ez95
60.4,22.0,5.5,107,3.73878341692e-06,0.00040004982561,9031,no seismicity,0.732730307743,1.12,7.0,39.9047888633,22N 60.4E 25-70 km depth,22N60p4Ez9031
