zoneid,layerid,a,b,stdb,mmax,stdmmax,faulting style,tectonic subregion,region
119,2,3.81,0.91,0.1,8.3,0.2,reverse,intraplate margin lower,Shillong plateau
912,1,4.84,1.12,0.13,7.9,0.3,reverse,intraplate margin upper,Shillong plateau
