longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,name,id
60.0,23.6,5.5,107,1e-06,0.000107,95,subduction interface,-0.83,0.94,7.6,23.6N 60E 25-70 km depth,23p6N60Ez95
60.0,23.8,5.5,107,2e-06,0.000214,95,subduction interface,-0.528970004336,0.94,7.6,23.8N 60E 25-70 km depth,23p8N60Ez95
60.0,24.0,5.5,107,4e-06,0.000428,95,subduction interface,-0.227940008672,0.94,7.6,24N 60E 25-70 km depth,24N60Ez95
60.0,24.2,5.5,107,8e-06,0.000856,95,subduction interface,0.0730899869919,0.94,7.6,24.2N 60E 25-70 km depth,24p2N60Ez95
60.0,24.4,5.5,107,1.3e-05,0.001391,95,subduction interface,0.283943352307,0.94,7.6,24.4N 60E 25-70 km depth,24p4N60Ez95
60.0,24.6,5.5,107,1.9e-05,0.002033,95,subduction interface,0.448753600953,0.94,7.6,24.6N 60E 25-70 km depth,24p6N60Ez95
60.0,24.8,5.5,107,2.4e-05,0.002568,95,subduction interface,0.550211241712,0.94,7.6,24.8N 60E 25-70 km depth,24p8N60Ez95
60.0,25.0,5.5,107,2.8e-05,0.002996,95,subduction interface,0.617158031342,0.94,7.6,25N 60E 25-70 km depth,25N60Ez95
60.0,25.2,5.5,107,3.1e-05,0.003317,95,subduction interface,0.661361693834,0.94,7.6,25.2N 60E 25-70 km depth,25p2N60Ez95
60.0,25.4,5.5,107,3.5e-05,0.003745,95,subduction interface,0.71406804435,0.94,7.6,25.4N 60E 25-70 km depth,25p4N60Ez95
60.0,25.6,5.5,107,4.3e-05,0.004601,95,subduction interface,0.80346845558,0.94,7.6,25.6N 60E 25-70 km depth,25p6N60Ez95
60.0,25.8,5.5,107,5.6e-05,0.005992,95,subduction interface,0.918188027006,0.94,7.6,25.8N 60E 25-70 km depth,25p8N60Ez95
60.0,26.0,5.5,107,7.7e-05,0.008239,95,subduction interface,1.05649072517,0.94,7.6,26N 60E 25-70 km depth,26N60Ez95
60.0,26.2,5.5,107,0.000106,0.011342,95,subduction interface,1.19530586526,0.94,7.6,26.2N 60E 25-70 km depth,26p2N60Ez95
60.0,26.4,5.5,107,0.00014,0.01498,95,subduction interface,1.31612803568,0.94,7.6,26.4N 60E 25-70 km depth,26p4N60Ez95
60.0,26.6,5.5,107,0.000176,0.018832,95,subduction interface,1.41551266781,0.94,7.6,26.6N 60E 25-70 km depth,26p6N60Ez95
60.0,26.8,5.5,107,0.000207,0.022149,95,subduction interface,1.48597034546,0.94,7.6,26.8N 60E 25-70 km depth,26p8N60Ez95
60.0,27.0,5.5,107,0.000227,0.024289,95,subduction interface,1.52602585719,0.94,7.6,27N 60E 25-70 km depth,27N60Ez95
60.0,27.2,5.5,107,0.000229,0.024503,95,subduction interface,1.52983548234,0.94,7.6,27.2N 60E 25-70 km depth,27p2N60Ez95
60.2,23.6,5.5,107,2e-06,0.000214,95,subduction interface,-0.528970004336,0.94,7.6,23.6N 60.2E 25-70 km depth,23p6N60p2Ez95
