longitude,latitude,mmin,duration,lambda,nu,distance,zoneid,in zoneid,tectonic subregion,a,b,mmax,name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
69.0,36.0,5.5,95,0.00010210526315789474,0.0097,0.0,153.0,153.0,subduction intraslab,2.059048128977398,1.1,7.9,36N 69E 70-180 km depth,36N69Ez153p0,-4.0,-4.54,-5.65
70.0,35.0,5.5,95,0.00017473684210526317,0.0166,0.0,153.0,153.0,subduction intraslab,2.292384482751208,1.1,7.9,35N 70E 70-180 km depth,35N70Ez153p0,-3.77,-4.31,-5.41
70.0,36.0,5.5,95,0.0007473684210526316,0.071,0.0,153.0,153.0,subduction intraslab,2.923534743430228,1.1,7.9,36N 70E 70-180 km depth,36N70Ez153p0,-3.13,-3.68,-4.78
70.0,37.0,5.5,95,0.0003452631578947369,0.0328,0.0,153.0,153.0,subduction intraslab,2.5881502384228323,1.1,7.9,37N 70E 70-180 km depth,37N70Ez153p0,-3.47,-4.01,-5.11
71.0,36.0,5.5,95,0.0013757894736842107,0.1307,0.0,153.0,153.0,subduction intraslab,3.1885519822916972,1.1,7.9,36N 71E 70-180 km depth,36N71Ez153p0,-2.86,-3.41,-4.51
71.0,37.0,5.5,95,0.0009736842105263157,0.0925,0.0,153.0,153.0,subduction intraslab,3.0384181274501856,1.1,7.9,37N 71E 70-180 km depth,37N71Ez153p0,-3.01,-3.56,-4.66
72.0,37.0,5.5,95,0.0006978947368421052,0.0663,0.0,153.0,153.0,subduction intraslab,2.893789923115926,1.1,7.9,37N 72E 70-180 km depth,37N72Ez153p0,-3.16,-3.71,-4.81
63.0,30.0,5.5,95,1.7894736842105264e-05,0.0017,799.188654479303,153.0,,subduction intraslab,1.3027253160894272,1.1,7.9,30N 63E 70-180 km depth,30N63Ez153p0,-4.83,-5.32,-6.43
63.0,31.0,5.5,95,2.105263157894737e-06,0.0002,718.5481470667308,153.0,,subduction intraslab,0.37330639037513436,1.1,7.9,31N 63E 70-180 km depth,31N63Ez153p0,,-6.47,-7.67
64.0,30.0,5.5,95,5.157894736842105e-05,0.0049,734.0684589966954,153.0,,subduction intraslab,1.762472474739667,1.1,7.9,30N 64E 70-180 km depth,30N64Ez153p0,-4.32,-4.85,-5.95
64.0,31.0,5.5,95,6.31578947368421e-06,0.0006,654.0709334916781,153.0,,subduction intraslab,0.850427645094797,1.1,7.9,31N 64E 70-180 km depth,31N64Ez153p0,-5.5,-5.82,-6.94
65.0,31.0,5.5,95,1.0526315789473685e-06,0.0001,588.8064780790761,153.0,,subduction intraslab,0.0722763947111531,1.1,7.9,31N 65E 70-180 km depth,31N65Ez153p0,,-7.34,
68.0,36.0,5.5,95,3.157894736842105e-06,0.0003,37.20100602250029,153.0,,subduction intraslab,0.5493976494308157,1.1,7.9,36N 68E 70-180 km depth,36N68Ez153p0,,-6.19,-7.35
68.0,37.0,5.5,95,1.0526315789473685e-06,0.0001,114.76926780776964,153.0,,subduction intraslab,0.0722763947111531,1.1,7.9,37N 68E 70-180 km depth,37N68Ez153p0,,-7.34,
69.0,34.0,5.5,95,1.0526315789473685e-06,0.0001,89.62268922112233,153.0,,subduction intraslab,0.0722763947111531,1.1,7.9,34N 69E 70-180 km depth,34N69Ez153p0,,-7.34,
69.0,35.0,5.5,95,2.4210526315789474e-05,0.0023,12.582825683280246,153.0,,subduction intraslab,1.4340042307287462,1.1,7.9,35N 69E 70-180 km depth,35N69Ez153p0,-4.68,-5.18,-6.29
69.0,37.0,5.5,95,3.789473684210526e-05,0.0036,51.50863501212037,153.0,,subduction intraslab,1.62857889547844,1.1,7.9,37N 69E 70-180 km depth,37N69Ez153p0,-4.46,-4.98,-6.08
69.0,38.0,5.5,95,1.0526315789473685e-06,0.0001,129.8830775253285,153.0,,subduction intraslab,0.0722763947111531,1.1,7.9,38N 69E 70-180 km depth,38N69Ez153p0,,-7.34,
70.0,38.0,5.5,95,2.105263157894737e-05,0.002,68.10710648692792,153.0,,subduction intraslab,1.3733063903751344,1.1,7.9,38N 70E 70-180 km depth,38N70Ez153p0,-4.75,-5.25,-6.35
71.0,38.0,5.5,95,0.0001536842105263158,0.0146,6.984614919277454,153.0,,subduction intraslab,2.2366292504955902,1.1,7.9,38N 71E 70-180 km depth,38N71Ez153p0,-3.82,-4.37,-5.47
71.0,34.0,5.5,95,1.4736842105263159e-05,0.0014,0.0,935.0,935.0,subduction intraslab,1.0534044303893912,1.07,7.2,34N 71E 70-180 km depth,34N71Ez935p0,-4.99,-5.41,-6.87
71.0,35.0,5.5,95,0.00023684210526315788,0.0225,0.0,935.0,935.0,subduction intraslab,2.2594589128225153,1.07,7.2,35N 71E 70-180 km depth,35N71Ez935p0,-3.63,-4.16,-5.25
72.0,34.0,5.5,95,2.6315789473684212e-05,0.0025,0.0,935.0,935.0,subduction intraslab,1.3052164033831906,1.07,7.2,34N 72E 70-180 km depth,34N72Ez935p0,-4.66,-5.14,-6.38
72.0,35.0,5.5,95,0.00014736842105263158,0.014,0.0,935.0,935.0,subduction intraslab,2.053404430389391,1.07,7.2,35N 72E 70-180 km depth,35N72Ez935p0,-3.84,-4.37,-5.47
72.0,36.0,5.5,95,0.0005873684210526316,0.0558,0.0,935.0,935.0,subduction intraslab,2.6539105936487317,1.07,7.2,36N 72E 70-180 km depth,36N72Ez935p0,-3.23,-3.77,-4.84
73.0,34.0,5.5,95,2.526315789473684e-05,0.0024,0.0,935.0,935.0,subduction intraslab,1.2874876364227585,1.07,7.2,34N 73E 70-180 km depth,34N73Ez935p0,-4.68,-5.16,-6.4
73.0,35.0,5.5,95,0.0001168421052631579,0.0111,0.0,935.0,935.0,subduction intraslab,1.9525993734978102,1.07,7.2,35N 73E 70-180 km depth,35N73Ez935p0,-3.95,-4.47,-5.57
73.0,36.0,5.5,95,7.68421052631579e-05,0.0073,0.0,935.0,935.0,subduction intraslab,1.770599254831609,1.07,7.2,36N 73E 70-180 km depth,36N73Ez935p0,-4.14,-4.66,-5.78
73.0,37.0,5.5,95,0.00016,0.0152,0.0,935.0,935.0,subduction intraslab,2.0891199826559257,1.07,7.2,37N 73E 70-180 km depth,37N73Ez935p0,-3.81,-4.33,-5.43
74.0,34.0,5.5,95,4.210526315789474e-06,0.0004,0.0,935.0,935.0,subduction intraslab,0.5093363860391156,1.07,7.2,34N 74E 70-180 km depth,34N74Ez935p0,,-6.07,
74.0,35.0,5.5,95,2.2105263157894736e-05,0.0021,0.0,935.0,935.0,subduction intraslab,1.2294956894450726,1.07,7.2,35N 74E 70-180 km depth,35N74Ez935p0,-4.75,-5.22,-6.5
74.0,36.0,5.5,95,3.6842105263157895e-05,0.0035,0.0,935.0,935.0,subduction intraslab,1.4513444390614287,1.07,7.2,36N 74E 70-180 km depth,36N74Ez935p0,-4.49,-4.98,-6.17
