longitude,latitude,mmin,duration,lambda,nu,distance,zoneid,in zoneid,tectonic subregion,a,b,mmax,name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
61.0,24.0,4.5,45,8.222222222222223e-05,0.0037,0.0,95.0,95.0,subduction interface,0.14498921029165057,0.94,7.6,24N 61E 25-70 km depth,24N61Ez95p0,-5.1,-6.04,
61.0,25.0,4.5,45,0.0012644444444444443,0.0569,0.0,95.0,95.0,subduction interface,1.331899752619727,0.94,7.6,25N 61E 25-70 km depth,25N61Ez95p0,-3.39,-4.33,-5.3
61.0,26.0,4.5,45,0.0037444444444444448,0.1685,0.0,95.0,95.0,subduction interface,1.8033873914320133,0.94,7.6,26N 61E 25-70 km depth,26N61Ez95p0,-2.9,-3.84,-4.79
61.0,27.0,4.5,45,0.0041444444444444445,0.1865,0.0,95.0,95.0,subduction interface,1.8474663223693621,0.94,7.6,27N 61E 25-70 km depth,27N61Ez95p0,-2.86,-3.8,-4.75
62.0,24.0,4.5,45,0.00031999999999999997,0.0144,0.0,95.0,95.0,subduction interface,0.7351499783199054,0.94,7.6,24N 62E 25-70 km depth,24N62Ez95p0,-4.05,-4.99,-6.09
62.0,25.0,4.5,45,0.002668888888888889,0.1201,0.0,95.0,95.0,subduction interface,1.656330493627562,0.94,7.6,25N 62E 25-70 km depth,25N62Ez95p0,-3.05,-3.99,-4.95
62.0,26.0,4.5,45,0.0024,0.108,0.0,95.0,95.0,subduction interface,1.6102112417116055,0.94,7.6,26N 62E 25-70 km depth,26N62Ez95p0,-3.1,-4.04,-5.0
62.0,27.0,4.5,45,0.001768888888888889,0.0796,0.0,95.0,95.0,subduction interface,1.477700553962325,0.94,7.6,27N 62E 25-70 km depth,27N62Ez95p0,-3.24,-4.18,-5.14
63.0,25.0,4.5,45,0.005233333333333333,0.2355,0.0,95.0,95.0,subduction interface,1.948778397689571,0.94,7.6,25N 63E 25-70 km depth,25N63Ez95p0,-2.76,-3.7,-4.64
63.0,26.0,4.5,45,0.001548888888888889,0.0697,0.0,95.0,95.0,subduction interface,1.4200202643226651,0.94,7.6,26N 63E 25-70 km depth,26N63Ez95p0,-3.3,-4.24,-5.2
63.0,27.0,4.5,45,0.0004622222222222222,0.0208,0.0,95.0,95.0,subduction interface,0.8948508211874175,0.94,7.6,27N 63E 25-70 km depth,27N63Ez95p0,-3.86,-4.8,-5.84
64.0,25.0,4.5,45,0.00112,0.0504,0.0,95.0,95.0,subduction interface,1.279218022670181,0.94,7.6,25N 64E 25-70 km depth,25N64Ez95p0,-3.44,-4.38,-5.36
64.0,26.0,4.5,45,0.0008488888888888888,0.0382,0.0,95.0,95.0,subduction interface,1.1588508491363645,0.94,7.6,26N 64E 25-70 km depth,26N64Ez95p0,-3.57,-4.51,-5.5
64.0,27.0,4.5,45,0.0005533333333333333,0.0249,0.0,95.0,95.0,subduction interface,0.9729868333203919,0.94,7.6,27N 64E 25-70 km depth,27N64Ez95p0,-3.78,-4.72,-5.73
65.0,25.0,4.5,45,0.0006711111111111111,0.0302,0.0,95.0,95.0,subduction interface,1.0567944291818065,0.94,7.6,25N 65E 25-70 km depth,25N65Ez95p0,-3.68,-4.62,-5.62
65.0,26.0,4.5,45,0.0008844444444444445,0.0398,0.0,95.0,95.0,subduction interface,1.1766705582983437,0.94,7.6,26N 65E 25-70 km depth,26N65Ez95p0,-3.55,-4.49,-5.48
66.0,25.0,4.5,45,0.0014666666666666667,0.066,0.0,95.0,95.0,subduction interface,1.3963314217665244,0.94,7.6,25N 66E 25-70 km depth,25N66Ez95p0,-3.32,-4.26,-5.23
60.0,24.0,4.5,45,4.444444444444445e-06,0.0002,14.213453445708375,95.0,,subduction interface,-1.1221825181113632,0.94,7.6,24N 60E 25-70 km depth,24N60Ez95p0,,,
60.0,25.0,4.5,45,0.00015555555555555556,0.007,14.100401844978945,95.0,,subduction interface,0.4218855262389125,0.94,7.6,25N 60E 25-70 km depth,25N60Ez95p0,-4.48,-5.42,-7.16
60.0,26.0,4.5,45,0.00048666666666666666,0.0219,13.982512634255439,95.0,,subduction interface,0.9172316010647741,0.94,7.6,26N 60E 25-70 km depth,26N60Ez95p0,-3.84,-4.78,-5.81
60.0,27.0,4.5,45,0.0014622222222222222,0.0658,13.859820929862323,95.0,,subduction interface,1.3950133798386113,0.94,7.6,27N 60E 25-70 km depth,27N60Ez95p0,-3.32,-4.26,-5.23
61.0,21.0,4.5,45,0.00019999999999999998,0.009,290.8785946707324,95.0,,subduction interface,0.5310299956639808,0.94,7.6,21N 61E 25-70 km depth,21N61Ez95p0,-4.32,-5.26,-6.57
61.0,22.0,4.5,45,3.3333333333333335e-05,0.0015,183.248732502097,95.0,9031.0,subduction interface,-0.24712125471966306,0.94,7.6,22N 61E 25-70 km depth,22N61Ez95p0,,,
61.0,23.0,4.5,45,0.00013777777777777776,0.0062,75.5156336955617,95.0,9031.0,subduction interface,0.3691791757229095,0.94,7.6,23N 61E 25-70 km depth,23N61Ez95p0,-4.57,-5.51,
62.0,20.0,4.5,45,0.00012444444444444444,0.0056,423.43387446111416,95.0,,subduction interface,0.32497551323085627,0.94,7.6,20N 62E 25-70 km depth,20N62Ez95p0,-4.65,-5.59,
62.0,21.0,4.5,45,0.0006511111111111111,0.0293,315.78176664658906,95.0,9031.0,subduction interface,1.0436551065787651,0.94,7.6,21N 62E 25-70 km depth,21N62Ez95p0,-3.7,-4.64,-5.64
62.0,22.0,4.5,45,0.0007755555555555556,0.0349,207.99202639773063,95.0,9031.0,subduction interface,1.1196129131838357,0.94,7.6,22N 62E 25-70 km depth,22N62Ez95p0,-3.61,-4.55,-5.55
62.0,23.0,4.5,45,0.0002466666666666667,0.0111,100.0915447527934,95.0,9031.0,subduction interface,0.6221104650113132,0.94,7.6,23N 62E 25-70 km depth,23N62Ez95p0,-4.2,-5.14,-6.32
62.0,28.0,4.5,45,0.0019555555555555554,0.088,58.284393298035695,95.0,,subduction interface,1.5212701583748243,0.94,7.6,28N 62E 25-70 km depth,28N62Ez95p0,-3.19,-4.13,-5.09
63.0,20.0,4.5,45,2.2222222222222225e-06,0.0001,447.77197215590303,95.0,,subduction interface,-1.4232125137753444,0.94,7.6,20N 63E 25-70 km depth,20N63Ez95p0,,,
63.0,21.0,4.5,45,3.111111111111111e-05,0.0014,339.96962085815204,95.0,9031.0,subduction interface,-0.27708447809710623,0.94,7.6,21N 63E 25-70 km depth,21N63Ez95p0,,,
63.0,22.0,4.5,45,0.00017999999999999998,0.0081,232.02460852813473,95.0,9031.0,subduction interface,0.48527250510330555,0.94,7.6,22N 63E 25-70 km depth,22N63Ez95p0,-4.39,-5.33,-6.75
63.0,23.0,4.5,45,2.2222222222222223e-05,0.001,123.96155310979569,95.0,9031.0,subduction interface,-0.4232125137753444,0.94,7.6,23N 63E 25-70 km depth,23N63Ez95p0,,,
63.0,24.0,4.5,45,0.0010066666666666666,0.0453,15.813371656644298,95.0,9031.0,subduction interface,1.232885688237488,0.94,7.6,24N 63E 25-70 km depth,24N63Ez95p0,-3.49,-4.43,-5.41
63.0,28.0,4.5,45,0.0007733333333333332,0.0348,43.621373354889656,95.0,,subduction interface,1.1183667301712368,0.94,7.6,28N 63E 25-70 km depth,28N63Ez95p0,-3.62,-4.56,-5.55
64.0,22.0,4.5,45,2.2222222222222225e-06,0.0001,255.33934109845436,95.0,9031.0,subduction interface,-1.4232125137753444,0.94,7.6,22N 64E 25-70 km depth,22N64Ez95p0,,,
64.0,23.0,4.5,45,0.0005355555555555555,0.0241,147.11857869675117,95.0,9031.0,subduction interface,0.9588045287995244,0.94,7.6,23N 64E 25-70 km depth,23N64Ez95p0,-3.79,-4.73,-5.75
64.0,24.0,4.5,45,0.0008355555555555556,0.0376,38.80564187392351,95.0,9031.0,subduction interface,1.1519753311523169,0.94,7.6,24N 64E 25-70 km depth,24N64Ez95p0,-3.58,-4.52,-5.51
65.0,22.0,4.5,45,2.2222222222222225e-06,0.0001,277.9292979492961,95.0,9031.0,subduction interface,-1.4232125137753444,0.94,7.6,22N 65E 25-70 km depth,22N65Ez95p0,,,
65.0,23.0,4.5,45,0.0005866666666666667,0.0264,169.55575113508363,95.0,9031.0,subduction interface,0.9983914130944869,0.94,7.6,23N 65E 25-70 km depth,23N65Ez95p0,-3.75,-4.69,-5.7
65.0,24.0,4.5,45,0.0010822222222222223,0.0487,61.08318739833094,95.0,9031.0,subduction interface,1.26431644743929,0.94,7.6,24N 65E 25-70 km depth,24N65Ez95p0,-3.46,-4.4,-5.38
65.0,27.0,4.5,45,0.0008822222222222222,0.0397,0.0,94.0,94.0,subduction interface,1.3555779929877714,0.98,8.3,27N 65E 25-70 km depth,27N65Ez94p0,-3.56,-4.54,-5.52
65.0,28.0,4.5,45,0.0016177777777777779,0.0728,0.0,94.0,94.0,subduction interface,1.6189188655376938,0.98,8.3,28N 65E 25-70 km depth,28N65Ez94p0,-3.29,-4.27,-5.25
65.0,29.0,4.5,45,0.0007488888888888889,0.0337,0.0,94.0,94.0,subduction interface,1.2844173870959952,0.98,8.3,29N 65E 25-70 km depth,29N65Ez94p0,-3.64,-4.62,-5.6
65.0,30.0,4.5,45,0.0006399999999999999,0.0288,0.0,94.0,94.0,subduction interface,1.2161799739838872,0.98,8.3,30N 65E 25-70 km depth,30N65Ez94p0,-3.71,-4.69,-5.67
65.0,31.0,4.5,45,9.555555555555555e-05,0.0043,0.0,94.0,94.0,subduction interface,0.3902559418042433,0.98,8.3,31N 65E 25-70 km depth,31N65Ez94p0,-4.74,-5.72,-6.7
66.0,26.0,4.5,45,0.0011977777777777779,0.0539,0.0,94.0,94.0,subduction interface,1.4883762514113954,0.98,8.3,26N 66E 25-70 km depth,26N66Ez94p0,-3.43,-4.41,-5.39
66.0,27.0,4.5,45,0.004817777777777778,0.2168,0.0,94.0,94.0,subduction interface,2.092846764091006,0.98,8.3,27N 66E 25-70 km depth,27N66Ez94p0,-2.81,-3.79,-4.77
66.0,28.0,4.5,45,0.004611111111111111,0.2075,0.0,94.0,94.0,subduction interface,2.073805587272768,0.98,8.3,28N 66E 25-70 km depth,28N66Ez94p0,-2.83,-3.81,-4.79
66.0,29.0,4.5,45,0.0015533333333333334,0.0699,0.0,94.0,94.0,subduction interface,1.6012646619703381,0.98,8.3,29N 66E 25-70 km depth,29N66Ez94p0,-3.31,-4.29,-5.27
66.0,30.0,4.5,45,0.0016755555555555553,0.0754,0.0,94.0,94.0,subduction interface,1.6341588320944305,0.98,8.3,30N 66E 25-70 km depth,30N66Ez94p0,-3.28,-4.26,-5.24
66.0,31.0,4.5,45,0.000948888888888889,0.0427,0.0,94.0,94.0,subduction interface,1.3872153612496803,0.98,8.3,31N 66E 25-70 km depth,31N66Ez94p0,-3.53,-4.51,-5.49
67.0,24.0,4.5,45,0.0005977777777777778,0.0269,0.0,94.0,94.0,subduction interface,1.1865397662270647,0.98,8.3,24N 67E 25-70 km depth,24N67Ez94p0,-3.74,-4.72,-5.7
67.0,25.0,4.5,45,0.0012111111111111112,0.0545,0.0,94.0,94.0,subduction interface,1.4931839885012987,0.98,8.3,25N 67E 25-70 km depth,25N67Ez94p0,-3.42,-4.4,-5.38
67.0,26.0,4.5,45,0.0020688888888888888,0.0931,0.0,94.0,94.0,subduction interface,1.725737167205999,0.98,8.3,26N 67E 25-70 km depth,26N67Ez94p0,-3.18,-4.16,-5.14
67.0,27.0,4.5,45,0.004191111111111111,0.1886,0.0,94.0,94.0,subduction interface,2.032329174625966,0.98,8.3,27N 67E 25-70 km depth,27N67Ez94p0,-2.87,-3.85,-4.83
67.0,28.0,4.5,45,0.00494,0.2223,0.0,94.0,94.0,subduction interface,2.103726948923647,0.98,8.3,28N 67E 25-70 km depth,28N67Ez94p0,-2.8,-3.78,-4.76
67.0,29.0,4.5,45,0.0030222222222222226,0.136,0.0,94.0,94.0,subduction interface,1.890326394594874,0.98,8.3,29N 67E 25-70 km depth,29N67Ez94p0,-3.02,-4.0,-4.98
67.0,30.0,4.5,45,0.004295555555555556,0.1933,0.0,94.0,94.0,subduction interface,2.0430193402532097,0.98,8.3,30N 67E 25-70 km depth,30N67Ez94p0,-2.86,-3.84,-4.82
68.0,24.0,4.5,45,0.00014,0.0063,0.0,94.0,94.0,subduction interface,0.5561280356782383,0.98,8.3,24N 68E 25-70 km depth,24N68Ez94p0,-4.49,-5.47,-6.45
68.0,25.0,4.5,45,0.0019066666666666668,0.0858,0.0,94.0,94.0,subduction interface,1.690274774073362,0.98,8.3,25N 68E 25-70 km depth,25N68Ez94p0,-3.22,-4.2,-5.18
68.0,26.0,4.5,45,0.0021977777777777777,0.0989,0.0,94.0,94.0,subduction interface,1.751983777821836,0.98,8.3,26N 68E 25-70 km depth,26N68Ez94p0,-3.16,-4.14,-5.12
68.0,27.0,4.5,45,0.0013955555555555555,0.0628,0.0,94.0,94.0,subduction interface,1.5547471299618527,0.98,8.3,27N 68E 25-70 km depth,27N68Ez94p0,-3.36,-4.34,-5.32
68.0,28.0,4.5,45,0.0011933333333333334,0.0537,0.0,94.0,94.0,subduction interface,1.486761771924212,0.98,8.3,28N 68E 25-70 km depth,28N68Ez94p0,-3.43,-4.41,-5.39
68.0,29.0,4.5,45,0.0035933333333333334,0.1617,0.0,94.0,94.0,subduction interface,1.9654975061310576,0.98,8.3,29N 68E 25-70 km depth,29N68Ez94p0,-2.94,-3.92,-4.9
69.0,27.0,4.5,45,9.111111111111112e-05,0.0041,0.0,94.0,94.0,subduction interface,0.36957134294439165,0.98,8.3,27N 69E 25-70 km depth,27N69Ez94p0,-4.77,-5.75,-6.73
69.0,28.0,4.5,45,0.0006644444444444444,0.0299,0.0,94.0,94.0,subduction interface,1.2324586745490862,0.98,8.3,28N 69E 25-70 km depth,28N69Ez94p0,-3.69,-4.67,-5.65
63.0,29.0,4.5,45,3.3333333333333335e-05,0.0015,121.24919948005443,94.0,,subduction interface,-0.06712125471966246,0.98,8.3,29N 63E 25-70 km depth,29N63Ez94p0,,,
63.0,30.0,4.5,45,4.6666666666666665e-05,0.0021,147.31524413191124,94.0,,subduction interface,0.07900678095857572,0.98,8.3,30N 63E 25-70 km depth,30N63Ez94p0,-5.6,-6.58,-7.56
63.0,31.0,4.5,45,2.2222222222222225e-06,0.0001,173.3326795087518,94.0,,subduction interface,-1.2432125137753438,0.98,8.3,31N 63E 25-70 km depth,31N63Ez94p0,,,
64.0,28.0,4.5,45,0.0009422222222222222,0.0424,0.0,94.0,,subduction interface,1.384153342817389,0.98,8.3,28N 64E 25-70 km depth,28N64Ez94p0,-3.53,-4.51,-5.49
64.0,29.0,4.5,45,7.999999999999999e-05,0.0036,26.96340192950409,94.0,,subduction interface,0.3130899869919439,0.98,8.3,29N 64E 25-70 km depth,29N64Ez94p0,-4.88,-5.86,-6.84
64.0,30.0,4.5,45,0.00044,0.0198,53.96947614565256,94.0,,subduction interface,1.0534526764861876,0.98,8.3,30N 64E 25-70 km depth,30N64Ez94p0,-3.89,-4.87,-5.85
64.0,31.0,4.5,45,2.2222222222222223e-05,0.001,80.95380406539178,94.0,,subduction interface,-0.2432125137753438,0.98,8.3,31N 64E 25-70 km depth,31N64Ez94p0,,,
64.0,32.0,4.5,45,7.777777777777778e-05,0.0035,107.90810444122658,94.0,,subduction interface,0.30085553057493186,0.98,8.3,32N 64E 25-70 km depth,32N64Ez94p0,-4.9,-5.88,-6.86
65.0,32.0,4.5,45,0.00010888888888888889,0.0049,16.667724603929695,94.0,,subduction interface,0.44698356625317004,0.98,8.3,32N 65E 25-70 km depth,32N65Ez94p0,-4.64,-5.62,-6.6
66.0,23.0,4.5,45,8.666666666666667e-05,0.0039,147.59628755930117,94.0,9031.0,subduction interface,0.34785209325115574,0.98,8.3,23N 66E 25-70 km depth,23N66Ez94p0,-4.81,-5.79,-6.77
66.0,24.0,4.5,45,0.0010044444444444443,0.0452,80.18372311811589,94.0,9031.0,subduction interface,1.4119259210360386,0.98,8.3,24N 66E 25-70 km depth,24N66Ez94p0,-3.51,-4.49,-5.47
67.0,23.0,4.5,45,2.6666666666666663e-05,0.0012,66.14887164145955,94.0,9031.0,subduction interface,-0.1640312677277187,0.98,8.3,23N 67E 25-70 km depth,23N67Ez94p0,,,
66.0,32.0,4.5,45,0.0006377777777777778,0.0287,0.0,92.0,92.0,subduction interface,1.5296693829586494,1.05,8.3,32N 66E 25-70 km depth,32N66Ez92p0,-3.73,-4.78,-5.83
66.0,33.0,4.5,45,5.3333333333333326e-05,0.0024,0.0,92.0,92.0,subduction interface,0.45199872793626295,1.05,8.3,33N 66E 25-70 km depth,33N66Ez92p0,-4.99,-6.04,-7.09
