longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,nearest,name,id
74.2,4.6,4.5,45,9.77899573714e-05,0.00440054808171,923,stable shallow crust,-0.724705743189,0.73,6.0,445.489547765,4.6N 74.2E 0-25 km depth,4p6N74p2Ez923
74.2,4.8,4.5,45,4.44499806234e-05,0.00200024912805,923,stable shallow crust,-1.06712842401,0.73,6.0,429.777404016,4.8N 74.2E 0-25 km depth,4p8N74p2Ez923
74.2,5.0,4.5,45,1.77799922493e-05,0.000800099651221,923,stable shallow crust,-1.46506843268,0.73,6.0,414.055522103,5N 74.2E 0-25 km depth,5N74p2Ez923
74.2,10.0,4.5,45,8.88999612467e-06,0.00040004982561,923,stable shallow crust,-1.76609842835,0.73,6.0,104.617279887,10N 74.2E 0-25 km depth,10N74p2Ez923
74.2,10.2,4.5,45,8.88999612467e-06,0.00040004982561,923,stable shallow crust,-1.76609842835,0.73,6.0,97.8993071792,10.2N 74.2E 0-25 km depth,10p2N74p2Ez923
74.2,10.4,4.5,45,8.88999612467e-06,0.00040004982561,923,stable shallow crust,-1.76609842835,0.73,6.0,91.1771187829,10.4N 74.2E 0-25 km depth,10p4N74p2Ez923
74.2,10.6,4.5,45,8.88999612467e-06,0.00040004982561,923,stable shallow crust,-1.76609842835,0.73,6.0,84.4507966059,10.6N 74.2E 0-25 km depth,10p6N74p2Ez923
74.2,15.6,4.5,45,8.88999612467e-06,0.00040004982561,923,stable shallow crust,-1.76609842835,0.73,6.0,0.0,15.6N 74.2E 0-25 km depth,15p6N74p2Ez923
74.2,15.8,4.5,45,7.11199689974e-05,0.00320039860488,923,stable shallow crust,-0.863008441355,0.73,6.0,0.0,15.8N 74.2E 0-25 km depth,15p8N74p2Ez923
74.2,16.0,4.5,45,0.000320039860488,0.014401793722,923,stable shallow crust,-0.20979592758,0.73,6.0,0.0,16N 74.2E 0-25 km depth,16N74p2Ez923
74.2,16.2,4.5,45,0.00116458949233,0.052406527155,922,stable shallow crust,1.97117286731,1.09,7.2,0.0,16.2N 74.2E 0-25 km depth,16p2N74p2Ez922
74.2,16.4,4.5,45,0.00337819852738,0.152018933732,922,stable shallow crust,2.43368516827,1.09,7.2,0.0,16.4N 74.2E 0-25 km depth,16p4N74p2Ez922
74.2,16.6,4.5,45,0.00784097658196,0.352843946188,922,stable shallow crust,2.79937015678,1.09,7.2,0.0,16.6N 74.2E 0-25 km depth,16p6N74p2Ez922
74.2,16.8,4.5,45,0.0146062636328,0.657281863478,922,stable shallow crust,3.06953913509,1.09,7.2,0.0,16.8N 74.2E 0-25 km depth,16p8N74p2Ez922
74.2,17.0,4.5,45,0.0218605004706,0.983722521176,922,stable shallow crust,3.24466010039,1.09,7.2,0.0,17N 74.2E 0-25 km depth,17N74p2Ez922
74.2,17.2,4.5,45,0.0262966085368,1.18334738416,922,stable shallow crust,3.32489974131,1.09,7.2,0.0,17.2N 74.2E 0-25 km depth,17p2N74p2Ez922
74.2,17.4,4.5,45,0.0254431689088,1.1449426009,922,stable shallow crust,3.31057120108,1.09,7.2,0.0,17.4N 74.2E 0-25 km depth,17p4N74p2Ez922
74.2,17.6,4.5,45,0.0197980213697,0.890910961634,922,stable shallow crust,3.20162178869,1.09,7.2,0.0,17.6N 74.2E 0-25 km depth,17p6N74p2Ez922
74.2,17.8,4.5,45,0.0123926545978,0.557669456901,922,stable shallow crust,2.99816434541,1.09,7.2,0.0,17.8N 74.2E 0-25 km depth,17p8N74p2Ez922
74.2,18.0,4.5,45,0.00624077727952,0.280834977578,922,stable shallow crust,2.70023868378,1.09,7.2,0.0,18N 74.2E 0-25 km depth,18N74p2Ez922
74.2,18.2,4.5,45,0.00252475889941,0.113614150473,922,stable shallow crust,2.3072199117,1.09,7.2,0.0,18.2N 74.2E 0-25 km depth,18p2N74p2Ez922
74.2,18.4,4.5,45,0.000826769639595,0.0372046337818,74,stable shallow crust,0.787384520207,0.86,6.5,0.0,18.4N 74.2E 0-25 km depth,18p4N74p2Ez74
74.2,18.6,4.5,45,0.000213359906992,0.00960119581465,74,stable shallow crust,0.199112813364,0.86,6.5,0.0,18.6N 74.2E 0-25 km depth,18p6N74p2Ez74
74.2,18.8,4.5,45,4.44499806234e-05,0.00200024912805,74,stable shallow crust,-0.482128424011,0.86,6.5,0.0,18.8N 74.2E 0-25 km depth,18p8N74p2Ez74
74.2,19.0,4.5,45,8.88999612467e-06,0.00040004982561,74,stable shallow crust,-1.18109842835,0.86,6.5,0.0,19N 74.2E 0-25 km depth,19N74p2Ez74
74.2,19.2,4.5,45,8.88999612467e-06,0.00040004982561,74,stable shallow crust,-1.18109842835,0.86,6.5,0.0,19.2N 74.2E 0-25 km depth,19p2N74p2Ez74
74.2,19.4,4.5,45,2.6669988374e-05,0.00120014947683,74,stable shallow crust,-0.703977173628,0.86,6.5,0.0,19.4N 74.2E 0-25 km depth,19p4N74p2Ez74
74.2,19.6,4.5,45,4.44499806234e-05,0.00200024912805,74,stable shallow crust,-0.482128424011,0.86,6.5,0.0,19.6N 74.2E 0-25 km depth,19p6N74p2Ez74
74.2,19.8,4.5,45,7.11199689974e-05,0.00320039860488,74,stable shallow crust,-0.278008441355,0.86,6.5,0.0,19.8N 74.2E 0-25 km depth,19p8N74p2Ez74
74.2,20.0,4.5,45,8.00099651221e-05,0.00360044843049,74,stable shallow crust,-0.226855918908,0.86,6.5,0.0,20N 74.2E 0-25 km depth,20N74p2Ez74
74.2,20.2,4.5,45,7.11199689974e-05,0.00320039860488,921,stable shallow crust,-0.728008441355,0.76,7.0,0.0,20.2N 74.2E 0-25 km depth,20p2N74p2Ez921
74.2,20.4,4.5,45,6.22299728727e-05,0.00280034877927,921,stable shallow crust,-0.786000388333,0.76,7.0,0.0,20.4N 74.2E 0-25 km depth,20p4N74p2Ez921
74.2,20.6,4.5,45,6.22299728727e-05,0.00280034877927,921,stable shallow crust,-0.786000388333,0.76,7.0,0.0,20.6N 74.2E 0-25 km depth,20p6N74p2Ez921
74.2,20.8,4.5,45,0.000106679953496,0.00480059790732,921,stable shallow crust,-0.5519171823,0.76,7.0,0.0,20.8N 74.2E 0-25 km depth,20p8N74p2Ez921
74.2,21.0,4.5,45,0.000204469910868,0.00920114598904,921,stable shallow crust,-0.26937059233,0.76,7.0,0.0,21N 74.2E 0-25 km depth,21N74p2Ez921
74.2,21.2,4.5,45,0.000337819852738,0.0152018933732,921,stable shallow crust,-0.0513148317305,0.76,7.0,0.0,21.2N 74.2E 0-25 km depth,21p2N74p2Ez921
74.2,21.4,4.5,45,0.000453389802358,0.0204025411061,921,stable shallow crust,0.0764717477506,0.76,7.0,0.0,21.4N 74.2E 0-25 km depth,21p4N74p2Ez921
74.2,21.6,4.5,45,0.000480059790732,0.021602690583,921,stable shallow crust,0.101295331476,0.76,7.0,0.0,21.6N 74.2E 0-25 km depth,21p6N74p2Ez921
74.2,21.8,4.5,45,0.000408939821735,0.0184022919781,921,stable shallow crust,0.0316594033343,0.76,7.0,0.0,21.8N 74.2E 0-25 km depth,21p8N74p2Ez921
74.2,22.0,4.5,45,0.000275589879865,0.0124015445939,921,stable shallow crust,-0.139736734513,0.76,7.0,0.0,22N 74.2E 0-25 km depth,22N74p2Ez921
74.2,22.2,4.5,45,0.000151129934119,0.00680084703538,921,stable shallow crust,-0.400649506969,0.76,7.0,0.0,22.2N 74.2E 0-25 km depth,22p2N74p2Ez921
74.2,22.4,4.5,45,6.22299728727e-05,0.00280034877927,921,stable shallow crust,-0.786000388333,0.76,7.0,0.0,22.4N 74.2E 0-25 km depth,22p4N74p2Ez921
74.2,22.6,4.5,45,1.77799922493e-05,0.000800099651221,921,stable shallow crust,-1.33006843268,0.76,7.0,0.0,22.6N 74.2E 0-25 km depth,22p6N74p2Ez921
74.2,22.8,4.5,45,8.88999612467e-06,0.00040004982561,921,stable shallow crust,-1.63109842835,0.76,7.0,0.0,22.8N 74.2E 0-25 km depth,22p8N74p2Ez921
74.2,29.0,4.5,45,8.88999612467e-06,0.00040004982561,919,stable shallow crust,-1.81109842835,0.72,7.2,0.0,29N 74.2E 0-25 km depth,29N74p2Ez919
