longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,source_name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
66,33,0.0003,5.5,97,3.0928e-06,338.89,169,,300,180,subduction intraslab Himalayas,-0.88965,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,33N 66E 180-300 km depth M5.5,33N_66E_L4_M5p5,,,
66,34,0.0015,5.5,97,1.5464e-05,293.08,169,,300,180,subduction intraslab Himalayas,-0.19068,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,34N 66E 180-300 km depth M5.5,34N_66E_L4_M5p5,,,
66,35,0.0003,5.5,97,3.0928e-06,273.47,169,,300,180,subduction intraslab Himalayas,-0.88965,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,35N 66E 180-300 km depth M5.5,35N_66E_L4_M5p5,,,
67,33,0.0009,5.5,97,9.2784e-06,265.84,169,,300,180,subduction intraslab Himalayas,-0.41253,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,33N 67E 180-300 km depth M5.5,33N_67E_L4_M5p5,,,
67,34,0.0047,5.5,97,4.8454e-05,205.36,169,,300,180,subduction intraslab Himalayas,0.30533,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,34N 67E 180-300 km depth M5.5,34N_67E_L4_M5p5,,-5.03,-5.87
67,35,0.0008,5.5,97,8.2474e-06,183.72,169,,300,180,subduction intraslab Himalayas,-0.46368,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,35N 67E 180-300 km depth M5.5,35N_67E_L4_M5p5,,,
68,33,0.0003,5.5,97,3.0928e-06,208.49,169,,300,180,subduction intraslab Himalayas,-0.88965,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,33N 68E 180-300 km depth M5.5,33N_68E_L4_M5p5,,,
68,34,0.0015,5.5,97,1.5464e-05,123.46,169,,300,180,subduction intraslab Himalayas,-0.19068,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,34N 68E 180-300 km depth M5.5,34N_68E_L4_M5p5,,,
68,35,0.0003,5.5,97,3.0928e-06,93.767,169,,300,180,subduction intraslab Himalayas,-0.88965,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,35N 68E 180-300 km depth M5.5,35N_68E_L4_M5p5,,,
68,36,0.0002,5.5,97,2.0619e-06,77.543,169,,300,180,subduction intraslab Himalayas,-1.0657,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,36N 68E 180-300 km depth M5.5,36N_68E_L4_M5p5,,,
68,37,0.0001,5.5,97,1.0309e-06,61.3,169,,300,180,subduction intraslab Himalayas,-1.3668,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,37N 68E 180-300 km depth M5.5,37N_68E_L4_M5p5,,,
69,35,0.001,5.5,97,1.0309e-05,3.6305,169,,300,180,subduction intraslab Himalayas,-0.36677,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,35N 69E 180-300 km depth M5.5,35N_69E_L4_M5p5,,,
69,36,0.0215,5.5,97,0.00022165,0,169,169,300,180,subduction intraslab Himalayas,0.96567,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,36N 69E 180-300 km depth M5.5,36N_69E_L4_M5p5,-3.8,-4.12,-4.96
69,37,0.0191,5.5,97,0.00019691,0,169,169,300,180,subduction intraslab Himalayas,0.91426,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,37N 69E 180-300 km depth M5.5,37N_69E_L4_M5p5,-3.87,-4.18,-5.02
69,38,0.0009,5.5,97,9.2784e-06,73.012,169,,300,180,subduction intraslab Himalayas,-0.41253,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,38N 69E 180-300 km depth M5.5,38N_69E_L4_M5p5,,,
70,35,0.0089,5.5,97,9.1753e-05,0,169,169,300,180,subduction intraslab Himalayas,0.58262,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,35N 70E 180-300 km depth M5.5,35N_70E_L4_M5p5,-4.54,-4.59,-5.43
70,36,0.1972,5.5,97,0.002033,0,169,169,300,180,subduction intraslab Himalayas,1.9281,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,36N 70E 180-300 km depth M5.5,36N_70E_L4_M5p5,-2.71,-3.12,-3.96
70,37,0.1791,5.5,97,0.0018464,0,169,169,300,180,subduction intraslab Himalayas,1.8863,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,37N 70E 180-300 km depth M5.5,37N_70E_L4_M5p5,-2.75,-3.16,-4
70,38,0.0101,5.5,97,0.00010412,55.494,169,,300,180,subduction intraslab Himalayas,0.63755,0.84,0.04,8.6,0.3,-113.0,81,305,2,StrasserIntraslab,38N 70E 180-300 km depth M5.5,38N_70E_L4_M5p5,-4.39,-4.52,-5.36
