longitude,latitude,nu,mmin,duration,lambda,distance,zoneid,in zoneid,zmax,zmin,tectonic subregion,a,b,stdb,mmax,stdmmax,rake,dip,strike,aspect ratio,msr,name,id,logN_5.0-6.0,logN_6.0-7.0,logN_7.0-8.0
63,28,0.0019,5.5,107,1.7757e-05,43.621,95.0,,70,25,subduction interface,0.41937,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,28N 63E 25-70 km depth,28N_63E_2,,-5.43,-7.18
63,29,0.0004,5.5,107,3.7383e-06,121.25,94.0,,70,25,subduction interface,-0.037324,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,29N 63E 25-70 km depth,29N_63E_2,,,
63,30,0.0012,5.5,107,1.1215e-05,147.32,94.0,,70,25,subduction interface,0.4398,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,30N 63E 25-70 km depth,30N_63E_2,,-5.64,-6.62
63,31,0.0002,5.5,107,1.8692e-06,173.33,94.0,,70,25,subduction interface,-0.33835,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,31N 63E 25-70 km depth,31N_63E_2,,,
64,22,0.0001,5.5,107,9.3458e-07,255.34,95.0,9031,70,25,subduction interface,-0.85938,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,22N 64E 25-70 km depth,22N_64E_2,,,
64,23,0.0004,5.5,107,3.7383e-06,147.12,95.0,9031,70,25,subduction interface,-0.25732,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,23N 64E 25-70 km depth,23N_64E_2,,,
64,24,0.0048,5.5,107,4.486e-05,38.806,95.0,9031,70,25,subduction interface,0.82186,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,24N 64E 25-70 km depth,24N_64E_2,-4.6,-4.89,-5.95
64,25,0.012,5.5,107,0.00011215,0,95.0,95,70,25,subduction interface,1.2198,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,25N 64E 25-70 km depth,25N_64E_2,-4.04,-4.45,-5.43
64,26,0.0024,5.5,107,2.243e-05,0,95.0,95,70,25,subduction interface,0.52083,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,26N 64E 25-70 km depth,26N_64E_2,-5.61,-5.27,-6.61
64,27,0.0019,5.5,107,1.7757e-05,0,95.0,95,70,25,subduction interface,0.41937,0.94,0.13,7.6,0.4,167,79,23,2,StrasserInterface,27N 64E 25-70 km depth,27N_64E_2,,-5.43,-7.18
64,28,0.0025,5.5,107,2.3364e-05,0,94.0,,70,25,subduction interface,0.75856,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,28N 64E 25-70 km depth,28N_64E_2,-4.97,-5.2,-6.18
64,29,0.0009,5.5,107,8.4112e-06,26.963,94.0,,70,25,subduction interface,0.31486,0.98,0.09,8.3,0.4,-6,89,11,2,StrasserInterface,29N 64E 25-70 km depth,29N_64E_2,,-5.85,-6.83
